"CSP1 Burns18","CSP1 Burns18","CSP1 Burns18","CSP1 Burns18","CSP1 Burns18","CSP1 Burns18","CSP1 Burns18","CSP1 Burns18","CSP1 Burns18","CSP1 Burns18","CSP1 Burns18","CSP1 Burns18","CSP1 Burns18","CSP1 Burns18","CSP1 Burns18","CSP1 Burns18","CSP1 Burns18","CSP1 Burns18","CSP1 Burns18","CSP1 Burns18","CSP1 Burns18","CSP1 Burns18","CSP1 Burns18","CSP1 Burns18","CSP1 Burns18"
pgc,SNIa,1PGC,Nest,muCV,emu,zh,z3k,sBV,esBV,Dm15,eDm15,Vmax,eVmax,EBV,eEBV,Rv,eRv,covER,Q,RA,Dec,glon,glat,sgl,sgb
%7s,%6s,%7d,%6d,%5.2f,%4.2f,%7.4f,%7.4f,%5.3f,%5.3f,%5.3f,%5.3f,%6.3f,%5.3f,%5.3f,%5.3f,%3.1f,%3.1f,%7.4f,%4.2f,%8.4f,%8.4f,%8.4f,%8.4f,%8.4f,%8.4f
---,,,,mag,mag,,,,,mag,mag,mag,mag,mag,mag,,,,,deg,deg,deg,deg,deg,deg
"The Catalogue of Principal Galaxies (PGC) Number","Supernova identification","PGC ID of dominant member of group","Nest ID in 2MASS group catalog by Tully(2015)","Cross-validated distance modulus (Riess16 zero point)","Error in distance modulus","Heliocentric redshift","Redshift in CMB frame","Color stretch parameter","Error in color stretch parameter","Delta_m15_(B) parameter","Error in delta_m15_(B) parameter","V magnitude at maximum","Error in V magnitude at maximum","B-V color excess","Error in B-V color excess","Reddening slope","Error in reddening slope","Covariance between E(B-V) and Rv","Quality parameter","Right ascension in degrees (J2000)","Declination in degrees (2000)","Galactic longitude","Galactic latitude","Supergalactic longitude","Supergalactic latitude"
64319,2008ff,64317,200157,34.60,0.06,0.0192,0.0187,1.117,0.032,0.880,0.061,15.232,0.009,0.120,0.020,1.0,0.5,-0.0048,0.97,303.4998,-44.3522,355.0683,-32.9679,221.9819,26.7447
64932,2004eo,64932,201267,33.96,0.07,0.0157,0.0147,0.818,0.030,1.314,0.060,15.063,0.008,0.130,0.025,1.1,0.7,-0.0098,0.97,308.2258,9.9285,54.1680,-17.2742,285.7970,65.4682
66000,2008cc,66000,210111,32.88,0.09,0.0104,0.0101,0.788,0.035,1.402,0.070,14.087,0.038,0.114,0.022,2.2,0.6,-0.0083,0.92,315.8734,-67.1836,326.7504,-37.3633,218.2160,3.5518
66880,2006ev,66880,206432,35.50,0.05,0.0287,0.0276,0.846,0.036,1.334,0.070,16.931,0.039,0.240,0.031,2.4,0.5,-0.0122,0.97,322.7469,13.9892,66.7561,-26.3324,299.1245,52.3216
67410,2004ey,0,0,34.12,0.07,0.0158,0.0146,1.010,0.030,0.967,0.060,14.820,0.002,0.026,0.018,1.3,1.3,-0.0074,0.97,327.2825,0.4442,57.4713,-38.2721,281.1172,44.4292
68535,2013dy,68535,212316,31.28,0.34,0.0039,0.0029,1.099,0.031,0.844,0.060,12.561,0.005,0.244,0.028,2.9,0.5,-0.0112,0.94,334.5733,40.5693,93.9784,-13.5382,336.5678,39.6476
69172,2005kc,69172,207851,33.83,0.07,0.0151,0.0139,0.899,0.031,1.176,0.061,15.342,0.007,0.314,0.025,2.2,0.3,-0.0066,0.97,338.5306,5.5684,72.3380,-43.4130,292.0887,35.3714
69453,2006bh,69453,209504,33.36,0.09,0.0108,0.0105,0.801,0.030,1.391,0.060,14.371,0.003,0.035,0.012,1.6,1.1,-0.0049,0.97,340.0671,-66.4851,320.1796,-45.1832,225.1971,-2.5074
69533,2004ef,69533,206985,35.53,0.05,0.0310,0.0298,0.816,0.030,1.331,0.060,16.733,0.003,0.162,0.016,1.8,0.5,-0.0038,0.98,340.5439,19.9969,85.9251,-33.4264,310.0254,36.0190
70290,2007hj,70290,210574,33.94,0.08,0.0141,0.0129,0.605,0.030,1.615,0.061,15.409,0.005,0.120,0.023,1.4,0.7,-0.0090,0.96,345.4496,15.5865,87.7511,-39.6802,305.4950,30.8244
72001,2007le,72001,211453,32.23,0.16,0.0067,0.0055,1.024,0.030,0.961,0.061,13.584,0.005,0.380,0.016,1.9,0.2,-0.0017,0.97,354.7019,-6.5227,78.4736,-63.8180,283.7209,16.0639
73098,2005iq,0,0,35.91,0.04,0.0340,0.0329,0.872,0.030,1.278,0.061,16.814,0.005,0.030,0.011,2.2,1.2,-0.0023,0.97,359.6354,-18.7092,63.1597,-75.5243,273.9350,7.6135
73820,2006hx,4500,200758,36.22,0.04,0.0455,0.0444,0.988,0.035,1.028,0.065,17.407,0.023,0.217,0.021,2.4,0.5,-0.0059,0.94,18.4888,0.3717,134.9811,-61.9722,298.0938,-4.4566
90108,2008bc,27481,202498,34.15,0.06,0.0151,0.0157,1.048,0.030,0.894,0.060,14.778,0.004,0.024,0.020,1.5,1.3,-0.0078,0.97,144.6301,-63.9738,284.2578,-9.3158,187.0043,-33.6156
92948,2004gu,43086,101442,36.64,0.04,0.0458,0.0469,1.250,0.032,0.823,0.061,17.280,0.009,0.097,0.031,1.0,0.7,-0.0048,0.98,191.6030,11.9489,298.2467,74.7749,104.3694,1.1866
200171,2005ag,0,0,37.82,0.04,0.0794,0.0800,1.190,0.031,0.916,0.060,18.443,0.005,0.031,0.018,1.6,1.3,-0.0024,0.98,224.1802,9.3266,7.8445,55.5012,115.0563,31.6647
213672,2007ux,29387,100307,35.76,0.04,0.0309,0.0320,0.586,0.031,1.634,0.061,17.195,0.006,0.095,0.019,1.3,0.7,-0.0064,0.98,152.3333,14.9924,222.3901,50.4816,86.2222,-33.0350
214352,2005be,53552,105065,35.88,0.05,0.0350,0.0356,0.760,0.035,1.455,0.073,16.914,0.039,0.032,0.022,1.7,1.3,-0.0019,0.98,224.8863,16.6699,20.1735,58.6079,106.6228,33.6733
766647,2008cf,0,0,36.51,0.04,0.0460,0.0468,1.117,0.046,0.804,0.073,17.058,0.039,0.014,0.014,1.5,1.3,-0.0036,0.98,211.8857,-26.5518,322.9685,32.4168,148.0603,8.0979
836926,2008go,134336,200383,37.12,0.04,0.0624,0.0613,0.912,0.038,1.093,0.089,17.993,0.007,0.107,0.016,1.0,0.7,-0.0045,0.98,332.6868,-20.7881,32.8347,-53.0979,260.0471,29.3189
1114283,2006gt,3342,200043,36.41,0.04,0.0447,0.0436,0.554,0.031,1.645,0.061,17.964,0.010,0.081,0.019,2.0,1.0,-0.0072,0.98,14.0721,-1.6294,125.7864,-64.8662,294.5904,-0.8533
1131943,2007hx,0,0,37.74,0.06,0.0798,0.0789,1.059,0.053,0.905,0.082,19.044,0.045,0.281,0.033,2.4,0.5,-0.0080,0.98,31.6137,-0.8993,161.4014,-58.8970,299.6786,-17.6588
1146479,2007ol,6183,201468,36.95,0.04,0.0559,0.0549,0.696,0.046,1.576,0.067,18.115,0.023,0.007,0.008,1.7,1.3,-0.0004,0.98,24.3491,-0.3117,147.5968,-61.4925,298.5271,-10.4255
1154145,2005ku,0,0,36.46,0.06,0.0454,0.0442,0.950,0.050,1.027,0.089,17.432,0.049,0.158,0.037,1.7,0.8,-0.0073,0.98,344.9276,0.0137,73.6439,-51.8319,287.9897,27.6593
1186356,2007jd,0,0,37.74,0.05,0.0726,0.0719,0.875,0.044,1.304,0.065,18.734,0.051,0.121,0.035,1.7,0.8,-0.0095,0.95,44.9737,1.1602,175.6825,-48.1095,307.0367,-29.5628
1188501,2006eq,66830,204159,36.57,0.05,0.0495,0.0484,0.616,0.038,1.612,0.071,18.258,0.045,0.196,0.033,2.1,0.6,-0.0114,0.98,322.1547,1.2281,54.6251,-33.6243,279.3121,49.4680
1389223,2008bz,0,0,37.21,0.04,0.0602,0.0613,0.930,0.037,1.093,0.079,17.982,0.038,0.019,0.017,1.7,1.4,-0.0015,0.98,189.7406,11.1295,291.9447,73.7345,104.6543,-0.7933
3116670,2005ir,0,0,37.66,0.04,0.0763,0.0753,1.121,0.036,0.884,0.065,18.352,0.011,0.078,0.017,2.0,0.8,-0.0014,0.98,19.1823,0.7945,136.2414,-61.4220,298.6916,-5.0086
3333560,2006py,1148102,200831,36.79,0.05,0.0579,0.0566,0.950,0.040,1.059,0.077,17.813,0.016,0.146,0.020,2.0,0.7,-0.0029,0.95,340.4252,-0.1371,68.1882,-48.9447,285.9438,31.8143
3519005,2007mm,0,0,37.21,0.09,0.0664,0.0653,0.501,0.035,1.909,0.062,19.237,0.023,0.254,0.031,1.8,0.7,-0.0066,0.94,16.4445,-0.7588,131.1344,-64.0134,295.8586,-2.9606
3749746,2007al,28927,100121,33.80,0.09,0.0121,0.0133,0.335,0.037,1.874,0.060,16.614,0.044,0.188,0.041,2.1,0.6,-0.0102,0.97,149.8270,-19.4738,257.0609,26.8918,129.5551,-46.0768
4014698,2007jg,0,0,36.19,0.04,0.0371,0.0366,0.914,0.031,1.212,0.061,17.207,0.007,0.111,0.019,2.3,0.7,-0.0073,0.96,52.4617,0.0568,184.0099,-43.2569,308.7593,-36.9933
4131950,2005hj,0,0,37.05,0.04,0.0580,0.0570,1.280,0.034,0.796,0.062,17.695,0.009,0.027,0.034,1.3,1.3,-0.0088,0.98,21.7017,-1.2381,142.8132,-63.1392,297.0208,-8.0943
5068419,2006lu,0,0,36.88,0.04,0.0534,0.0544,1.049,0.037,0.933,0.071,17.534,0.039,0.030,0.023,1.7,1.3,-0.0016,0.98,138.8235,-25.6001,254.3281,15.2583,140.8368,-55.6617
5069093,2008fr,0,0,36.22,0.04,0.0390,0.0379,1.056,0.038,0.911,0.071,16.826,0.039,0.026,0.019,1.5,1.3,-0.0076,0.97,17.9548,14.6408,130.3016,-47.9391,311.6693,0.0119
5069157,2006is,16966,200310,35.40,0.06,0.0313,0.0314,1.323,0.039,0.796,0.072,16.124,0.040,0.007,0.009,1.6,1.4,-0.0025,0.91,79.3932,-23.7817,226.5826,-30.7487,271.6358,-65.5602
5069182,2006fw,0,0,37.36,0.09,0.0829,0.0820,0.888,0.058,1.093,0.123,18.982,0.055,0.287,0.033,2.2,0.7,-0.0045,0.19,26.7930,-0.1469,151.8331,-60.1174,299.6337,-12.6576
