"LOSS Ganeshalingam13","LOSS Ganeshalingam13","LOSS Ganeshalingam13","LOSS Ganeshalingam13","LOSS Ganeshalingam13","LOSS Ganeshalingam13","LOSS Ganeshalingam13","LOSS Ganeshalingam13","LOSS Ganeshalingam13","LOSS Ganeshalingam13","LOSS Ganeshalingam13","LOSS Ganeshalingam13","LOSS Ganeshalingam13","LOSS Ganeshalingam13","LOSS Ganeshalingam13","LOSS Ganeshalingam13"
pgc,SNIa,1PGC,Nest,RA,Dec,z3k,B,eB,x1,ex1,c,ec,mu,emu,Sample,Ref
%7s,%9s,%7d,%6d,%11s,%11s,%5.3f,%6.3f,%5.3f,%6.3f,%5.3f,%6.3f,%5.3f,%6.3f,%5.3f,%5s,%2d
---,,,,hms,dms,,mag,mag,,,,,mag,mag,,
"The Catalogue of Principal Galaxies (PGC) Number","Supernova identification","PGC ID of dominant group member","Nest ID in 2MASS group catalog by Tully(2015)","Right ascension J2000","Declination J2000","Redshift in CMB frame","B magnitude at maximum","Error in B magnitude at maximum","SALT2 light curve width x1 parameter","Error in SALT2 x1 parameter","SALT2 color c parameter","Error in SALT2 c parameter","Distance modulus","Error in distance modulus","LOSS sample","LOSS reference code"
13652,"SN 1992bk",13641,200118,"03 43 01.90","-53 37 56.8",0.059,18.162,0.056,-1.553,0.178,-0.057,0.056,37.176,0.191,Low-z,6
15708,"SN 2006lf",0,0,"04 38 29.49","+44 02 01.5",0.013,13.721,0.031,-1.304,0.072,-0.211,0.028,33.260,0.217,Low-z,5
16390,"SN 2001ep",16386,200278,"04 57 00.26","-04 45 40.2",0.013,14.853,0.028,-0.855,0.058,0.018,0.026,33.732,0.215,Low-z,2
16537,"SN 2006le",16537,100257,"05 00 41.99","+62 15 19.0",0.017,14.719,0.030,0.643,0.086,-0.148,0.027,34.342,0.187,Low-z,2
16595,"SN 2006hb",16595,210457,"05 02 01.28","-21 07 55.1",0.015,15.372,0.096,-2.300,0.152,0.021,0.050,34.032,0.208,Low-z,5
16899,"SN 2005el",16899,202615,"05 11 48.72","+05 11 39.4",0.015,14.824,0.027,-1.209,0.066,-0.131,0.026,34.123,0.199,Low-z,2
17176,"SN 2004gc",75312,200017,"05 21 49.95","+06 40 33.7",0.031,16.730,0.026,-0.744,0.058,0.091,0.025,35.396,0.153,Low-z,3
17509,"SN 1999ek",1504501,200146,"05 36 31.60","+16 38 17.8",0.018,15.604,0.028,-0.696,0.082,0.109,0.026,34.219,0.183,Low-z,1
17787,"SN 1993ac",17787,103922,"05 46 23.58","+63 22 07.1",0.049,17.773,0.083,-0.792,0.383,0.017,0.042,36.665,0.160,Low-z,8
18467,"SN 2006N",18637,100343,"06 08 31.24","+64 43 25.1",0.014,15.091,0.031,-1.939,0.104,-0.041,0.029,33.998,0.206,Low-z,5
18747,"SN 1996bv",18747,0,"06 16 13.04","+57 03 10.0",0.017,15.330,0.040,0.678,0.285,0.143,0.030,34.038,0.193,Low-z,8
19325,"SN 2002kf",19409,101154,"06 37 15.31","+49 51 10.2",0.019,15.654,0.033,-1.009,0.093,-0.054,0.029,34.739,0.180,Low-z,5
19622,"SN 1997E",19622,101192,"06 47 38.10","+74 29 51.0",0.014,15.097,0.030,-1.612,0.139,0.014,0.029,33.877,0.214,Low-z,1
19788,"SN 1998ec",19732,101084,"06 53 06.11","+50 02 22.1",0.020,16.174,0.082,-0.053,0.824,0.153,0.038,34.744,0.198,Low-z,2
19913,"SN 2008C",19913,110686,"06 57 11.53","+20 26 13.7",0.017,15.573,0.058,-0.283,0.133,0.109,0.037,34.246,0.191,Low-z,2
20364,"SN 2007au",20136,100017,"07 11 46.11","+49 51 13.4",0.021,16.593,0.034,-2.204,0.163,0.160,0.033,34.825,0.182,Low-z,2
20513,"SN 2000fa",20513,0,"07 15 29.88","+23 25 42.4",0.022,15.853,0.028,0.439,0.067,0.037,0.026,34.859,0.169,Low-z,5
20602,"SN 2003ch",20602,101102,"07 17 57.92","+09 41 34.9",0.029,16.688,0.031,-1.235,0.194,-0.029,0.030,35.660,0.163,Low-z,5
21767,"SN 2007R",21767,101883,"07 46 37.53","+44 47 22.1",0.031,16.684,0.049,-1.155,0.120,-0.106,0.033,35.912,0.157,Low-z,5
22428,"SN 2006qo",22520,100044,"08 00 08.37","+56 22 07.7",0.030,16.819,0.029,0.427,0.074,0.157,0.028,35.447,0.156,Low-z,5
22976,"SN 2006te",0,0,"08 11 42.99","+41 33 16.8",0.032,16.534,0.038,-0.037,0.113,-0.082,0.031,35.849,0.157,Low-z,5
23371,"SN 2002he",23371,102471,"08 19 58.83","+62 49 13.2",0.025,16.223,0.022,-1.536,0.080,-0.042,0.021,35.191,0.158,Low-z,2
23700,"SN 2005mc",23700,108151,"08 27 06.36","+21 38 45.6",0.026,17.237,0.033,-2.423,0.165,0.221,0.034,35.246,0.172,Low-z,5
23725,"SN 1999aa",23725,101075,"08 27 42.03","+21 29 14.8",0.015,14.715,0.028,1.104,0.058,-0.085,0.026,34.205,0.197,Low-z,1
23918,"SN 2007bd",23918,107120,"08 31 33.28","-01 11 58.0",0.032,16.568,0.029,-1.315,0.093,-0.050,0.029,35.594,0.156,Low-z,5
24002,"SN 2006bb",24002,100195,"08 33 31.09","+41 31 04.1",0.026,16.237,0.118,-2.059,0.301,-0.114,0.074,35.357,0.203,Low-z,5
24286,"SN 2004gs",24286,108410,"08 38 23.18","+17 37 39.8",0.028,17.135,0.023,-1.713,0.050,0.131,0.025,35.530,0.158,Low-z,3
24788,"SN 2005ms",24788,109684,"08 49 14.34","+36 07 47.9",0.026,16.139,0.029,0.459,0.098,-0.050,0.028,35.424,0.162,Low-z,5
25005,"SN 1999X",0,0,"08 54 32.23","+36 30 41.1",0.026,16.328,0.112,-0.618,0.539,0.024,0.050,35.223,0.176,Low-z,1
27404,"SN 2005M",27385,101363,"09 37 32.36","+23 12 02.7",0.023,15.908,0.021,1.225,0.052,-0.009,0.023,35.177,0.164,Low-z,3
27437,"SN 2001fe",27437,111647,"09 37 57.10","+25 29 41.3",0.014,14.658,0.030,0.704,0.129,-0.053,0.028,33.991,0.206,Low-z,5
27509,"SN 2003D",27509,100126,"09 38 53.52","-04 51 05.1",0.023,16.542,0.074,-1.736,0.173,0.092,0.043,35.058,0.182,Low-z,2
28949,"SN 2007S",28964,102043,"10 00 31.26","+04 24 26.2",0.015,15.809,0.028,1.268,0.084,0.348,0.026,33.955,0.199,Low-z,5
30027,"SN 2001ie",30001,101910,"10 16 50.70","+60 16 44.5",0.031,16.642,0.046,-0.551,0.127,-0.034,0.031,35.731,0.163,Low-z,5
30719,"SN 2004L",30712,102605,"10 27 04.11","+16 01 07.3",0.033,17.363,0.046,-1.040,0.305,0.172,0.035,35.727,0.164,Low-z,5
30908,"SN 1991S",0,0,"10 29 27.70","+22 00 43.0",0.056,17.697,0.052,0.292,0.151,-0.052,0.034,36.964,0.147,Low-z,6
31768,"SN 2005ki",31768,106932,"10 40 28.22","+09 12 08.4",0.021,15.533,0.023,-1.372,0.051,-0.097,0.025,34.700,0.172,Low-z,3
33043,"SN 2004at",0,0,"10 58 45.18","+59 29 12.0",0.024,15.703,0.025,-0.041,0.061,-0.097,0.024,35.066,0.162,Low-z,2
33914,"SN 2001ah",0,0,"11 10 29.82","+55 09 39.0",0.058,17.620,0.040,1.399,0.331,-0.074,0.035,37.118,0.161,Low-z,2
34630,"SN 2007bc",34630,108274,"11 19 14.57","+20 48 32.5",0.022,15.873,0.028,-0.995,0.078,-0.003,0.026,34.799,0.169,Low-z,2
34763,"SN 2004bg",34763,110547,"11 21 01.53","+21 20 23.4",0.022,15.455,0.029,0.147,0.078,-0.121,0.027,34.920,0.169,Low-z,2
35006,"SN 2006ax",35006,109270,"11 24 03.46","-12 17 29.2",0.018,14.987,0.021,0.162,0.032,-0.106,0.022,34.408,0.180,Low-z,3
36028,"SN 2001ba",36028,100262,"11 38 01.76","-32 19 51.0",0.031,16.176,0.030,0.152,0.101,-0.183,0.040,35.837,0.177,Low-z,9
36670,"SN 2007ci",36487,100005,"11 45 45.85","+19 46 13.9",0.019,15.925,0.032,-2.390,0.151,-0.013,0.031,34.677,0.183,Low-z,2
36909,"SN 2001E",36909,108280,"11 49 05.00","-09 44 10.9",0.020,16.691,0.030,0.039,0.125,0.352,0.028,34.645,0.174,Low-z,2
37502,"SN 2003cq",37502,101754,"11 56 14.17","+60 31 19.1",0.034,17.158,0.035,-1.068,0.171,0.142,0.032,35.614,0.158,Low-z,2
37591,"SN 2001V",37591,100148,"11 57 24.93","+25 12 09.0",0.016,14.575,0.029,0.861,0.078,-0.026,0.026,33.843,0.192,Low-z,5
38146,"SN 2008bf",38156,100018,"12 04 02.90","+20 14 42.6",0.022,15.724,0.028,0.328,0.075,-0.128,0.027,35.240,0.169,Low-z,2
38887,"SN 2006az",38887,103005,"12 12 14.68","+56 10 45.8",0.031,16.475,0.029,-1.335,0.060,-0.088,0.028,35.618,0.154,Low-z,5
39401,"SN 2005bg",0,0,"12 17 17.23","+16 22 17.4",0.024,15.868,0.022,0.321,0.092,-0.041,0.023,35.107,0.162,Low-z,3
39640,"SN 2006cp",0,0,"12 19 14.89","+22 25 38.2",0.023,15.887,0.029,0.082,0.111,0.013,0.027,34.917,0.165,Low-z,2
39920,"SN 2000bh",39920,0,"12 21 15.14","-21 59 55.7",0.024,15.949,0.033,-0.141,0.088,0.012,0.027,34.952,0.167,Low-z,9
40400,"SN 2008ar",40183,101087,"12 24 37.92","+10 50 17.4",0.027,16.233,0.029,0.218,0.098,-0.061,0.028,35.520,0.161,Low-z,2
41409,"94M 04br",41409,107947,"12 31 07.80","+00 36 47.6",0.024,15.452,0.028,0.887,0.110,-0.074,0.026,34.929,0.164,Low-z,2
41438,"SN 1994S",41438,110385,"12 31 21.85","+29 08 04.0",0.016,14.766,0.034,0.259,0.199,-0.076,0.029,34.106,0.196,Low-z,8
41748,"SN 2000bk",41748,101121,"12 33 53.94","-07 22 42.9",0.027,16.929,0.050,-1.898,0.165,0.097,0.034,35.405,0.175,Low-z,10
42594,"SN 2006ac",42594,106969,"12 41 44.86","+35 04 07.1",0.024,16.149,0.029,-0.862,0.079,0.026,0.027,35.001,0.164,Low-z,5
42732,"SN 1992P",42732,109579,"12 42 48.93","+10 21 36.2",0.026,16.068,0.033,0.052,0.297,-0.082,0.043,35.395,0.192,Low-z,6
42998,"SN 1997Y",43101,100454,"12 45 31.40","+54 44 17.0",0.016,15.334,0.032,-0.921,0.193,-0.002,0.030,34.268,0.196,Low-z,1
43011,"SN 2006S",43011,0,"12 45 39.10","+35 05 12.4",0.033,16.844,0.028,0.955,0.092,0.033,0.028,35.941,0.154,Low-z,5
