"LOSS Ganeshalingam13","LOSS Ganeshalingam13","LOSS Ganeshalingam13","LOSS Ganeshalingam13","LOSS Ganeshalingam13","LOSS Ganeshalingam13","LOSS Ganeshalingam13","LOSS Ganeshalingam13","LOSS Ganeshalingam13","LOSS Ganeshalingam13","LOSS Ganeshalingam13","LOSS Ganeshalingam13","LOSS Ganeshalingam13","LOSS Ganeshalingam13","LOSS Ganeshalingam13","LOSS Ganeshalingam13"
pgc,SNIa,1PGC,Nest,RA,Dec,z3k,B,eB,x1,ex1,c,ec,mu,emu,Sample,Ref
%7s,%9s,%7d,%6d,%11s,%11s,%5.3f,%6.3f,%5.3f,%6.3f,%5.3f,%6.3f,%5.3f,%6.3f,%5.3f,%5s,%2d
---,,,,hms,dms,,mag,mag,,,,,mag,mag,,
"The Catalogue of Principal Galaxies (PGC) Number","Supernova identification","PGC ID of dominant group member","Nest ID in 2MASS group catalog by Tully(2015)","Right ascension J2000","Declination J2000","Redshift in CMB frame","B magnitude at maximum","Error in B magnitude at maximum","SALT2 light curve width x1 parameter","Error in SALT2 x1 parameter","SALT2 color c parameter","Error in SALT2 c parameter","Distance modulus","Error in distance modulus","LOSS sample","LOSS reference code"
59955,"SN 1990O",59877,103127,"17 15 35.92","+16 19 25.8",0.031,16.218,0.036,0.451,0.192,-0.054,0.031,35.515,0.162,Low-z,6
60138,"SN 2003U",60138,102180,"17 22 45.66","+62 09 50.4",0.028,16.459,0.052,-1.997,0.481,-0.042,0.043,35.361,0.175,Low-z,5
60771,"SN 2003fa",60771,105783,"17 44 07.72","+40 52 51.6",0.039,16.629,0.028,1.181,0.081,-0.071,0.027,36.087,0.148,Low-z,2
61091,"SN 1998bp",61128,100744,"17 54 50.74","+18 19 50.5",0.010,15.294,0.035,-2.520,0.180,0.197,0.033,33.363,0.261,Low-z,1
61173,"SN 2000cn",61173,101644,"17 57 40.42","+27 49 58.1",0.023,16.553,0.030,-2.204,0.117,0.073,0.028,35.061,0.168,Low-z,2
61310,"SN 2005de",61251,100627,"18 02 23.36","+26 03 07.7",0.015,15.350,0.023,-0.501,0.042,0.031,0.022,34.241,0.196,Low-z,2
61506,"SN 2002cu",61506,106398,"18 10 50.40","+31 06 32.3",0.023,16.112,0.028,-1.696,0.085,0.009,0.027,34.896,0.167,Low-z,2
61514,"SN 1998dx",61513,100230,"18 11 11.89","+49 51 40.7",0.054,17.566,0.045,-1.586,0.364,-0.095,0.036,36.697,0.159,Low-z,1
61722,"SN 2000dm",61722,111406,"18 18 58.97","+16 14 53.4",0.015,15.029,0.031,-1.853,0.124,-0.058,0.030,34.003,0.206,Low-z,2
61792,"SN 1998V",61792,108837,"18 22 37.40","+15 42 08.4",0.017,15.126,0.031,-0.313,0.088,0.009,0.028,34.113,0.187,Low-z,1
61808,"SN 2007co",61808,109327,"18 23 03.60","+29 53 49.6",0.027,16.451,0.027,-0.045,0.064,0.035,0.027,35.395,0.159,Low-z,2
61966,"SN 2001br",61991,102671,"18 30 25.55","+34 06 13.0",0.020,16.213,0.030,-1.221,0.115,0.042,0.028,34.963,0.175,Low-z,2
62220,"SN 2006bq",62220,100578,"18 39 58.88","+39 58 56.8",0.021,16.185,0.032,-1.506,0.099,0.043,0.028,34.889,0.171,Low-z,5
62381,"SN 2001cn",62381,210636,"18 46 17.84","-65 45 41.8",0.015,15.285,0.030,-0.593,0.059,0.128,0.027,33.854,0.195,Low-z,7
62934,"SN 2001bt",62951,200039,"19 13 46.75","-59 17 22.8",0.014,15.271,0.029,-0.874,0.070,0.157,0.027,33.707,0.203,Low-z,7
63175,"SN 2000cu",63175,209817,"19 24 20.95","-25 59 04.1",0.020,15.930,0.032,-1.600,0.117,0.055,0.030,34.583,0.180,Low-z,2
63832,"SN 2002do",63832,100734,"19 56 12.88","+40 26 10.8",0.015,15.428,0.056,-2.506,0.169,-0.023,0.037,34.197,0.206,Low-z,2
63925,"SN 1990T",0,0,"19 59 02.29","-56 15 30.1",0.040,17.193,0.043,-0.270,0.150,0.007,0.031,36.192,0.154,Low-z,6
63956,"SN 1991ag",64041,200022,"20 00 08.61","-55 22 03.1",0.014,14.448,0.041,0.697,0.136,-0.042,0.031,33.744,0.212,Low-z,6
64932,"SN 2004eo",64932,201267,"20 32 54.19","+09 55 42.7",0.015,15.029,0.022,-1.155,0.037,0.002,0.023,33.914,0.199,Low-z,3
64935,"SN 2003gt",64932,201267,"20 32 59.12","+09 52 19.3",0.015,14.870,0.023,-0.231,0.041,-0.028,0.022,33.987,0.198,Low-z,2
65335,"SN 1992al",65340,202129,"20 45 56.49","-51 23 39.9",0.014,14.461,0.030,-0.226,0.084,-0.111,0.027,33.840,0.206,Low-z,6
65375,"SN 2002ha",65375,200193,"20 47 18.58","+00 18 45.6",0.013,14.679,0.021,-1.373,0.055,-0.086,0.020,33.813,0.211,Low-z,2
65750,"SN 2002el",65799,200363,"20 56 30.09","-18 33 34.3",0.028,16.135,0.027,-1.229,0.092,-0.057,0.025,35.197,0.155,Low-z,2
66592,"SN 2001fh",0,0,"21 20 42.50","+44 23 53.2",0.012,14.062,0.039,-2.412,0.353,-0.230,0.035,33.498,0.234,Low-z,2
66604,"SN 2001dl",66604,211153,"21 21 01.73","+09 10 50.4",0.020,16.812,0.026,0.165,0.089,0.229,0.023,35.173,0.172,Low-z,2
66880,"SN 2006ev",66880,206432,"21 30 59.26","+13 59 21.2",0.028,16.799,0.140,-1.331,0.236,-0.015,0.065,35.715,0.187,Low-z,5
67056,"SN 2007fr",67052,202936,"21 37 08.74","+00 26 13.8",0.050,18.168,0.031,-2.083,0.155,-0.032,0.031,37.027,0.152,Low-z,2
67410,"SN 2004ey",0,0,"21 49 07.81","+00 26 39.2",0.015,14.704,0.021,0.008,0.027,-0.131,0.022,34.181,0.199,Low-z,3
68224,"SN 2008dr",68224,204441,"22 10 51.67","+02 06 29.6",0.040,17.496,0.023,-1.324,0.103,0.023,0.022,36.292,0.143,Low-z,2
68455,"SN 1999ee",68455,209015,"22 16 09.40","-36 50 31.5",0.011,14.872,0.027,0.719,0.041,0.237,0.025,33.289,0.246,Low-z,4
68507,"SN 2008ei",0,0,"22 17 33.25","+33 15 21.3",0.037,17.669,0.039,0.073,0.223,0.199,0.031,36.110,0.156,Low-z,2
68560,"SN 2002eb",68560,209221,"22 19 05.24","+24 35 39.8",0.026,16.027,0.021,0.846,0.056,-0.047,0.020,35.359,0.153,Low-z,2
68617,"SN 2002dl",68617,202796,"22 20 53.96","+33 17 33.7",0.015,15.829,0.028,-2.197,0.095,0.073,0.027,34.337,0.199,Low-z,2
69095,"SN 2006gr",69148,207512,"22 32 22.67","+30 49 43.3",0.033,16.940,0.031,0.911,0.124,0.072,0.028,35.908,0.153,Low-z,2
69160,"SN 2003gn",69160,0,"22 33 51.68","+20 48 08.5",0.033,17.373,0.027,-1.060,0.116,0.045,0.026,36.135,0.150,Low-z,2
69172,"SN 2005kc",69172,207851,"22 34 07.34","+05 34 06.3",0.014,15.493,0.022,-0.670,0.057,0.161,0.024,33.947,0.206,Low-z,3
69428,"SN 1998eg",69449,200808,"22 39 30.29","+08 36 20.6",0.024,16.117,0.031,-0.551,0.338,0.001,0.030,35.094,0.176,Low-z,1
69453,"SN 2006bh",69453,209504,"22 40 16.10","-66 29 06.3",0.011,14.344,0.023,-1.561,0.047,-0.063,0.024,33.377,0.247,Low-z,3
69533,"SN 2004ef",69533,206985,"22 42 10.02","+19 59 40.4",0.030,16.843,0.021,-1.309,0.037,0.081,0.023,35.455,0.153,Low-z,3
70348,"SN 2008ec",70348,201341,"23 03 16.56","+08 52 19.0",0.015,15.505,0.028,-0.925,0.064,0.090,0.027,34.146,0.199,Low-z,2
70429,"SN 2000dn",135879,201337,"23 05 05.86","-03 12 01.0",0.031,16.586,0.030,-0.331,0.102,-0.079,0.027,35.849,0.155,Low-z,2
70600,"SN 2006en",70600,206415,"23 10 05.06","+30 13 24.0",0.031,16.741,0.033,-0.156,0.151,0.040,0.029,35.653,0.158,Low-z,2
70827,"SN 1992bl",101255,201998,"23 15 13.09","-44 44 35.7",0.043,17.319,0.046,-1.652,0.123,-0.052,0.048,36.304,0.184,Low-z,6
71534,"SN 2002dp",71534,209910,"23 28 30.12","+22 25 38.8",0.010,14.456,0.022,-0.830,0.047,0.020,0.021,33.333,0.246,Low-z,2
72139,"SN 2006dm",72139,200684,"23 41 47.84","-03 40 08.4",0.021,16.012,0.030,-1.785,0.090,-0.026,0.029,34.893,0.174,Low-z,2
72411,"SN 2000cw",72233,200276,"23 47 25.10","+28 23 15.8",0.029,16.692,0.028,-0.683,0.114,0.006,0.027,35.635,0.156,Low-z,2
72641,"SN 2002ef",72641,206639,"23 51 29.54","-13 22 46.4",0.023,16.644,0.020,-0.535,0.084,0.268,0.019,34.781,0.161,Low-z,2
72657,"SN 1993ah",72441,200031,"23 51 50.27","-27 57 47.0",0.028,16.887,0.295,-1.872,1.306,0.133,0.161,35.254,0.424,Low-z,6
72775,"SN 2001da",72788,200465,"23 53 32.78","+08 07 02.6",0.016,15.467,0.028,-0.533,0.067,0.121,0.026,34.068,0.192,Low-z,2
73098,"SN 2005iq",0,0,"23 58 32.50","-18 42 33.0",0.033,16.755,0.021,-1.028,0.061,-0.107,0.024,36.006,0.151,Low-z,3
73123,"SN 2003he",73176,202255,"23 58 57.05","-02 14 53.1",0.024,16.208,0.021,0.299,0.058,0.044,0.020,35.172,0.158,Low-z,2
74050,"SN 2006td",6962,200003,"01 58 15.76","+36 20 57.7",0.015,15.711,0.031,-1.250,0.156,0.091,0.028,34.302,0.201,Low-z,5
83454,"SN 2006ak",33927,100020,"11 09 32.83","+28 37 50.3",0.039,17.178,0.074,-1.101,0.150,-0.017,0.043,36.132,0.161,Low-z,5
92948,"SN 2004gu",43086,101442,"12 46 24.72","+11 56 56.1",0.047,17.439,0.022,1.322,0.097,0.067,0.024,36.480,0.145,Low-z,3
132177,"SN 1992bs",0,0,"03 29 27.20","-37 16 18.9",0.063,18.280,0.041,-0.260,0.146,-0.041,0.048,37.432,0.181,Low-z,6
200171,"SN 2005ag",0,0,"14 56 43.65","+09 19 42.5",0.080,18.463,0.020,0.182,0.062,-0.038,0.024,37.671,0.140,Low-z,3
212843,"SN 2002eu",6796,200065,"01 49 43.60","+32 37 43.0",0.037,17.386,0.040,-1.893,0.142,0.025,0.028,36.090,0.150,Low-z,2
213672,"SN 2007ux",29387,100307,"10 09 19.98","+14 59 32.8",0.032,17.067,0.107,-1.359,0.284,-0.018,0.053,35.986,0.170,Low-z,2
214352,"SN 2005be",53552,105065,"14 59 32.72","+16 40 11.6",0.036,16.825,0.058,-1.789,0.103,-0.097,0.035,35.933,0.156,Low-z,3
214810,"SN 2007cq",214810,0,"22 14 40.43","+05 04 48.9",0.025,15.804,0.028,-0.327,0.077,-0.086,0.027,35.090,0.163,Low-z,2
340526,"SN 1990af",0,0,"21 34 58.12","-62 44 07.4",0.050,17.747,0.031,-2.263,0.178,-0.038,0.045,36.596,0.181,Low-z,6
343503,"SN 1992bg",343503,207319,"07 41 56.55","-62 31 10.0",0.035,16.749,0.045,-0.456,0.131,-0.051,0.045,35.905,0.180,Low-z,6
376039,"SN 1992bh",0,0,"04 59 27.55","-58 49 44.2",0.045,17.615,0.034,-0.019,0.156,0.038,0.045,36.552,0.182,Low-z,6
648636,"SN 1993ag",0,0,"10 03 35.00","-35 27 47.6",0.050,17.829,0.034,-0.777,0.141,0.063,0.047,36.577,0.185,Low-z,6
662260,"SN 1993B",0,0,"10 34 51.38","-34 26 30.0",0.070,18.447,0.050,-0.407,0.178,0.043,0.053,37.312,0.189,Low-z,6
679349,"SN 1993O",47202,100010,"13 31 07.87","-33 12 50.5",0.052,17.613,0.032,-0.685,0.103,-0.090,0.044,36.860,0.174,Low-z,6
869197,"SN 1992bp",0,0,"03 36 37.95","-18 21 13.7",0.079,18.290,0.031,-0.884,0.138,-0.105,0.049,37.555,0.185,Low-z,6
999654,"SN 1995ac",999482,204555,"22 45 34.14","-08 45 04.7",0.049,17.060,0.029,0.763,0.104,-0.051,0.027,36.394,0.146,Low-z,8
1130011,"SN 2005if",0,0,"03 30 12.88","-00 58 28.1",0.067,18.640,0.032,-0.421,0.115,0.106,0.032,37.305,0.131,SDSS,11
1154145,"SN 2005ku",0,0,"22 59 42.65","-00 00 48.6",0.045,17.548,0.040,-0.316,0.648,0.056,0.034,36.386,0.157,SDSS,11
1154577,"SN 2005ho",0,0,"00 59 24.09","+00 00 09.4",0.063,18.001,0.033,1.037,0.106,0.018,0.031,37.155,0.131,SDSS,11
1161680,"SN 2005kt",0,0,"01 10 58.06","+00 16 34.3",0.065,18.371,0.035,-1.053,0.265,0.031,0.034,37.180,0.140,SDSS,11
1183727,"SN 2005je",0,0,"02 35 26.58","+01 04 28.4",0.094,19.139,0.032,-1.714,0.160,-0.095,0.029,38.250,0.123,SDSS,11
1188501,"SN 2006eq",66830,204159,"21 28 37.13","+01 13 41.2",0.048,18.197,0.050,-1.949,0.104,0.099,0.034,36.659,0.154,Low-z,3
1258718,"SN 2006bw",52055,100191,"14 33 56.73","+03 47 55.8",0.031,17.417,0.067,-1.628,0.176,0.235,0.036,35.496,0.162,Low-z,5
1392929,"SN 1996bl",0,0,"00 36 17.97","+11 23 40.5",0.035,16.672,0.030,-0.079,0.122,-0.012,0.028,35.759,0.152,Low-z,8
1506233,"SN 2007s1",0,0,"00 14 59.83","+16 20 06.0",0.026,16.501,0.028,-0.746,0.090,0.021,0.027,35.387,0.161,Low-z,2
1676859,"SN 2004as",0,0,"11 25 39.18","+22 49 49.4",0.032,16.927,0.021,-0.196,0.091,0.048,0.020,35.808,0.146,Low-z,2
2078048,"SN 2008Z",27666,100462,"09 43 15.25","+36 17 03.9",0.022,16.410,0.031,0.630,0.157,0.102,0.029,35.240,0.173,Low-z,2
2085703,"SN 2001bp",0,0,"16 02 09.25","+36 43 08.0",0.095,18.642,0.107,1.831,2.298,-0.146,0.066,38.433,0.301,Low-z,2
2172338,"SN 2002aw",2172338,109765,"16 37 29.06","+40 52 50.3",0.026,16.232,0.030,-0.329,0.134,0.030,0.027,35.149,0.161,Low-z,2
3081460,"SN 2007H",24106,105131,"08 35 01.98","-08 20 15.3",0.044,18.037,0.112,0.372,0.331,0.205,0.059,36.504,0.191,Low-z,5
3116657,"SN 2005gb",0,0,"01 16 12.60","+00 47 30.9",0.087,18.751,0.031,-0.124,0.079,-0.061,0.025,37.988,0.117,SDSS,11
3116670,"SN 2005ir",0,0,"01 16 43.75","+00 47 40.3",0.076,18.412,0.032,0.574,0.136,-0.027,0.027,37.607,0.120,SDSS,11
3333560,"SN 2006py",1148102,200831,"22 41 42.04","-00 08 13.5",0.057,17.885,0.022,0.154,0.259,0.008,0.025,36.943,0.145,Low-z,3
3358371,"SN 2006al",31667,101823,"10 39 28.26","+05 11 00.3",0.069,18.388,0.059,-1.479,0.308,-0.102,0.039,37.557,0.162,Low-z,5
3519166,"SN 2005ex",0,0,"01 41 51.28","-00 52 36.3",0.094,18.913,0.063,0.763,0.292,-0.043,0.035,38.223,0.136,SDSS,11
3577012,"SN 2005ed",0,0,"00 02 49.36","+00 45 04.8",0.087,18.761,0.071,-0.410,0.197,-0.070,0.037,37.983,0.126,SDSS,11
3617935,"SN 2005hf",5395,201598,"01 27 05.97","+19 07 00.5",0.042,17.275,0.087,-1.676,0.220,-0.084,0.052,36.359,0.168,Low-z,5
3624566,"SN 1992br",0,0,"01 45 44.83","-56 05 57.9",0.088,19.168,0.092,-2.264,0.272,-0.155,0.080,38.388,0.235,Low-z,6
3663002,"SN 1990Y",0,0,"03 37 22.59","-33 02 34.7",0.039,17.512,0.082,-0.350,0.206,0.215,0.039,35.844,0.163,Low-z,6
4019108,"SN 2006oa",0,0,"21 23 42.96","-00 50 35.0",0.059,17.883,0.032,1.277,0.279,-0.011,0.030,37.165,0.150,Low-z,5
4115998,"SN 1999dk",5673,202769,"01 31 26.92","+14 17 05.7",0.014,14.783,0.029,-0.171,0.069,0.001,0.026,33.816,0.206,Low-z,2
4131950,"SN 2005hj",0,0,"01 26 48.40","-01 14 17.2",0.057,17.750,0.034,1.065,0.145,-0.008,0.032,36.992,0.133,SDSS,11
4524675,"SN 2006on",0,0,"21 55 58.50","-01 04 13.0",0.069,18.435,0.052,0.861,0.711,0.085,0.047,37.354,0.183,Low-z,5
5065169,"SN 1997dg",71985,200016,"23 40 14.21","+26 12 11.8",0.030,16.861,0.032,-0.339,0.199,-0.021,0.029,35.938,0.160,Low-z,1
5065170,"SN 1992aq",0,0,"23 04 34.76","-37 20 42.1",0.100,19.291,0.049,-1.286,0.261,-0.076,0.060,38.405,0.211,Low-z,6
5065172,"SN 2007qe",0,0,"23 54 12.98","+27 24 33.4",0.023,16.020,0.029,0.368,0.088,0.009,0.028,35.106,0.167,Low-z,2
5068230,"SN 2008s5",0,0,"22 01 49.07","+13 03 19.1",0.030,16.329,0.040,1.032,0.176,-0.031,0.032,35.638,0.163,Low-z,2
5068279,"SN 2005fn",0,0,"20 48 53.05","+00 11 28.0",0.095,18.649,0.036,1.110,0.214,-0.121,0.028,38.256,0.125,SDSS,11
5068740,"SN 2005ff",0,0,"22 30 41.04","-00 46 34.4",0.087,19.103,0.033,-0.578,0.085,0.053,0.026,37.912,0.119,SDSS,11
5069156,"SN 2005lj",0,0,"01 57 43.16","-00 10 46.2",0.078,20.347,0.048,0.435,0.408,0.396,0.037,38.217,0.144,SDSS,11
5069215,"SN 1992ae",0,0,"21 28 17.94","-61 33 01.4",0.075,18.442,0.046,-0.718,0.170,-0.031,0.054,37.497,0.193,Low-z,6
