"Tonry SNIa","Tonry SNIa","Tonry SNIa","Tonry SNIa","Tonry SNIa","Tonry SNIa","Tonry SNIa","Tonry SNIa","Tonry SNIa","Tonry SNIa","Tonry SNIa"
pgc,SNIa,l,b,z,objname,ref,logcz,logdH,e_logdH,AgV,Method
%7s,%6s,%7.3f,%7.3f,%6.4f,%8s,%8s,%5.3f,%5.3f,%5.3f,%4.2f,%5s
---,,deg,deg,,,,km/s,km/s,km/s,mag,
"The Catalogue of Principal Galaxies (PGC) Number","Supernova name","Galactic longitude","Galactic latitude",Redshift,"Galaxy name used by Tonry et al. ApJ 594,1,2003",References,"Log of radial velocity","Log of luminosity distance, velocity units with H_0=65 km/s/Mpc","Error in distance","V band extinction","Contributing method to lightcurve fit"
41823,sn81B,292.970,64.743,0.0072,N4536,2,3.334,3.077,0.041,0.25,RT
42732,sn92P,295.617,73.110,0.0265,I3690,10,3.900,3.939,0.027,0.13,RPJST
42741,sn90N,294.369,75.987,0.0044,N4639,21,3.120,3.204,0.035,0.30,RST
42998,sn97Y,124.772,62.369,0.0166,N4675,11,3.697,3.730,0.039,0.19,JT
43118,sn97bp,301.157,51.213,0.0095,N4680,11,3.455,3.416,0.025,0.44,RJST
43288,sn98ab,124.861,75.194,0.0278,N4704,11,3.921,3.876,0.025,0.59,JST
45224,sn94U,308.732,54.772,0.0056,N4948,29,3.225,3.149,0.030,0.00,R
45683,sn92K,306.275,16.309,0.0112,E269-57,10,3.526,3.432,0.036,0.56,RJST
45749,sn96ai,101.583,79.246,0.0041,N5005,30,3.090,3.109,0.121,4.08,RS
46330,sn96X,310.232,35.649,0.0078,N5061,30,3.369,3.266,0.024,0.08,RST
46574,sn97br,311.841,40.328,0.0080,E576-40,11:18,3.380,3.282,0.026,0.47,JT
46640,sn94T,318.017,59.838,0.0360,P46640,30,4.033,4.014,0.025,0.17,RJST
46779,sn91U,311.824,36.212,0.0331,I4232,10,3.997,3.938,0.032,0.47,RJST
46839,sn92ag,312.490,38.386,0.0262,E508-67,10,3.895,3.864,0.031,0.49,RPJST
46957,sn86G,309.543,19.401,0.0027,N5128,26,2.908,2.440,0.035,0.49,RT
47150,sn97by,312.690,34.865,0.0450,A1736,8,4.130,4.084,0.039,0.16,S
48334,sn72E,314.840,30.080,0.0023,N5253,16,2.839,2.399,0.033,0.10,RT
48860,sn96bk,111.255,54.881,0.0072,N5308,30,3.334,3.298,0.041,0.81,RST
49153,sn96C,99.624,65.036,0.0276,M+082547,30,3.918,3.989,0.026,0.32,RJST
49304,sn93H,318.223,30.336,0.0251,E445-66,10,3.876,3.845,0.026,0.32,RJST
50042,sn98D,63.777,72.905,0.0132,N5440,11,3.597,3.605,0.069,0.20,J
50323,sn99cp,334.851,52.708,0.0104,N5468,15,3.494,3.525,0.026,0.04,RJT
50558,sn97cn,9.137,69.506,0.0175,N5490,11:36,3.720,3.730,0.026,0.06,JT
56286,sn00cf,99.883,42.165,0.0360,M+111925,11,4.033,4.112,0.032,0.13,RJST
56537,sn91M,30.392,45.900,0.0076,I1151,5,3.358,3.397,0.030,0.00,R
56812,sn99cc,59.667,48.740,0.0316,N6038,11,3.977,3.983,0.029,0.13,RJST
57205,sn99ac,19.883,39.943,0.0099,N6063,11:20,3.472,3.478,0.023,0.42,JST
58395,sn98cs,65.238,43.339,0.0327,U10432,11,3.991,3.956,0.037,0.03,RT
59076,sn94Q,64.384,39.680,0.0290,P59076,30,3.939,3.955,0.026,0.26,RJST
59955,sn90O,37.654,28.360,0.0307,M+034403,10,3.964,3.977,0.025,0.09,RPJST
60536,sn99da,89.732,32.649,0.0121,N6411,14:20,3.560,3.623,0.044,0.58,RJST
61091,sn98bp,43.643,20.481,0.0104,N6495,11,3.494,3.475,0.029,0.42,RJST
61173,sn00cn,53.445,23.318,0.0233,U11064,11,3.844,3.847,0.023,0.27,JST
61514,sn98dx,77.674,26.667,0.0538,U11149,11,4.208,4.175,0.030,0.05,JT
61792,sn98V,43.942,13.346,0.0170,N6627,11,3.707,3.686,0.028,0.31,JST
63925,sn90T,341.503,-31.526,0.0400,P63925,10,4.079,4.101,0.042,0.25,RJT
63956,sn91ag,342.556,-31.639,0.0141,I4919,10,3.626,3.626,0.025,0.11,RJST
65335,sn92al,347.337,-38.490,0.0141,E234-69,10,3.626,3.636,0.026,0.06,RPJT
67359,sn98co,41.520,-44.941,0.0171,N7131,11,3.710,3.729,0.046,0.28,JT
69428,sn98eg,76.464,-42.060,0.0234,U12133,11,3.846,3.897,0.042,0.26,JT
70213,sn97dt,87.564,-39.122,0.0061,N7448,11,3.262,3.375,0.043,0.46,JT
70795,sn98dh,82.828,-50.644,0.0076,N7541,11,3.358,3.403,0.034,0.50,ST
70827,sn92bl,344.129,-63.925,0.0430,E291-11,10,4.110,4.095,0.022,0.06,RPJST
72657,sn93ah,25.876,-76.771,0.0286,E471-27,10,3.933,3.933,0.032,0.18,RJST
74525,sn97cu,265.042,-51.213,0.0620,A3128,8,4.269,4.240,0.045,0.00,S
88336,sn98ea,272.198,-39.821,0.0570,A3266,8,4.233,4.314,0.043,0.58,S
131407,sn97fb,242.377,-37.317,0.0530,A3301,8,4.201,4.254,0.045,0.71,S
132177,sn92bs,240.028,-55.345,0.0630,Anon,10,4.276,4.327,0.026,0.19,RPJST
340526,sn90af,330.823,-42.235,0.0500,Anon,10,4.176,4.149,0.026,0.06,RPJST
343503,sn92bg,274.611,-18.346,0.0360,Anon,10,4.033,4.036,0.030,0.24,RPJST
376039,sn92bh,267.849,-37.328,0.0450,Anon,10,4.130,4.191,0.026,0.33,RPJST
471591,sn92au,319.112,-65.883,0.0610,Anon,10,4.262,4.252,0.030,0.13,RJST
541923,sn96am,355.950,-49.361,0.0650,A3809,8,4.290,4.356,0.043,0.32,S
643983,sn99ao,243.830,-20.023,0.0550,A3392,8,4.217,4.242,0.039,0.26,S
648636,sn93ag,268.435,15.929,0.0500,Anon,10,4.176,4.209,0.026,0.26,RPJST
679349,sn93O,312.414,28.926,0.0520,Anon,10,4.193,4.231,0.026,0.08,RPJST
765572,sn92J,263.540,23.545,0.0460,Anon,10,4.140,4.099,0.033,0.27,RJST
954341,sn95M,246.716,28.833,0.0530,Anon,29,4.201,4.243,0.044,0.10,RT
999654,sn95ac,58.694,-55.049,0.0490,Anon,30,4.167,4.160,0.028,0.24,RJST
1187213,sn97bz,259.751,56.407,0.0313,Anon,8,3.972,4.060,0.116,3.11,S
1392929,sn96bl,116.992,-51.302,0.0348,Anon,30,4.018,4.033,0.031,0.28,RJST
9003101,sn90Y,232.645,-53.854,0.0390,Anon,10,4.068,3.985,0.039,0.54,RJT
9003102,sn96ao,265.439,-51.259,0.0580,A3128,8,4.240,4.240,0.067,0.52,S
9003103,sn96bx,263.413,-46.747,0.0580,Anon,8,4.240,4.256,0.130,0.36,S
9003104,sn97dg,103.616,-33.984,0.0297,Anon,11,3.950,4.033,0.029,0.25,JST
9003105,sn97fc,242.691,-37.596,0.0540,A3301,8,4.209,4.230,0.039,0.10,S
9003106,sn98fb,264.638,-51.045,0.0600,A3128,8,4.255,4.262,0.059,0.00,S
