"Constitution SNIa","Constitution SNIa","Constitution SNIa","Constitution SNIa","Constitution SNIa","Constitution SNIa","Constitution SNIa","Constitution SNIa","Constitution SNIa","Constitution SNIa","Constitution SNIa","Constitution SNIa","Constitution SNIa","Constitution SNIa","Constitution SNIa","Constitution SNIa","Constitution SNIa","Constitution SNIa","Constitution SNIa","Constitution SNIa","Constitution SNIa","Constitution SNIa","Constitution SNIa","Constitution SNIa","Constitution SNIa","Constitution SNIa","Constitution SNIa","Constitution SNIa","Constitution SNIa","Constitution SNIa","Constitution SNIa"
pgc,SNIa,zcmb,ez,S_Bmag,S_eB,S_s,S_es,S_c,S_ec,S_mu0,S_emu0,S2_Bmag,S2_eB,S2_s,S2_es,S2_c,S2_ec,S2_mu0,S2_emu0,M31_Del,M31_eD,M31_AV,M31_eAV,M31_mu0,M31_emu0,M17_Del,M17_eD,M17_AV,M17_eAV,M17_mu0,M17_emu0
%7s,%6s,%5.3f,%5.3f,%6.3f,%5.3f,%6.3f,%5.3f,%6.3f,%5.3f,%6.3f,%5.3f,%6.3f,%5.3f,%6.3f,%5.3f,%6.3f,%5.3f,%6.3f,%5.3f,%6.3f,%5.3f,%5.3f,%5.3f,%6.3f,%5.3f,%6.3f,%5.3f,%5.3f,%5.3f,%6.3f,%5.3f
---,,,,mag,mag,,,,,mag,mag,mag,mag,,,,,mag,mag,,,mag,mag,mag,mag,,,mag,mag,mag,mag
"The Catalogue of Principal Galaxies (PGC) Number","Supernova name","Supernova redshift in CMB frame","Error in supernova redshift","SALT: Apparent B magnitude","SALT: Error in B magnitude","SALT: Light curve stretch parameter","SALT: Error in stretch parameter","SALT: Color parameter","SALT: Error in color parameter","SALT: Distance modulus + 5 log H0/65","SALT: Error in distance modulus","SALT2: Apparent B magnitude","SALT2: Error in B magnitude","SALT2: Light curve stretch parameter","SALT2: Error in stretch parameter","SALT2: Color parameter","SALT2: Error in color parameter","SALT2: Distance modulus + 5 log H0/65","SALT2: Error in distance modulus","MLCS31: Light curve shape parameter","MLCS31: Error in light curve shape parameter","MLCS31: Host galaxy extinction parameter in V band","MLCS31: Error in extinction parameter","MLCS31: Distance modulus + 5 log H0/65","MLCS31: Error in distance modulus","MLCS17: Light curve shape parameter","MLCS17: Error in light curve shape parameter","MLCS17: Host galaxy extinction parameter in V band","MLCS17: Error in extinction parameter","MLCS17: Distance modulus + 5 log H0/65","MLCS17: Error in distance modulus"
6624,1996bo,0.016,0.001,,,,,,,,,15.821,0.014,-0.968,0.160,0.397,0.014,34.179,0.236,0.044,0.070,0.986,0.120,34.004,0.224,-0.035,0.078,0.626,0.071,34.304,0.213
6888,2006ob,0.058,0.001,18.185,0.138,0.699,0.011,0.050,0.007,37.146,0.149,18.202,0.016,-2.841,0.242,0.043,0.017,37.243,0.174,0.658,0.072,0.066,0.052,37.113,0.128,0.541,0.078,0.021,0.021,37.105,0.139
7299,2005hc,0.045,0.001,17.373,0.138,0.977,0.007,0.068,0.005,36.634,0.153,17.311,0.010,-0.022,0.140,0.008,0.009,36.731,0.173,-0.129,0.056,0.132,0.081,36.869,0.140,-0.125,0.075,0.115,0.052,36.755,0.136
7397,sn02fb,0.015,0.001,,,,,,,,,,,,,,,,,1.278,0.085,0.687,0.153,34.209,0.230,1.368,0.089,0.238,0.084,34.368,0.220
7889,2006ef,0.017,0.001,,,,,,,,,15.573,0.036,-1.306,0.218,0.038,0.029,34.785,0.243,0.099,0.080,0.119,0.086,34.841,0.225,0.077,0.094,0.055,0.043,34.770,0.228
8334,2005lz,0.040,0.001,17.596,0.138,0.807,0.009,0.150,0.006,36.432,0.157,17.590,0.015,-1.461,0.188,0.127,0.015,36.567,0.179,0.203,0.088,0.394,0.118,36.519,0.166,0.217,0.103,0.173,0.068,36.557,0.155
8796,2002hu,0.038,0.001,16.607,0.138,1.009,0.007,-0.026,0.004,36.150,0.158,16.582,0.011,0.096,0.134,-0.052,0.010,36.163,0.177,-0.193,0.051,0.056,0.047,36.289,0.128,-0.246,0.055,0.036,0.030,36.234,0.132
9221,sn06em,0.018,0.001,,,,,,,,,,,,,,,,,1.463,0.083,0.497,0.237,35.063,0.247,,,,,,
9618,sn99gp,0.026,0.001,15.990,0.053,1.130,0.030,0.040,0.010,35.512,0.129,15.984,0.009,1.443,0.094,0.057,0.010,35.437,0.194,-0.351,0.028,0.109,0.064,35.610,0.151,,,,,,
9776,sn99dq,0.013,0.001,,,,,,,,,14.348,0.007,0.287,0.034,0.118,0.008,33.529,0.259,-0.288,0.029,0.378,0.089,33.662,0.232,-0.359,0.034,0.299,0.051,33.705,0.229
10448,sn95ak,0.022,0.001,15.870,0.105,0.890,0.040,0.070,0.050,35.017,0.216,15.935,0.046,-1.376,0.237,0.079,0.030,35.038,0.223,0.114,0.066,0.628,0.117,34.724,0.197,0.130,0.080,0.259,0.072,34.895,0.185
10738,sn03iv,0.034,0.001,16.951,0.138,0.715,0.016,-0.016,0.009,36.104,0.165,16.956,0.024,-2.422,0.468,-0.024,0.025,36.204,0.198,0.403,0.106,0.074,0.055,36.213,0.155,0.278,0.106,0.023,0.024,36.258,0.160
10948,2005ls,0.021,0.001,16.213,0.138,1.076,0.009,0.357,0.005,34.846,0.195,16.151,0.018,0.574,0.191,0.372,0.013,34.732,0.213,-0.236,0.057,1.153,0.125,34.411,0.205,-0.254,0.062,0.750,0.064,34.694,0.186
10998,sn06os,0.032,0.001,17.636,0.139,0.892,0.018,0.433,0.013,35.844,0.169,17.613,0.022,-0.917,0.235,0.480,0.019,35.773,0.190,-0.072,0.084,1.436,0.175,35.322,0.207,-0.125,0.103,0.858,0.101,35.773,0.179
11606,1992bc,0.020,0.001,15.070,0.156,1.010,0.010,-0.060,0.010,34.702,0.214,15.068,0.009,0.310,0.073,-0.060,0.010,34.691,0.214,-0.194,0.036,0.018,0.020,34.850,0.169,-0.253,0.044,0.012,0.012,34.795,0.175
11767,sn05eq,0.028,0.001,16.268,0.138,1.119,0.005,0.059,0.004,35.726,0.171,16.223,0.012,0.820,0.093,0.034,0.010,35.668,0.189,-0.266,0.039,0.080,0.063,35.886,0.148,-0.309,0.045,0.104,0.047,35.797,0.148
12208,sn08L,0.019,0.001,,,,,,,,,15.104,0.045,-2.040,0.250,-0.084,0.037,34.542,0.242,0.297,0.162,0.097,0.079,34.477,0.245,0.293,0.180,0.036,0.033,34.392,0.258
12241,2006gj,0.028,0.001,17.600,0.139,0.680,0.011,0.316,0.011,35.849,0.175,17.651,0.030,-2.171,0.275,0.408,0.022,35.858,0.200,0.513,0.135,1.112,0.187,35.306,0.181,0.582,0.159,0.482,0.126,35.672,0.168
12429,sn05mz,0.017,0.001,,,,,,,,,,,,,,,,,1.213,0.058,0.850,0.157,34.077,0.224,1.364,0.067,0.266,0.089,34.297,0.203
13580,sn06kf,0.021,0.001,15.767,0.138,0.687,0.006,-0.061,0.007,35.001,0.194,15.806,0.026,-2.860,0.208,-0.031,0.025,35.028,0.219,0.661,0.092,0.070,0.056,34.959,0.193,0.628,0.097,0.024,0.024,34.961,0.195
15708,sn06lf,0.013,0.001,,,,,,,,,13.629,0.021,-1.938,0.119,-0.208,0.019,33.385,0.270,0.263,0.062,0.193,0.153,33.721,0.254,0.292,0.079,0.095,0.074,33.745,0.259
15937,1995bd,0.014,0.001,,,,,,,,,15.233,0.015,0.598,0.137,0.328,0.015,33.926,0.253,-0.249,0.044,0.537,0.261,33.969,0.236,-0.327,0.049,0.462,0.159,34.062,0.241
16390,sn01ep,0.013,0.001,,,,,,,,,14.869,0.012,-1.200,0.138,0.132,0.012,33.859,0.268,0.081,0.068,0.474,0.085,33.795,0.246,0.046,0.081,0.259,0.054,33.892,0.245
16537,sn06le,0.017,0.001,,,,,,,,,14.802,0.012,1.452,0.091,-0.054,0.011,34.528,0.228,-0.232,0.033,0.087,0.081,34.713,0.198,-0.272,0.044,0.076,0.060,34.633,0.203
