"Stahl SNIa","Stahl SNIa","Stahl SNIa","Stahl SNIa","Stahl SNIa","Stahl SNIa","Stahl SNIa","Stahl SNIa","Stahl SNIa","Stahl SNIa","Stahl SNIa","Stahl SNIa","Stahl SNIa","Stahl SNIa","Stahl SNIa","Stahl SNIa","Stahl SNIa"
pgc,1PGC,Nest,SNIa,DM,eDM,Vcmb,Vrc3,J2000,RA,De,Glon,Glat,SGL,SGB,Ty,Ag,SSubsamp
%7s,%7d,%6d,%29s,%5.2f,%4.2f,%5d,%5d,%16s,%10.6f,%10.6f,%8.4f,%8.4f,%8.4f,%8.4f,%4s,%5.3f,%10s
---,,,,mag,mag,km/s,km/s,"hms,dds",deg,deg,deg,deg,deg,deg,,mag,
"The Catalogue of Principal Galaxies (PGC) Number","PGC ID of dominant group member","Nest ID in 2MASS group catalog by Tully(2015)","Supernova identification","Distance modulus","Error in distance modulus","Velocity of supernova in CMB frame","Heliocentric velocity of supernova host from RC3","J2000 right ascension and declination of host","Right ascension (J2000) of SNII in degrees","Declination (J2000) of SNII in degrees","Galactic Longitude of host","Galactic Latitude of host","Supergalactic Longitude of host","Supergalactic Latitude of host","Type code given in RC3","Extinction at B band from RC3","Subsample in Stahl collection"
21767,21767,101883,sn2007r,35.65,0.18,8868,9235,J074637.7+444726,116.729200,44.756000,174.3500,28.1567,36.8264,-28.3712,0,0.203,A1
21841,21789,102473,2017ckx,35.50,0.16,8499,8142,J074811.0+281349,117.045900,28.230300,192.2465,24.0704,42.8671,-44.2153,-2,0.148,Foundation
22031,22031,102878,SN1995E,33.97,0.42,3496,3465,J075154.8+730056,117.986500,73.009600,141.9871,30.2586,30.5668,-0.7814,3.3,0.115,standard
22428,22520,100044,sn2006qo,35.47,0.16,8988,8908,J080008.5+562156,120.066800,56.353300,161.3847,31.6832,35.7778,-16.6423,5.9,0.171,A1
22695,22695,101339,sn2000ce,34.16,0.23,4944,4884,J080506.8+664658,121.279900,66.784200,149.1019,31.9996,33.3119,-6.4915,3,0.244,A1
22721,22721,102238,2018gv,31.98,1.97,1838,1581,J080538.0-112537,121.394200,-11.437900,231.8511,10.7876,104.6386,-72.3204,5.1,0.251,LOSS2
22976,0,0,sn2006te,35.77,0.16,9617,9458,J081143.5+413318,122.967300,41.541100,178.9787,32.0757,42.9491,-30.0526,0.5,0.196,A1
23256,23256,100494,2013gq,33.76,0.28,4377,4129,J081753.5+232820,124.472700,23.469600,199.7057,28.8367,54.2415,-45.8935,-0.1,0.246,LOSS2
23371,23371,102471,sn2002he,35.03,0.19,7429,7364,J082001.8+624950,125.053900,62.825400,153.5970,33.9784,36.1180,-9.7179,-4.9,0.169,A1
23498,23498,103148,sn2007ax,33.04,0.21,2365,2112,J082243.5+223311,125.692200,22.575200,201.1204,29.5830,56.2916,-46.1268,-2.9,0.233,A1
23700,23700,108151,2005mc,35.19,0.15,7798,7540,J082706.0+213843,126.776500,21.646000,202.4981,30.2347,58.2307,-46.3561,0.2,0.189,CSP
23725,23725,101075,sn1999aa,34.21,0.16,4584,4326,J082742.0+212845,126.904200,21.503200,202.7338,30.3102,58.5321,-46.4186,5,0.172,A1
23918,23918,107120,sn2007bd,35.49,0.17,9587,9272,J083132.9-011152,127.879100,-1.233100,226.0713,21.5246,87.4153,-62.1263,1,0.147,A1
24002,24002,100195,2006bb,35.34,0.31,7561,7409,J083330.7+413132,128.379500,41.517800,179.6824,36.1103,47.2210,-28.4026,-2,0.147,LOSS1
24071,24071,108946,2014ao,34.58,0.40,4509,4215,J083433.4-023249,128.638800,-2.543400,227.7310,21.4951,90.7198,-62.1826,3,0.154,LOSS2
24111,24111,111917,SN2001bg,32.93,0.28,2365,2154,J083517.2+282824,128.828600,28.468300,195.4557,34.0475,55.3554,-39.5997,3.4,0.170,snapshot
24156,24156,108573,2008bi,34.02,0.16,4314,4033,J083553.6+004226,128.972500,0.706400,224.8623,23.4114,85.3705,-60.1679,1.5,0.188,CSP
24178,24178,112376,2009kq,33.65,0.24,3738,3486,J083615.4+280337,129.062900,28.067100,196.0048,34.1457,55.8766,-39.8357,4.7,0.178,LOSS2
24286,24286,108410,SN2004gs,35.51,0.16,8478,8214,J083823.9+173753,129.594400,17.629300,207.9601,31.3152,64.8709,-48.0436,-3.6,0.134,A1
24288,24288,102570,sn1999gd,34.39,0.22,5771,5497,J083824.1+254516,129.618200,25.793700,198.8395,33.9735,58.0703,-41.5021,2.7,0.178,A1
24397,24970,100256,2017cfd,33.57,0.16,3627,3599,J084050.4+732912,130.204800,73.487500,140.5764,33.6006,33.7262,0.8374,0.4,0.096,Foundation
24594,24669,102805,SN2010iw,34.78,0.19,6685,6451,J084516.0+274925,131.312500,27.822700,196.9119,36.0070,58.1888,-38.9291,8,0.237,standard
24788,24788,109684,sn2005ms,35.40,0.16,7762,7559,J084916.4+360711,132.332200,36.124100,186.9034,38.4884,53.4043,-31.5581,3,0.147,A1
24848,24848,207260,2008ia,34.82,0.13,6775,6567,J085035.9-611640,132.646500,-60.722100,277.8080,-10.8004,188.8108,-39.9752,-3.5,0.980,CSP
24988,24988,100555,sn2002hd,35.57,0.19,10784,9244,J085404.7-071100,133.487200,-7.239300,234.7684,23.1578,103.5502,-59.6481,-2.3,0.165,A1
25005,0,0,sn1999x,35.31,0.19,7714,7507,J085431.8+363035,133.646900,36.500900,186.5867,39.5897,54.1883,-30.6511,1,0.138,A1
25020,25020,111336,SN2011hr,33.64,0.42,4188,4013,J085446.3+393220,133.691800,39.537800,182.6723,39.9461,52.3185,-28.0968,1.1,0.105,snapshot
25251,25251,109395,"PSN J08593491+4555343",35.47,0.13,8775,8429,J085934.6+455536,134.895500,45.926200,174.3050,40.9932,49.3199,-22.2465,4.5,0.105,Foundation
25561,25561,0,2018oh,33.43,0.19,3565,3292,J090639.5+192012,136.665000,19.338300,208.8970,38.1860,70.3247,-42.2930,8,0.196,LOSS2
25646,25646,109285,2008hv,33.85,0.16,4071,3775,J090736.6+032334,136.891900,3.392300,226.6652,31.6242,89.0241,-52.0498,-1.8,0.139,CSP
25794,25870,101105,sn2001g,34.27,0.17,5183,5008,J090933.0+501654,137.380400,50.295100,168.3173,42.3063,48.2590,-17.6926,2.5,0.068,A1
26089,26013,100196,2009cz,34.87,0.13,6817,6340,J091459.7+294349,138.750100,29.735300,196.3683,42.7800,63.0737,-33.4035,-0.2,0.112,CSP
26151,26151,102979,2005am,32.42,0.20,2689,2356,J091611.1-161846,139.052000,-15.695600,246.2083,22.1008,122.4518,-56.1138,1.1,0.231,CSP
26177,26181,100954,SN2017ilf,35.57,0.25,9195,8744,J091641.4+185749,139.186400,18.954100,210.3895,40.2876,72.8746,-40.8392,-1.3,0.239,snapshot
26377,26377,100034,2014ai,34.91,0.21,7192,6899,J091946.8+334459,139.934000,33.763800,191.0930,44.3913,60.8705,-29.7067,-4.3,0.075,LOSS2
26512,26512,110426,sn1999by,30.81,0.42,839,635,J092202.7+505836,140.440100,51.016000,166.9419,44.1514,49.5251,-15.9780,2.9,0.066,A1
26840,26840,210837,2007as,34.41,0.14,5366,5160,J092740.4-801047,141.900000,-79.822400,294.7922,-20.7109,199.8601,-23.3205,4.2,0.617,CSP
27016,0,0,SN2013gs,34.33,0.31,5261,5035,J093107.9+462303,142.787000,46.384800,173.0231,46.3959,53.7387,-18.6531,4.1,0.084,snapshot
27351,27351,101088,sn1996z,32.58,0.24,2575,2274,J093644.9-210741,144.213100,-21.113200,253.5932,22.5721,130.7998,-51.3588,3.2,0.275,A1
27404,27385,101363,SN2005M,35.14,0.16,6886,7378,J093732.7+231212,144.391100,23.199000,206.8926,46.2169,72.9427,-34.3879,4.4,0.136,A1
27437,27437,111647,sn2001fe,33.89,0.18,4284,4055,J093758.0+252941,144.510300,25.499200,203.7010,46.8826,70.9454,-32.8090,1.1,0.097,A1
27509,27509,100126,2003d,34.96,0.22,7009,6624,J093853.5-045056,144.723000,-4.851400,239.9528,33.5918,105.8445,-48.3440,-4.8,0.284,LOSS1
27635,27635,102572,sn1995d,32.54,0.21,2305,1959,J094053.9+050957,145.253300,5.180000,229.9967,39.6683,92.8084,-43.9477,-1,0.250,A1
27885,27885,101088,sn1999gh,32.56,0.22,2635,2327,J094416.0-211642,146.021700,-21.268000,255.0402,23.7226,130.9973,-49.6044,-4.7,0.252,A1
27923,27923,112093,SN2011ia,34.53,0.18,5441,5298,J094503.2+641527,146.264400,64.259900,148.2977,42.5583,43.5532,-3.6887,1.3,0.260,standard
28061,28061,107301,SN2003kc,36.01,0.26,10343,9950,J094634.7+303911,146.643000,30.655300,196.5721,49.6640,67.9652,-27.9499,3,0.088,snapshot
28081,28081,102040,sn2003w,34.65,0.16,6320,6015,J094649.5+160234,146.679000,16.020000,217.6842,45.9332,81.5708,-37.0362,5.4,0.207,A1
28357,28357,102672,sn1995al,32.45,0.24,1766,1538,J095057.1+333313,147.692600,33.537700,192.1781,50.8387,66.2586,-25.3149,4,0.058,A1
28525,28525,108797,ASASSN-15hg,35.64,0.14,9395,8978,J095349.2+091138,148.452600,9.193800,227.4901,44.4681,90.1106,-39.2118,1,0.211,Foundation
28650,0,0,PS15djw,37.51,0.35,18944,18622,J095558.9+063358,148.994100,6.566900,231.0189,43.5988,93.4478,-39.9720,3,0.139,snapshot
28655,28630,111812,2014J,28.24,1.28,282,231,J095552.3+694047,148.925600,69.673900,141.4095,40.5669,40.7216,1.0544,7.2,0.677,LOSS2
28838,28844,101769,SN2001gb,35.49,0.26,8034,7632,J095900.2+174902,149.754000,17.820100,216.8544,49.2974,81.7820,-33.6303,3.2,0.145,snapshot
28949,28964,102043,2007S,34.10,0.29,4407,4160,J100032.0+042426,150.130200,4.407300,234.3668,43.3848,96.6258,-39.8923,3.1,0.121,LOSS2
29306,29306,110278,SN2004ap,34.81,0.28,7516,7204,J100544.5+101636,151.432500,10.271400,228.1954,47.5602,90.6895,-36.1149,0,0.155,snapshot
29855,29814,101282,SN2003cg,32.30,0.56,1655,1232,J101414.8+032759,153.566500,3.467400,238.2005,45.6465,99.4846,-37.1386,1.2,0.134,snapshot
29953,29953,109087,sn2002bf,35.24,0.18,7459,7308,J101542.3+554003,153.927800,55.638300,156.4611,50.0849,52.3317,-7.1321,3,0.048,A1
30019,30019,100715,sn1997bq,33.27,0.20,2845,2814,J101653.7+732403,154.297900,73.369700,136.2900,39.4633,39.2257,4.8432,3.9,0.105,A1
30027,30001,101910,sn2001ie,35.56,0.19,9348,9178,J101653.0+601706,154.217500,60.252800,150.3593,47.7835,48.9828,-3.9327,-4.8,0.037,A1
30083,30083,100273,SN2002bo,32.37,0.35,1661,1317,J101806.3+214958,154.527100,21.828300,213.0356,54.8478,80.7376,-27.6733,0.9,0.109,snapshot
30159,0,0,2016H,36.57,0.13,14234,13824,J101917.6+044546,154.819200,4.761700,237.7537,47.4270,98.6114,-35.4744,4,0.110,Foundation
30510,30491,0,SN2013eu,33.60,0.49,2806,2773,J102422.2+783633,156.093000,78.606500,131.3344,36.0018,35.5481,8.5837,3.3,0.106,snapshot
30719,30712,102605,sn2004l,35.83,0.18,10007,9688,J102704.0+160105,156.777100,16.014100,223.7868,54.7923,87.6431,-28.8144,4.9,0.138,A1
30737,30737,102089,SN2008at,36.44,0.32,10565,10493,J102711.4+712504,156.801500,71.415700,137.4168,41.4125,41.2422,4.1408,3.1,0.396,snapshot
30868,30785,100215,2008fw,33.06,0.19,2851,2564,J102901.5-443925,157.233200,-43.334600,277.9612,11.2004,160.9566,-36.6976,3.6,0.563,CSP
30908,0,0,sn1991s,36.99,0.18,16677,16317,J102927.5+220029,157.345500,21.985400,214.0691,57.4233,82.1220,-25.3431,3.9,0.117,A1
31428,31428,111457,SN1992G,32.37,0.31,1847,1569,J103616.2+371929,159.077400,37.321200,184.6182,59.8424,69.2473,-15.7521,5.1,0.084,snapshot
31470,31501,100351,SN2019axg,35.69,0.33,8940,8214,J103635.3-070646,159.150800,-7.108700,254.3924,42.7004,114.1094,-35.1730,2.2,0.284,snapshot
31552,0,0,sn2006ar,34.93,0.21,6859,6743,J103732.0+650106,159.299100,65.013600,142.7591,46.6222,46.8543,0.9110,5,0.059,A1
31729,31729,107867,sn2001n,34.88,0.19,6619,6308,J103957.9+240529,160.008500,24.071000,211.3533,60.2891,81.5062,-22.2024,3.1,0.117,A1
31768,31768,106932,SN2005ki,34.59,0.16,6107,5834,J104028.4+091057,160.117300,9.204500,236.8319,54.2683,96.2953,-28.8936,-2.7,0.137,A1
31916,31916,102176,PS15jz,35.95,0.34,10772,1881,J104238.2+772942,160.680200,77.490900,131.2902,37.4619,37.0235,8.6567,2,0.088,snapshot
32192,32256,100122,SN1998bu,32.10,0.55,1247,892,J104645.7+114912,161.691700,11.835400,234.4353,57.0103,94.2882,-26.4066,2.1,0.109,snapshot
32206,32055,100269,SN2009na,34.80,0.23,6631,6288,J104702.6+263234,161.755900,26.543900,206.9510,62.3155,80.0929,-19.5898,3.2,0.139,standard
32207,32207,112647,sn1994ae,32.30,0.25,1646,1281,J104704.0+171625,161.782200,17.308400,225.3510,59.6722,88.8843,-23.9882,5.1,0.133,A1
32277,32439,100516,2016axb,36.11,0.14,12235,11782,J104807.5+001002,162.031200,0.167100,250.1303,49.9574,106.7650,-30.3566,3,0.170,Foundation
32466,32479,100324,2008bt,34.22,0.15,4971,4603,J105018.0-120631,162.570300,-11.891100,262.1544,40.9791,120.8852,-32.9622,2.2,0.242,CSP
32512,32495,102107,SN2010Y,34.04,0.30,3364,3232,J105103.0+654654,162.766300,65.779700,140.4977,47.0307,47.0595,2.4980,-4.2,0.058,snapshot
32555,32559,100710,2009al,34.80,0.14,6961,6627,J105125.5+083402,162.842000,8.578500,240.4768,56.1044,98.1341,-26.6461,-2,0.106,CSP
32594,32580,100886,SN2017ijx,35.79,0.30,8508,8279,J105153.7+510023,162.970900,51.008000,158.2236,57.1337,59.3587,-5.7132,4,0.056,snapshot
32694,32787,0,SN2012ht,31.94,0.48,1406,1086,J105324.0+164621,163.344800,16.776400,227.5636,60.8288,90.1024,-22.8510,8.8,0.127,standard
32729,32729,105351,sn2006cf,36.25,0.17,12672,12430,J105402.4+460141,163.514300,46.004500,165.9619,60.0860,63.7459,-8.1518,5.8,0.069,A1
32796,32840,101403,2016acs,36.97,0.13,17130,16628,J105458.8+141618,163.742500,14.271600,232.3993,59.9915,92.7417,-23.5688,4.1,0.101,Foundation
33043,33040,109451,2004at,34.94,0.16,7195,6604,J105847.7+592912,164.688200,59.486700,146.0015,52.3002,52.7997,-0.2361,3.6,0.052,LOSS1
33430,33430,111524,SN2019vju,34.31,0.40,4221,3817,J110359.9-184650,166.000800,-18.776600,270.4403,37.2215,129.2631,-30.7698,5,0.204,snapshot
33691,33620,100711,2017awz,34.62,0.14,6949,6665,J110735.8+225108,166.897900,22.851300,217.4904,66.1295,85.8320,-17.1925,-4,0.099,Foundation
33809,33927,100020,2016baq,35.84,0.13,10939,10452,J110925.8+293410,167.357500,29.569300,200.6926,67.4695,79.7962,-13.8055,-1.8,0.114,Foundation
33914,0,0,sn2001ah,36.95,0.19,17466,17317,J111030.3+551012,167.616700,55.195800,149.1252,56.5227,57.3065,-1.1390,4.1,0.057,A1
34232,34232,102455,ASASSN-15so,32.76,0.18,2659,2111,J111410.9+481906,168.546000,48.318700,158.1165,61.6293,63.5467,-4.0393,3.1,0.064,Foundation
34630,34630,108274,sn2007bc,34.71,0.17,6559,6224,J111916.6+204849,169.864600,20.816600,224.6663,68.0594,88.9515,-15.5960,1,0.094,A1
34730,34786,100345,2009P,35.33,0.13,7891,7525,J112038.6-033247,170.161600,-2.453800,263.8907,52.3052,113.4081,-23.6595,3,0.212,CSP
34763,34763,110547,sn2004bg,34.88,0.17,6559,6320,J112100.3+212014,170.226300,21.338500,223.7248,68.6216,88.6251,-15.0150,6,0.095,A1
34797,34772,100127,2009ee,36.02,0.22,10784,10469,J112123.0+342124,170.355400,34.339800,186.8819,69.3999,76.6121,-9.3766,-3,0.105,LOSS2
34991,0,0,2009aa,35.30,0.13,8538,8306,J112340.9-221614,170.926200,-21.729300,277.5490,36.2385,133.8699,-26.6349,3.2,0.147,CSP
35006,35006,109270,SN2006ax,34.32,0.17,5384,5023,J112359.9-121747,171.010700,-12.290500,271.8302,45.2297,122.9527,-24.9265,3.9,0.219,A1
35088,35088,100726,2007bm,32.18,0.22,2230,1865,J112502.5-094743,171.259600,-8.201700,270.4230,47.5490,120.3273,-24.1412,5,0.178,CSP
35452,35452,109027,SN2014ap,35.22,0.30,7366,6999,J113012.9+241011,172.555400,24.168400,217.5838,71.4788,86.8365,-11.9320,0.9,0.073,snapshot
35664,35557,100050,2017hm,34.66,0.16,6434,6413,J113310.6-101344,173.294100,-10.221800,273.3633,48.0989,121.2741,-22.2859,3.2,0.180,Foundation
35997,36016,100471,SN2002ar,36.06,0.27,9165,9016,J113743.6+220035,174.433000,22.009600,225.9094,72.4973,89.5523,-11.1770,2.3,0.134,snapshot
36028,36028,100262,sn2001ba,35.60,0.15,9138,8861,J113800.5-321929,174.506100,-32.360200,285.3836,28.0326,145.2903,-24.3931,3.8,0.278,A1
36068,36487,100005,sn2006bd,35.34,0.18,6838,7712,J113829.5+203140,174.634700,20.541700,230.6260,72.0838,91.0219,-11.5673,-4.9,0.119,A1
36531,0,0,2017lv,35.52,0.16,8961,8577,J114425.7-282746,176.110600,-28.457600,285.5203,32.1333,141.2239,-22.6804,2.5,0.325,Foundation
36670,36487,100005,2007ci,34.65,0.18,6706,5383,J114546.1+194626,176.441000,19.770500,235.4955,73.2610,92.3709,-10.2516,-4.9,0.112,LOSS1
36832,36832,107284,SN2006or,35.12,0.28,6589,6289,J114803.4+302134,177.014500,30.356700,196.0917,75.7497,82.6182,-5.8779,3.7,0.157,standard
36909,36909,108280,"SN2001E + 2009ds",34.66,0.12,6138,5766,J114904.9-094348,177.267100,-8.270900,278.5100,50.1616,121.7082,-18.3591,4.7,0.169,snapsh/CSP
37061,37061,100129,2018aoz,31.82,1.35,2078,1550,J115101.8-284821,177.757600,-28.744100,287.2757,32.2227,141.7670,-21.2797,-4.8,0.350,LOSS2
37080,37080,101106,2016ac,35.31,0.14,8100,7644,J115128.2+220133,177.867600,22.026000,230.2010,75.4561,90.7180,-8.2063,-4.2,0.119,Foundation
37308,37308,0,SN2011ao,33.31,0.25,3487,3209,J115351.0+332155,178.462600,33.362900,182.7860,76.1053,80.2760,-3.6196,6.6,0.088,standard
37466,37642,100008,2011by,31.90,0.36,1049,854,J115545.1+551915,178.939800,55.326100,138.8481,60.0535,59.9513,4.7373,4,0.060,LOSS2
37502,37502,101754,sn2003cq,35.79,0.21,10097,9950,J115610.3+603121,179.087800,60.540800,134.8477,55.3088,55.0804,6.6271,3.8,0.087,A1
37520,37642,100008,sn1998aq,31.70,0.28,1349,1112,J115628.1+550731,179.160100,55.108100,138.8303,60.2739,60.1711,4.7631,3.2,0.061,A1
37591,37591,100148,sn2001v,33.83,0.16,4854,4372,J115721.0+251143,179.317000,25.201500,218.9467,77.7168,88.2048,-5.8319,3,0.084,A1
37967,37969,0,sn2007sr,31.68,0.24,1856,1634,J120153.0-185206,180.484900,-18.935300,286.9590,42.4614,131.7795,-17.2688,8.9,0.201,A1
38146,38156,100018,sn2008bf,34.95,0.17,7366,7331,J120401.4+201355,181.041200,20.270700,242.8595,77.1506,93.4241,-6.0666,-5,0.150,A1
38162,0,0,"PSN J12040516+1404059",36.46,0.14,13662,13146,J120405.4+140356,181.021500,14.068300,260.3621,72.8946,99.3087,-8.0472,4.6,0.136,Foundation
38169,38156,100018,2005bl,35.03,0.15,7354,7170,J120411.3+202435,181.051100,20.406900,242.2948,77.2830,93.2680,-5.9716,-4.9,0.125,CSP
38524,38524,100281,2016coj,31.91,0.25,1508,1389,J120806.0+651027,182.028300,65.177300,130.1898,51.3391,51.0772,9.4139,-4.8,0.082,Foundation
38887,38887,103005,sn2006az,35.58,0.15,9467,9318,J121214.9+561039,183.046800,56.184700,133.8884,60.1094,59.9079,7.2106,2,0.060,A1
39013,39312,100651,SN2007sw,35.07,0.29,7780,7568,J121336.8+462938,183.403700,46.493400,141.5435,69.2437,69.2362,4.4335,2.9,0.081,snapshot
39073,0,0,SN2019kcx,34.77,0.30,7801,7447,J121411.3-004954,183.544500,-0.846000,283.6635,60.6391,114.4714,-10.0493,4.9,0.093,snapshot
39401,0,0,SN2005bg,35.09,0.17,7147,6908,J121717.3+162218,184.323000,16.374000,264.8522,76.6471,98.1018,-4.3039,3.4,0.139,A1
39640,0,0,sn2006cp,34.79,0.17,6979,6683,J121913.4+222553,184.793600,22.424500,243.9049,81.3132,92.4651,-2.0108,5.3,0.116,A1
39920,0,0,sn2000bh,35.02,0.19,7249,6856,J122115.8-215945,185.274800,-22.027200,293.7429,40.3370,135.8904,-13.4376,6,0.219,A1
40153,41220,100002,SN2006X,31.10,0.25,1664,1574,J122254.9+154920,185.727000,15.812900,271.1362,76.8988,99.0349,-3.1807,4,0.113,A1
40400,40183,101087,2008ar,35.37,0.17,8211,7846,J122437.6+105021,186.158000,10.838200,280.4800,72.5317,103.9303,-4.2490,1.8,0.160,LOSS1
40455,41220,100002,sn1991bg,31.52,0.38,1721,999,J122503.7+125314,186.273000,12.907400,278.2038,74.4784,101.9979,-3.5498,-4.4,0.176,A1
40809,41220,100002,2012cg,30.87,0.28,1664,441,J122711.7+092514,186.803500,9.420300,283.8821,71.3899,105.4751,-4.0534,1.3,0.090,LOSS2
41409,41409,107947,"sn1994m + SN2004br",35.01,0.18,7283,6920,J123108.4+003650,187.782500,0.613200,291.6814,63.0412,114.2353,-5.5782,-4,0.099,A1/snapsht
41438,41438,110385,sn1994s,34.10,0.17,4794,4564,J123122.9+290811,187.796700,29.148900,187.3387,85.1443,86.8758,2.5945,2.1,0.091,A1
41748,41748,101121,sn2000bk,35.16,0.21,7971,7638,J123349.9-072232,188.475900,-7.411700,295.2613,55.2338,122.1634,-7.0583,-3.1,0.112,A1
41772,41220,100002,sn1994d,30.71,0.49,1721,577,J123403.0+074157,188.518700,7.658900,290.1592,70.1386,107.6101,-2.9163,-1.9,0.096,A1
41789,41789,170002,sn1991t,30.58,0.52,1721,1736,J123408.5+023914,188.540300,2.675100,292.5962,65.1778,112.4727,-4.2974,4,0.095,A1
41823,41789,170002,sn1981b,30.94,0.46,1721,1807,J123427.1+021117,188.629300,2.155200,292.9499,64.7300,112.9432,-4.3509,4.3,0.079,A1
42530,42530,109638,SN2007ss,34.59,0.35,4839,4660,J124105.9+502336,190.275300,50.391300,127.0922,66.6513,66.6828,9.8663,3.1,0.065,snapshot
42594,42594,106969,sn2006ac,35.04,0.16,7069,6923,J124144.5+350346,190.432000,35.061300,136.9773,81.7995,81.7493,6.3111,3.1,0.068,A1
42635,42635,100829,SN2007cp,36.39,0.28,11308,10953,J124212.5-172413,190.553000,-17.402100,299.7948,45.4120,132.4673,-7.6020,-2.9,0.185,snapshot
42732,42732,109579,sn1992p,35.31,0.17,7879,7593,J124249.2+102127,190.698200,10.351700,295.6206,73.1067,105.6586,-0.0969,1,0.088,A1
42741,42741,150002,sn1990n,31.84,0.35,1721,983,J124252.4+131526,190.746200,13.268500,294.2955,75.9851,102.8745,0.7143,3.6,0.112,A1
42943,0,0,PS15aii,36.57,0.13,14333,13959,J124445.6+094526,191.189700,9.759600,297.4352,72.5577,106.3669,0.1972,5.2,0.113,Foundation
42998,43101,100454,sn1997y,34.33,0.17,4974,4783,J124531.9+544415,191.361700,54.706300,124.7702,62.3697,62.5002,11.4246,3,0.072,A1
43011,0,0,sn2006s,35.82,0.15,9857,9669,J124538.7+350502,191.405700,35.132700,131.4247,81.9487,81.9302,7.0892,1.5,0.072,A1
43118,43118,112009,sn1997bp,32.71,0.19,2815,2443,J124654.7-113813,191.751400,-11.656800,301.1626,51.2191,127.1419,-5.0455,0.3,0.192,A1
43170,43296,100003,sn2001cz,34.04,0.20,3759,4652,J124730.3-393415,191.868300,-39.565300,302.1066,23.2947,154.6565,-11.3496,4.9,0.397,A1
43288,43288,102638,sn1998ab,35.05,0.16,8397,8146,J124846.4+415517,192.183900,41.917800,124.8720,75.1970,75.3594,9.2871,3.8,0.073,A1
43382,43382,110832,SN2005bo,33.88,0.18,4665,4123,J124941.5-110535,192.423000,-11.099400,302.2394,51.7764,126.7931,-4.2461,2.1,0.199,A1
43690,43690,112531,2006D,32.94,0.19,2890,2557,J125234.6-094636,193.141400,-8.224800,303.3994,53.0941,125.7082,-3.2143,2.1,0.198,CSP
43983,44025,0,PTF10icb,33.33,0.33,2713,2566,J125449.8+585257,193.704800,58.882000,122.0994,58.2405,58.5378,13.3787,0,0.050,snapshot
44205,0,0,2007bz,35.36,0.18,6895,6655,J125653.5+222225,194.224000,22.372800,317.8199,85.0868,94.9433,6.3352,5.1,0.146,LOSS1
44350,0,0,SN2019ftd,36.30,0.35,14708,14375,J125742.0-242847,194.421500,-24.476500,304.7493,38.3700,140.2714,-5.8505,5,0.536,snapshot
44809,44715,100001,sn2006bz,35.16,0.17,7276,8422,J130042.8+275747,195.156100,27.960900,55.5627,87.7810,89.6803,8.5163,-2.5,0.045,A1
44836,44867,100587,SN2003ai,35.86,0.27,11068,10849,J130058.6+395132,195.244500,39.856800,114.6958,77.1164,77.8971,11.1128,4.2,0.063,snapshot
44873,45299,100212,PTF10bjs,35.08,0.29,9159,8998,J130111.4+534840,195.296800,53.816000,119.7325,63.2565,63.8278,13.5223,3,0.076,snapshot
45085,45015,109691,sn2007f,35.14,0.16,7249,7081,J130316.1+503715,195.843200,50.618400,118.2415,66.3997,67.1208,13.3717,5.9,0.075,A1
45449,45490,105997,SN2009bv,36.06,0.28,11230,11008,J130720.5+354719,196.835300,35.784400,102.5599,80.7020,82.2182,11.5550,4.9,0.038,snapshot
45478,45478,102964,2017hn,35.06,0.14,7750,7152,J130739.4+062009,196.914200,6.337600,314.1652,68.8532,111.1881,4.7393,-1.1,0.143,Foundation
45498,45778,100081,sn2002g,35.45,0.36,10340,10088,J130754.8+340513,196.983200,34.076300,96.9626,82.1924,83.9440,11.3373,-3.5,0.055,A1
45579,44715,100001,SN2019bkh,34.99,0.27,6110,5850,J130857.2+281650,197.238900,28.281300,50.4945,85.9561,89.7761,10.3579,4,0.045,snapshot
45683,45683,100793,sn1992k,33.00,0.23,3337,3105,J131004.4-462614,197.553600,-46.448900,306.2755,16.3137,162.3579,-8.7798,1.7,0.433,A1
45750,45750,0,SN2009nr,32.91,0.26,3669,3366,J131056.5+112838,197.745600,11.491500,320.1887,73.6921,106.4082,6.8561,5.8,0.112,snapshot
45823,0,0,2016aqz,35.47,0.13,8772,7990,J131157.8+143359,197.991700,14.566400,324.7966,76.5590,103.4553,7.8701,-1,0.108,Foundation
45908,45908,100501,sn2002dj,32.89,0.19,3115,2843,J131301.0-193106,198.251100,-19.479800,309.8982,43.0615,136.4316,-1.1041,-4.4,0.412,A1
46081,46247,100019,2008cd,32.36,0.34,2536,2224,J131502.1-155706,198.757300,-14.048100,311.1925,46.5411,133.1455,0.3631,-1.9,0.298,CSP
46097,46247,0,SN2013cs,32.49,0.35,3085,2776,J131512.8-175801,198.811700,-17.965400,310.8753,44.5380,135.0898,-0.1676,7,0.402,snapshot
46129,0,0,ASASSN-15lg,34.72,0.16,6107,6047,J131532.8+033003,198.886800,3.500600,317.6744,65.6800,114.4567,5.8824,-2.4,0.133,Foundation
46239,0,0,2004e,35.65,0.17,9294,8937,J131651.2+313452,199.214200,31.586600,73.2577,82.8966,86.8273,12.6980,2.5,0.063,LOSS1
46247,46247,120019,SN2004ab,32.13,0.67,2863,1741,J131658.5-163805,199.242400,-16.631300,311.7223,45.8008,133.9325,0.6147,4.2,0.357,standard
