"Stahl SNIa","Stahl SNIa","Stahl SNIa","Stahl SNIa","Stahl SNIa","Stahl SNIa","Stahl SNIa","Stahl SNIa","Stahl SNIa","Stahl SNIa","Stahl SNIa","Stahl SNIa","Stahl SNIa","Stahl SNIa","Stahl SNIa","Stahl SNIa","Stahl SNIa"
pgc,1PGC,Nest,SNIa,DM,eDM,Vcmb,Vrc3,J2000,RA,De,Glon,Glat,SGL,SGB,Ty,Ag,SSubsamp
%7s,%7d,%6d,%29s,%5.2f,%4.2f,%5d,%5d,%16s,%10.6f,%10.6f,%8.4f,%8.4f,%8.4f,%8.4f,%4s,%5.3f,%10s
---,,,,mag,mag,km/s,km/s,"hms,dds",deg,deg,deg,deg,deg,deg,,mag,
"The Catalogue of Principal Galaxies (PGC) Number","PGC ID of dominant group member","Nest ID in 2MASS group catalog by Tully(2015)","Supernova identification","Distance modulus","Error in distance modulus","Velocity of supernova in CMB frame","Heliocentric velocity of supernova host from RC3","J2000 right ascension and declination of host","Right ascension (J2000) of SNII in degrees","Declination (J2000) of SNII in degrees","Galactic Longitude of host","Galactic Latitude of host","Supergalactic Longitude of host","Supergalactic Latitude of host","Type code given in RC3","Extinction at B band from RC3","Subsample in Stahl collection"
6056,6056,205176,sn2001eh,36.04,0.15,10873,11105,J013815.5+413915,24.511500,41.631400,132.2370,-20.3701,339.1721,2.5818,3,0.274,A1
6059,5984,200250,SN2008A,34.61,0.37,4689,4932,J013818.6+352154,24.572400,35.370500,133.6002,-26.5339,333.2237,0.5322,1.1,0.234,snapshot
6137,0,0,2016F,34.13,0.14,4536,4835,J013931.2+334928,24.883300,33.826700,134.2310,-27.9902,331.8492,-0.2065,4.1,0.212,Foundation
6366,6391,209489,ASASSN-15uu,35.14,0.15,7888,8028,J014356.6+170343,25.985700,17.062300,140.5016,-44.0112,316.3004,-6.6345,5.4,0.296,Foundation
6372,6372,205580,2016fbk,36.03,0.14,10706,10751,J014408.2+342314,26.027400,34.382800,135.1441,-27.2316,332.6988,-0.9195,3.1,0.212,Foundation
6624,6415,200166,sn1996bo,33.83,0.21,4890,5183,J014822.5+113118,27.105500,11.470700,144.4573,-48.9559,311.3392,-9.4130,5.3,0.335,A1
6793,6848,200365,2005W,32.79,0.23,2566,2665,J015041.7+214536,27.690700,21.759800,140.7382,-39.0542,321.2935,-6.5866,4,0.311,CSP
6872,6872,205762,SN2008eg,35.73,0.26,9809,10089,J015136.2+190613,27.901100,19.104700,142.0518,-41.5236,318.8462,-7.6842,3,0.288,snapshot
6888,6888,203564,SN2006ob,37.13,0.22,17478,17737,J015148.5+001550,27.952100,0.263900,153.3013,-59.0014,300.6297,-13.5836,2.9,0.143,standard
7023,7023,208023,"PSN J01534240+2956107",35.15,0.14,7684,7681,J015342.3+295600,28.426700,29.936300,138.6790,-31.0273,329.2264,-4.3701,3,0.235,Foundation
7397,6962,200003,sn2002fb,34.15,0.19,4635,4646,J015750.4+362035,29.474300,36.371600,137.5966,-24.6306,335.5219,-2.8345,-4.8,0.383,A1
7657,7584,200140,2004fz,33.82,0.17,4887,5193,J020106.6+315257,30.276700,31.878900,139.7768,-28.7002,331.6303,-5.1334,5.3,0.266,LOSS1
7741,7741,202150,SN2004dt,34.10,0.25,5645,5828,J020212.3-000602,30.551400,-0.100600,158.0039,-58.0700,301.0222,-16.1808,1.1,0.116,snapshot
7889,7889,210341,sn2006ef,34.55,0.20,5093,5340,J020419.0-084407,31.089800,-8.746700,169.4638,-64.7981,292.4186,-18.9331,-1.7,0.104,A1
8223,8223,208090,2009le,34.57,0.15,5105,5333,J020918.1-232454,32.321400,-22.587600,205.3246,-72.0299,277.2210,-22.8883,4.2,0.071,CSP
8334,8327,200177,2005lz,36.21,0.17,11992,13293,J021048.6+345904,32.707300,34.982800,140.8194,-25.1151,335.2920,-5.7893,,0.389,LOSS1
8796,9215,200122,sn2002hu,36.01,0.16,11443,11002,J021818.3+372751,34.523000,37.444500,141.4355,-22.2664,338.1907,-6.1379,4.8,0.193,A1
9069,0,0,ASASSN-15od,34.41,0.15,5105,5277,J022313.2-043102,35.805000,-4.517200,171.0489,-58.5322,298.0323,-22.4336,3.2,0.128,Foundation
9236,9236,212008,2011ek,32.07,0.46,1262,1508,J022550.8+182946,36.453700,18.533300,152.1609,-38.9581,321.2656,-15.4575,5.2,1.529,LOSS2
9338,0,0,2016euj,34.28,0.14,5087,5115,J022721.8-235544,36.840400,-23.929300,209.8762,-68.1588,277.2141,-27.0554,-1.4,0.085,Foundation
9410,9650,200709,ASASSN-15ar,35.42,0.29,8394,8646,J022821.7+102256,37.084800,10.384400,158.2682,-45.7349,313.6157,-19.0440,,0.473,standard
9556,9201,200013,2016W,34.43,0.15,5171,5764,J023038.5+421356,37.665400,42.235800,141.8798,-16.9604,343.5439,-6.1346,-2,0.301,Foundation
9560,9560,202337,SN2005A,34.48,0.17,5468,5738,J023042.8-025620,37.679300,-2.940500,171.6769,-56.1096,300.2291,-23.8128,4.9,0.131,A1
9618,9618,207684,sn1999gp,35.39,0.15,7801,8022,J023140.0+392242,37.858600,39.404000,143.2545,-19.5054,341.0890,-7.6319,3.2,0.242,A1
9680,9642,200098,SN2010A,34.56,0.31,5969,6215,J023239.3+003702,38.164400,0.619500,168.3100,-53.0952,304.0974,-23.2587,4.3,0.126,snapshot
9735,9735,208096,2012E,34.50,0.22,5831,6118,J023322.7+093606,38.345000,9.584900,160.3619,-45.7314,313.3071,-20.4762,-0.1,0.322,LOSS2
9776,9776,201272,sn1999dq,33.49,0.16,4044,4297,J023400.0+205836,38.454100,20.964800,152.8395,-35.8690,324.4272,-16.2202,4.1,0.473,A1
9874,0,0,SN2005lu,35.97,0.16,9380,4666,J023603.6-171546,39.016600,-17.264500,196.1755,-63.9204,284.9740,-28.2061,3.9,0.110,A1
9988,9988,211363,SN2009ig,32.67,0.26,2401,2625,J023811.6-011907,39.548400,-1.312600,172.1887,-53.6539,302.5146,-25.1511,1,0.139,standard
10181,10181,209629,ASASSN-15tz,34.94,0.18,7201,6854,J024109.3+434058,40.286900,43.680200,143.0923,-14.8524,345.7554,-7.1234,4,0.713,Foundation
10448,10498,202863,sn1995ak,34.68,0.17,6589,6809,J024549.3+031352,41.462700,3.198800,169.6596,-48.9801,307.9549,-25.5647,4,0.164,A1
10738,10738,206124,sn2003iv,36.03,0.17,10037,10338,J025008.8+125037,42.554100,12.872500,162.5041,-40.7332,318.2102,-23.0618,-5,0.588,A1
10886,10812,200020,"PSN J02524671+4656470",35.39,0.33,8280,8420,J025244.4+465617,43.194600,46.946400,143.4951,-11.0330,349.6245,-7.1898,3.1,0.855,Foundation
10948,10959,200010,SN2005ls,34.74,0.37,6149,6348,J025416.5+424334,43.566500,42.724900,145.7458,-14.6389,346.1684,-9.6658,4.6,0.403,snapshot
