"Union2 SNIa","Union2 SNIa","Union2 SNIa","Union2 SNIa","Union2 SNIa","Union2 SNIa","Union2 SNIa","Union2 SNIa","Union2 SNIa","Union2 SNIa","Union2 SNIa","Union2 SNIa","Union2 SNIa","Union2 SNIa","Union2 SNIa","Union2 SNIa","Union2 SNIa","Union2 SNIa","Union2 SNIa"
pgc,objname,J2000,Typ,Imag,logD25,Inc,Vhel,SNIa,Vcmb,mB0,emB0,X1,eX1,C,eC,mu0,emu0,Samp,Cuts
%7s,%10s,%16s,%2d,%5s,%5.3f,%2d,%5d,%6s,%5d,%5.2f,%4.2f,%5.2f,%4.2f,%5.2f,%4.2f,%5.2f,%4.2f,%3d,%5s
---,,"hms,dms",,mag,0.1arcmin,deg,km/s,,km/s,mag,mag,,,,,mag,mag,,
"The Catalogue of Principal Galaxies (PGC) Number","Galaxy name","RA, Dec; J2000","Morphological T type of host [RC3]","I magnitude of host [RC3]","Log diameter at 25 mag/as^2 blue isophote [RC3]","Inclination from face on [RC3]","Host galaxy Heliocentric velocity","Supernova name","Supernova velocity in CMB","Apparent magnitude in B of SNIa at maximum","Error in SNIa B apparent magnitude at maximum","SALT2 parameter X1","Error in SALT2 parameter X1","SALT2 parameter C","Error in SALT2 parameter C","Union2 distance modulus; 2 SNIa averaged in 4 cases (PGSs 6007, 27351, 48860, 50323)","Error in distance modulus","Sample: 1-17; see Amanullah et al.","Cuts: z=redshift<0.015; o=outlier; d=observations <5; f+bad light curve; p=first phase >6 days after B maximum"
10738,PGC010738,J025008.8+125037,0,,0.880,38,10297,2003iv,10073,16.95,0.08,-2.28,0.45,-0.01,0.03,35.28,0.18,6,
10948,PGC010948,J025416.5+424334,4,,0.873,50,6341,2005ls,6146,16.12,0.11,0.50,0.20,0.36,0.01,33.87,0.18,6,
10998,UGC02384,J025500.6+160044,4,0.01,0.964,74,9836,2006os,9624,17.57,0.08,-0.72,0.16,0.47,0.02,34.90,0.17,6,
11606,ESO300-009,J030515.8-393340,4,14.08,1.031,78,6045,1992bc,5876,15.07,0.11,0.51,0.10,-0.05,0.01,33.86,0.18,1,
11767,PGC011767,J030848.3-070226,1,13.26,1.220,90,8702,2005eq,8514,16.22,0.08,1.10,0.13,0.04,0.01,34.84,0.17,6,
12208,NGC1259,J031717.3+412306,-1,,0.980,51,5831,2008l,5666,15.11,0.13,-1.88,0.28,-0.07,0.04,33.65,0.20,6,
12241,UGC02650,J031734.5-014142,2,13.38,1.038,90,,2006gj,8304,17.63,0.09,-2.09,0.28,0.40,0.02,34.96,0.18,6,
12626,NGC1309,J032206.6-152400,4,10.61,1.378,21,2136,2002fk,1979,13.09,0.33,-0.26,0.15,-0.07,0.02,31.82,0.36,6,z
12702,UGC02708,J032348.9+403328,-2,,1.033,24,5394,2002es,8364,16.32,0.10,-1.27,0.18,0.33,0.03,33.93,0.18,6,o
13580,UGC02829,J034150.9+080935,-2,,1.027,90,6030,2006kf,6236,15.80,0.12,-2.85,0.23,-0.01,0.03,34.07,0.20,6,
13652,ESO156-008,J034300.6-533816,-2,13.23,0.921,27,17690,1992bk,17658,18.04,0.13,-2.11,0.32,-0.04,0.08,36.35,0.17,1,p
15708,UGC03108,J043828.3+440214,3,12.25,1.040,46,3958,2006lf,3897,13.65,0.25,-1.89,0.14,-0.20,0.02,32.52,0.30,6,z
15937,UGC03151,J044519.6+110404,4,,1.210,78,4608,1995bd,4317,15.25,0.18,0.54,0.13,0.34,0.01,33.05,0.24,3,z
16390,NGC1699,J045659.6-044525,3,12.52,1.014,46,3944,2001ep,3867,14.87,0.17,-1.22,0.16,0.14,0.02,32.95,0.23,6,z
