"Union2 SNIa","Union2 SNIa","Union2 SNIa","Union2 SNIa","Union2 SNIa","Union2 SNIa","Union2 SNIa","Union2 SNIa","Union2 SNIa","Union2 SNIa","Union2 SNIa","Union2 SNIa","Union2 SNIa","Union2 SNIa","Union2 SNIa","Union2 SNIa","Union2 SNIa","Union2 SNIa","Union2 SNIa"
pgc,objname,J2000,Typ,Imag,logD25,Inc,Vhel,SNIa,Vcmb,mB0,emB0,X1,eX1,C,eC,mu0,emu0,Samp,Cuts
%7s,%10s,%16s,%2d,%5s,%5.3f,%2d,%5d,%6s,%5d,%5.2f,%4.2f,%5.2f,%4.2f,%5.2f,%4.2f,%5.2f,%4.2f,%3d,%5s
---,,"hms,dms",,mag,0.1arcmin,deg,km/s,,km/s,mag,mag,,,,,mag,mag,,
"The Catalogue of Principal Galaxies (PGC) Number","Galaxy name","RA, Dec; J2000","Morphological T type of host [RC3]","I magnitude of host [RC3]","Log diameter at 25 mag/as^2 blue isophote [RC3]","Inclination from face on [RC3]","Host galaxy Heliocentric velocity","Supernova name","Supernova velocity in CMB","Apparent magnitude in B of SNIa at maximum","Error in SNIa B apparent magnitude at maximum","SALT2 parameter X1","Error in SALT2 parameter X1","SALT2 parameter C","Error in SALT2 parameter C","Union2 distance modulus; 2 SNIa averaged in 4 cases (PGSs 6007, 27351, 48860, 50323)","Error in distance modulus","Sample: 1-17; see Amanullah et al.","Cuts: z=redshift<0.015; o=outlier; d=observations <5; f+bad light curve; p=first phase >6 days after B maximum"
45498,PGC045498,J130754.8+340513,9,13.62,0.838,42,10111,2002g,10343,17.54,0.09,-1.73,0.68,0.27,0.04,35.23,0.21,6,
45749,NGC5005,J131056.3+370333,4,8.58,1.683,67,948,1996ai,899,16.89,0.72,0.53,0.17,1.82,0.01,30.96,0.74,3,z
45908,NGC5018,J131301.0-193106,-4,9.76,1.543,90,2843,2002dj,3118,13.93,0.21,-0.14,0.15,0.17,0.01,32.08,0.26,6,z
46330,NGC5061,J131805.1-265014,-4,,1.574,48,2031,1996x,2099,12.97,0.31,-1.19,0.10,0.02,0.01,31.36,0.35,3,z
46604,PGC046604,J132103.0+583256,0,13.61,1.301,51,15859,2007ar,15979,17.90,0.23,-2.16,0.48,0.04,0.11,36.00,0.19,6,p
46640,PGC046640,J132130.5-020844,1,14.34,0.765,75,10390,1994t,10703,17.23,0.07,-2.03,0.20,0.13,0.03,35.25,0.17,3,
46779,IC4232,J132322.4-260634,4,,1.075,77,9426,1991u,9714,16.40,0.09,0.23,0.22,0.11,0.03,34.62,0.17,1,p
46839,ESO508-067,J132410.5-235238,3,,1.063,90,7544,1992ag,8185,16.26,0.09,-0.13,0.21,0.19,0.02,34.35,0.18,1,
46872,IC4239,J132425.5+305733,-1,13.84,0.945,48,14515,2006cq,14720,17.56,0.05,0.06,0.50,0.06,0.01,35.99,0.17,6,
46959,ESO508-075,J132533.4-243909,5,15.73,0.896,78,9968,2007cg,10253,16.81,0.14,-0.71,0.36,0.02,0.07,35.14,0.17,6,p
47422,NGC5185,J133002.3+132458,3,12.61,1.302,74,7373,2006br,7645,18.89,0.09,-1.59,0.57,0.93,0.02,34.95,0.19,6,
47514,PGC047514,J133104.1-150605,5,13.40,1.102,90,4219,2007ca,4527,15.89,0.15,0.37,0.13,0.29,0.01,33.78,0.21,6,
47913,ESO383-032,J133522.9-340937,5,,0.971,48,7208,2000ca,7345,15.53,0.09,0.35,0.20,-0.07,0.01,34.33,0.10,2,
48425,NGC5283,J134105.7+674020,-2,,1.077,35,3125,2005dv,3178,16.23,0.21,0.99,0.77,0.76,0.02,33.02,0.27,6,z
48860,NGC5308,J134700.4+605823,-2,,1.636,90,2005,95d6bk,1949,13.22,0.33,0.94,0.13,0.02,0.02,31.77,0.23,33,z
49153,PGC049153,J135048.8+491850,3,14.62,0.899,59,,1996c,8244,16.59,0.08,0.39,0.19,0.12,0.02,34.92,0.18,3,
50323,NGC5468,J140635.0-052711,6,11.10,1.357,21,2843,9cp2cr,3118,13.93,0.21,-0.05,0.25,-0.01,0.02,32.58,0.17,26,z
51344,NGC5584,J142223.8-002315,6,12.08,1.496,42,1642,2007af,1889,13.13,0.34,-0.55,0.06,0.12,0.01,31.34,0.37,6,z
51473,PGC051473,J142440.5+263731,1,13.61,0.961,51,11144,2002bz,11332,16.89,0.09,-1.65,0.34,-0.09,0.04,35.37,0.17,6,p
51549,IC4423,J142617.7+261446,4,,1.008,58,9069,2001ay,9264,16.71,0.08,3.06,0.37,0.19,0.03,35.19,0.18,6,
52055,PGC052055,J143359.2+034640,2,,0.739,,8658,2006bw,9234,17.41,0.08,-2.14,0.27,0.34,0.03,34.89,0.17,6,
52882,PGC052882,J144836.7-044410,6,,1.039,46,12594,2006cz,12742,16.98,0.06,1.25,0.48,0.21,0.03,35.19,0.19,6,
53387,UGC09612,J145604.4+452419,5,13.72,0.901,24,10847,2007o,10973,16.75,0.06,-0.83,0.14,0.00,0.02,35.24,0.16,6,
53552,UGC09640,J145927.6+163842,-5,12.67,1.153,56,10026,2008af,10223,16.94,0.10,-1.93,0.29,0.10,0.04,35.03,0.17,6,
53805,PGC053805,J150432.7+355754,-3,12.93,0.840,44,14840,2006bk,1949,17.02,0.34,0.16,0.12,0.31,0.03,34.72,0.37,6,"p,z"
54817,PGC054817,J152133.4-072652,-2,12.82,1.255,90,1937,2005cf,2099,13.23,0.31,-0.42,0.08,0.05,0.01,31.63,0.34,6,z
55330,IC1129,J153200.8+681447,6,,1.004,32,6542,2003k,6566,15.20,0.12,-1.74,0.40,-0.04,0.05,33.56,0.19,6,p
56025,UGC10030,J154700.4-005907,2,12.95,1.116,62,8974,2002ck,9084,16.24,0.09,-0.04,0.16,-0.03,0.02,34.90,0.17,6,
56286,PGC056286,J155255.8+655608,4,,0.822,63,,2000cf,10943,17.05,0.06,-1.12,0.17,0.04,0.02,35.40,0.22,4,
56437,PGC056437,J155623.6+163124,-1,13.09,1.020,53,4712,2007ap,4887,15.20,0.15,-2.25,0.17,-0.10,0.04,33.64,0.21,6,p
56443,PGC056443,J155633.6+200309,-1,13.14,1.028,36,9640,2006bt,9744,16.90,0.07,0.16,0.10,0.17,0.01,35.07,0.16,6,
56812,NGC6038,J160240.5+372134,5,12.91,1.082,30,9395,1999cc,9444,16.77,0.07,-1.89,0.28,0.05,0.02,34.99,0.22,4,
57205,NGC6063,J160713.0+075844,6,12.18,1.212,60,2848,1999ac,2848,14.10,0.23,-0.30,0.06,0.08,0.01,32.45,0.24,5,z
57341,UGC10244,J160955.5+430744,4,14.10,1.018,78,9785,2006cc,9803,17.75,0.07,0.19,0.09,0.40,0.01,35.35,0.16,6,
57502,ESO584-007,J161253.4-213724,5,13.00,1.054,45,9503,2007ai,9594,16.85,0.10,1.28,0.26,0.20,0.02,35.09,0.19,6,
57684,NGC6104,J161630.7+354229,1,13.31,0.942,40,8371,2002de,8484,16.62,0.08,0.08,0.38,0.17,0.01,34.78,0.17,6,
58525,UGC10483,J163428.9+760146,3,,1.032,67,,2001az,12172,16.90,0.06,0.79,0.42,-0.02,0.02,35.64,0.16,6,
59076,PGC059076,J164951.2+402600,4,15.12,0.720,67,8842,1994q,8964,16.32,0.10,0.59,0.40,0.09,0.04,34.62,0.18,3,p
59458,UGC10704,J170149.1+790216,4,,1.008,61,19320,2007ae,19277,17.73,0.04,1.45,0.27,0.02,0.02,36.44,0.16,6,
59769,UGC10738,J171105.8+055108,4,12.87,1.080,79,6720,2001cp,6716,15.16,0.20,-1.95,1.23,-0.29,0.11,34.23,0.23,6,
59808,PGC059808,J171159.1+463325,2,,0.794,66,,2006mp,6985,15.95,0.09,0.77,0.23,0.06,0.01,34.46,0.18,6,
59955,PGC059955,J171534.4+161930,3,,0.902,52,9193,1990o,9174,16.19,0.08,0.39,0.29,0.00,0.03,34.82,0.17,1,
60138,NGC6365A,J172243.8+620958,6,13.74,0.992,38,8490,2003u,7825,16.46,0.09,-2.60,0.57,0.04,0.04,34.63,0.19,6,
60771,PGC060771,J174408.7+405202,3,,0.689,49,1800,2003fa,1739,16.68,0.38,1.46,0.19,0.08,0.02,35.25,0.40,6,z
61173,UGC11064,J175741.1+275004,6,,1.250,,7043,2000cn,6955,16.57,0.10,-2.50,0.29,0.20,0.02,34.35,0.23,4,
61289,PGC061289,J180133.7+261511,-2,,,,4659,2001bf,4557,14.68,0.15,0.64,0.21,0.02,0.02,33.29,0.21,6,
61514,UGC11149,J181109.9+495152,2,,1.050,56,16255,1998dx,16099,17.58,0.05,-2.32,0.41,0.06,0.03,35.75,0.22,4,
61792,NGC6627,J182238.9+154152,3,,1.030,27,5267,1998v,5157,15.07,0.14,-0.27,0.19,0.04,0.01,33.53,0.25,4,
61808,PGC061808,J182304.2+295405,4,,0.968,37,8083,2007co,7975,16.43,0.09,-0.39,0.09,0.15,0.01,34.59,0.17,6,
62220,UGC11317,J183958.7+395854,-3,,0.977,53,6567,2006bq,6446,16.13,0.10,-1.63,0.13,0.13,0.01,34.19,0.18,6,
62381,IC4758,J184618.3-654524,5,12.16,1.016,61,4531,2001cn,4617,15.26,0.14,-0.79,0.12,0.22,0.01,33.20,0.15,2,
62934,IC4830,J191348.6-591740,4,11.12,1.287,43,4465,2001bt,4317,15.26,0.15,-1.14,0.11,0.26,0.01,33.06,0.16,2,z
63832,PGC063832,J195613.0+402602,-5,,0.788,,4761,2002do,4557,15.28,0.21,-3.55,0.48,-0.04,0.06,33.53,0.24,6,
63925,PGC063925,J195859.3-561529,-2,,0.817,14,12116,1990t,11902,17.18,0.07,-0.59,0.16,0.08,0.03,35.38,0.16,1,p
63956,IC4919,J200009.3-552222,8,12.13,1.134,54,4266,1991ag,4167,14.37,0.17,0.77,0.22,0.02,0.03,32.88,0.22,1,"p,z"
64024,PGC064024,J200249.9+491911,-2,,,,7071,2006eu,6865,15.82,0.12,-1.14,0.20,0.09,0.03,33.92,0.19,6,p
64600,NGC6916,J202333.1+582039,4,11.53,1.216,49,3100,2002cd,2908,15.47,0.24,0.68,0.21,0.59,0.02,32.67,0.29,6,z
65010,NGC6949,J203506.9+644810,5,,1.117,38,2763,2004fu,2608,14.25,0.27,-1.36,0.35,0.13,0.03,32.35,0.31,6,z
65335,ESO234-069,J204554.6-512328,5,12.68,1.368,81,4377,1992al,4047,14.44,0.16,-0.41,0.13,-0.05,0.01,33.10,0.22,1,z
65375,NGC6962,J204719.1+001915,2,11.38,1.432,45,4220,2002ha,3927,14.66,0.17,-1.66,0.25,-0.02,0.02,33.10,0.23,6,z
66579,UGC11723,J212017.5-014104,3,12.77,1.197,90,4896,2006cm,4587,17.88,0.14,-0.05,0.16,1.01,0.01,33.93,0.21,6,
66592,PGC066592,J212042.4+442359,9,,1.160,90,3995,2001fh,3628,14.23,0.25,-2.61,0.33,-0.03,0.02,32.59,0.30,6,z
66880,UGC11758,J213057.6+135910,4,,1.123,90,8613,2006ev,8274,16.53,0.10,-1.20,0.22,-0.09,0.04,35.08,0.18,6,p
67359,NGC7131,J214736.1-131058,-2,12.07,1.054,47,5418,1998co,5097,15.65,0.14,-2.33,1.54,0.12,0.05,33.65,0.31,4,
69095,UGC12071,J223224.5+305008,3,,1.023,67,10373,2006gr,10043,16.91,0.07,0.55,0.12,0.13,0.01,35.24,0.16,6,
69172,NGC7311,J223406.8+053413,2,,1.168,68,4526,2005kc,4167,15.58,0.16,-0.73,0.11,0.31,0.01,33.30,0.22,6,z
69428,UGC12133,J223932.1+083646,6,13.47,1.203,90,7422,1998eg,7045,16.08,0.10,-0.79,0.35,0.05,0.02,34.44,0.23,4,
69533,UGC12158,J224210.5+195949,3,,1.014,25,9289,2004ef,8934,16.86,0.08,-2.05,0.47,0.17,0.04,34.78,0.21,6,
70213,NGC7448,J230003.7+155849,5,10.84,1.317,66,2192,1997dt,1829,15.39,0.36,-0.61,0.27,0.56,0.02,32.49,0.42,4,z
70600,PGC070600,J231004.7+301328,4,,0.689,27,9575,2006en,9234,16.74,0.08,-0.69,0.14,0.08,0.02,35.05,0.17,6,
70628,NGC7503,J231042.3+073405,-5,,0.979,40,13228,2001ic,12891,17.42,0.28,-1.72,0.66,0.13,0.11,35.33,0.20,6,p
70795,NGC7541,J231443.8+043202,5,10.57,1.481,74,2680,1998dh,2308,13.84,0.28,-1.03,0.18,0.13,0.02,31.97,0.35,4,z
70827,ESO291-011,J231512.0-444412,3,,0.935,48,13003,1992bl,12652,17.30,0.08,-1.95,0.24,0.02,0.04,35.61,0.17,1,
71166,UGC12538,J232109.8+332358,4,13.23,0.961,77,4902,2006b,4557,16.18,0.25,-1.57,0.44,0.40,0.11,33.44,0.24,6,p
71534,NGC7678,J232827.9+222514,5,,1.301,44,3488,2002dp,3148,14.54,0.21,-0.60,0.23,0.14,0.01,32.68,0.26,6,z
72657,ESO471-027,J235150.4-275755,-2,13.57,1.099,90,8820,1993ah,8544,16.86,0.19,-2.26,0.93,0.23,0.09,34.61,0.23,1,
72775,NGC7780,J235332.1+080704,2,12.61,0.996,61,5208,2001da,4797,15.43,0.14,-1.70,0.61,0.15,0.04,33.44,0.22,6,
73098,ESO538-013,J235831.9-184251,2,13.48,1.031,67,10206,2005iq,9893,16.79,0.07,-1.41,0.19,-0.02,0.01,35.26,0.16,6,
74050,PGC074050,J015815.8+362054,5,,0.678,26,,2006td,4497,15.70,0.15,-1.59,0.27,0.18,0.02,33.64,0.21,6,
83454,PGC083454,J110933.1+283740,2,14.35,0.815,72,11350,2006ak,11722,17.18,0.10,-1.58,0.24,0.05,0.05,35.32,0.17,6,p
94012,PGC094012,J130502.6+284420,-2,,0.670,75,8413,2006cg,8664,16.40,0.12,-2.44,0.59,0.16,0.06,34.17,0.19,6,p
132177,PGC132177,J032928.0-371623,6,14.53,0.711,53,19210,1992bs,18797,18.25,0.05,-0.27,0.23,0.02,0.02,36.75,0.16,1,
340526,PGC340526,J213459.3-624415,3,,0.700,31,15147,1990af,14960,17.75,0.05,-2.65,0.26,0.07,0.02,35.84,0.16,1,
343503,PGC343503,J074157.0-623115,3,13.86,0.940,75,10560,1992bg,10943,16.71,0.09,-0.66,0.22,0.01,0.03,35.18,0.17,1,
376039,PGC376039,J045926.7-584946,0,,0.740,56,,1992bh,13581,17.58,0.05,-0.02,0.25,0.10,0.02,35.91,0.17,1,
471591,PGC471591,J001038.2-495651,0,15.64,0.520,27,18287,1992au,18078,18.12,0.11,-1.80,0.53,0.01,0.09,36.33,0.17,1,p
648636,PGC648636,J100335.5-352741,2,14.94,0.686,59,14734,1993ag,14990,17.79,0.05,-1.09,0.24,0.12,0.02,35.95,0.17,1,
662260,PGC662260,J103451.3-342634,0,,0.590,48,,1993b,21016,18.43,0.04,-0.53,0.21,0.09,0.02,36.71,0.16,1,
679349,PGC679349,J133109.2-331257,3,15.43,0.610,55,15143,1993o,15859,17.60,0.05,-1.03,0.14,-0.01,0.02,36.09,0.16,1,
765572,PGC765572,J100901.2-263837,0,13.14,0.920,57,,1992j,13821,17.70,0.09,-1.86,0.27,0.15,0.05,35.55,0.16,1,p
869197,PGC869197,J033638.4-182112,2,15.31,0.500,52,,1992bp,23564,18.27,0.04,-1.27,0.20,-0.02,0.02,36.76,0.16,1,
999654,PGC999654,J224534.1-084503,0,14.73,0.925,90,14996,1995ac,14630,17.03,0.05,0.57,0.14,0.02,0.01,35.65,0.16,3,
1392929,PGC1392929,J003618.1+112335,5,,0.780,25,,1996bl,10793,16.62,0.07,-0.09,0.18,0.04,0.02,35.09,0.17,3,
3081460,PGC3081460,J083502.2-082013,4,15.06,0.651,59,,2007h,13071,18.20,0.14,-0.22,0.27,0.36,0.06,35.74,0.18,6,p
9003101,,J033722.6-330233,,,,,,1990y,11602,17.38,0.08,-0.33,0.26,0.25,0.03,35.17,0.17,1,p
9003104,,J234014.2+261212,,,,,,1997dg,8994,16.82,0.08,-0.84,0.28,0.02,0.02,35.24,0.22,4,
9003107,,J212817.9-613301,,,,,,1992ae,22365,18.39,0.04,-0.68,0.21,0.01,0.03,36.86,0.16,1,
9003111,,J110136.4-060632,,,,,,1999aw,11782,16.77,0.06,2.14,0.24,0.01,0.02,35.60,0.10,5,
9003112,,J033923.7+350249,,,,,,2005ew,750,12.88,0.88,1.11,0.19,-0.14,0.02,31.84,0.89,6,"p,z"
9003113,,J063715.3+495110,,,,,,2002kf,5846,15.62,0.12,-1.35,0.19,0.00,0.02,34.03,0.19,6,
9003114,,J221440.4+050449,,,,,,2007cq,7405,15.79,0.09,-0.62,0.16,0.05,0.01,34.18,0.17,6,
9003115,,J235413.0+272433,,,,,,2007qe,6865,16.02,0.10,0.53,0.08,0.10,0.01,34.40,0.18,6,
9003116,,J051734.4-234654,,,,,,2006is,9414,15.88,0.10,2.33,0.34,-0.10,0.04,34.89,0.17,6,p
9003117,,J092822.6+272641,,,,,,2003ae,10133,17.25,0.20,-2.33,0.40,0.17,0.10,35.00,0.19,6,p
9003118,,J112539.2+224949,,,,,,2004as,9624,16.96,0.07,0.01,0.22,0.15,0.02,35.16,0.17,6,
9003119,,J022743.2+281037,,,,,,2005eu,10223,16.36,0.07,0.76,0.13,-0.07,0.02,35.22,0.17,6,
9003120,,J225942.6-000049,,,,,,2005ku,13491,17.55,0.06,-0.94,0.43,0.14,0.02,35.67,0.13,7,
9003121,,J012706.0+190701,,,,,,2005hf,12622,17.22,0.08,-2.32,0.28,-0.06,0.03,35.68,0.16,6,
9003122,,J062726.4-355024,,,,,,1999ao,16309,17.88,0.05,-0.28,0.15,0.08,0.01,36.22,0.09,5,
9003123,,J134613.7-090751,,,,,,2006ah,15260,18.11,0.10,-0.84,0.47,0.10,0.06,36.22,0.18,6,p
9003124,,J012648.3-011417,,,,,,2005hj,17268,17.71,0.04,1.03,0.14,0.02,0.01,36.38,0.15,6,
9003125,,J212342.9-005036,,,,,,2006oa,17658,17.85,0.04,0.89,0.31,0.05,0.01,36.41,0.16,6,
9003126,,J005924.1+000009,,,,,,2005ho,18887,18.03,0.04,0.83,0.16,0.11,0.02,36.43,0.12,7,
9003127,,J191131.4+775335,,,,,,2003hu,22395,17.37,0.11,0.27,0.44,-0.27,0.06,36.54,0.16,6,p
9003128,,J011058.0+001634,,,,,,2005kt,19487,18.36,0.04,-1.22,0.25,0.08,0.02,36.60,0.12,7,
9003129,,J121438.7+121347,,,,,,2006an,19517,18.00,0.04,0.31,0.21,0.01,0.01,36.61,0.15,6,
9003130,,J033012.9-005828,,,,,,2005if,20087,18.66,0.04,-0.77,0.17,0.20,0.01,36.65,0.12,7,
9003131,,J215558.5-010413,,,,,,2006on,20626,18.38,0.06,0.63,0.78,0.12,0.04,36.75,0.19,6,
9003132,,J103928.2+051100,,,,,,2006al,20686,18.35,0.07,-1.89,0.44,-0.05,0.04,36.84,0.17,6,
9003133,,J011643.7+004740,,,,,,2005ir,22575,18.40,0.03,0.05,0.14,0.03,0.01,36.92,0.15,6,
9003134,,J113946.4-085135,,,,,,1999bp,23504,18.37,0.03,0.42,0.21,0.02,0.02,36.95,0.09,5,
9003135,,J125924.4+282052,,,,,,2006cj,20506,18.12,0.04,1.40,0.50,-0.05,0.02,37.00,0.16,6,
