"Jha SNIa","Jha SNIa","Jha SNIa","Jha SNIa","Jha SNIa","Jha SNIa","Jha SNIa","Jha SNIa","Jha SNIa","Jha SNIa","Jha SNIa","Jha SNIa","Jha SNIa","Jha SNIa","Jha SNIa","Jha SNIa","Jha SNIa","Jha SNIa","Jha SNIa","Jha SNIa","Jha SNIa","Jha SNIa","Jha SNIa","Jha SNIa","Jha SNIa","Jha SNIa","Jha SNIa"
pgc,objname,SNIa,Glon,Glat,Vhel,Vlg,Vcmb,Typ,OffN,OffE,t1,Filt,E_B-V,Ref,t0,et0,mu0,emu0,Delta,eDel,AV0,eAV0,RV,eRV,mV0,emV0,Notes
%7s,%8s,%6s,%6.2f,%6.2f,%5d,%5d,%5d,%6s,%7.1f,%6.1f,%6.1f,%5s,%6.3f,%14s,%8.2f,%4.2f,%6.3f,%5.3f,%6.3f,%5.3f,%5.3f,%5.3f,%4.2f,%4.2f,%6.3f,%5.3f,%7s
---,,,deg,deg,km/s,km/s,km/s,,arcsec,arcsec,days,,mag,,HJD,days,mag,mag,,,mag,mag,,,mag,mag,
"The Catalogue of Principal Galaxies (PGC) Number","Galaxy name","Supernova name","Galactic longitude","Galactic latitude","Host galaxy Heliocentric velocity","Host galaxy velocity in Local Group frame","Host galaxy velocity in CMB","Morphological type of host","Dec offset of SN from host nucleus; North positive","RA offset of SN from host nucleus; East positive","Epoch of first photometric observation relative to B max light; SN rest frame",Filters,"Foreground reddening; Schlegel et al. (1998)","References in Table 1 of Jha et al. (2007)","Epoch of maximum light in B","Error in epoch of maximum light in B","True distance modulus + 5 log H0/65","Error in distance modulus","Luminosity/light-curve shape parameter","Error in luminosity/light-curve shape parameter","Host galaxy extinction in V band","Error in host galaxy extinction in V band","Ratio total to selective absorption AV/E(B-V); standard RV=3.1","Error in ratio total to selective absorption if different from standard","Apparent magnitude in V of SNIa at maximum","Error in SNIa V apparent magnitude at maximum","Notes: HF=Hubble flow sample"
13318,N1380,1992A,235.90,-54.06,1877,1747,1781,S0,62.0,-3.0,-7.0,UBVRI,0.018,"10, 14",48640.63,0.19,31.654,0.067,0.447,0.054,0.038,0.032,3.10,,12.150,0.067,
13652,E156-08,1992bk,265.01,-48.90,17418,17229,17372,E,21.1,11.9,8.6,BVI,0.015,8,48938.95,1.59,37.184,0.170,0.414,0.157,0.097,0.082,3.10,,17.679,0.170,HF
13727,N1448,2001el,251.52,-51.40,1168,1002,1102,Scd,19.0,-22.0,-10.7,UBVRI,0.014,41,52182.55,0.20,31.544,0.077,-0.193,0.032,0.696,0.059,2.40,0.19,12.040,0.077,
15937,U03151,1995bd,187.11,-21.66,4377,4364,4326,Sa,-1.0,22.9,-8.4,BVRI,0.498,15,50086.31,0.24,34.006,0.125,-0.239,0.051,0.523,0.241,3.01,0.35,14.502,0.125,HF
17509,U03329,1999ek,189.40,-8.23,5253,5221,5278,Sbc,-12.0,-12.0,-2.8,UBVRI,0.561,"21, 34",51481.65,0.50,34.360,0.111,0.050,0.067,0.475,0.251,3.10,,14.856,0.111,HF
17787,P17787,1993ac,149.70,17.21,14800,14959,14784,E,31.0,-5.3,7.0,BVRI,0.163,15,49269.70,1.19,36.881,0.189,-0.054,0.108,0.377,0.191,3.10,,17.377,0.189,HF
18747,U03432,1996bv,157.33,17.97,4996,5119,5013,Sa,2.0,-2.0,5.1,BVRI,0.105,15,50403.72,1.27,34.213,0.157,-0.206,0.065,0.547,0.159,3.07,0.37,14.709,0.157,HF
19622,N2258,1997E,140.20,25.81,4001,4184,3997,S0,57.0,-32.0,-2.6,UBVRI,0.124,21,50467.58,0.41,34.105,0.091,0.341,0.084,0.213,0.104,3.10,,14.600,0.091,HF
19788,U03576,1998ec,166.29,20.71,5966,6043,6032,Sb,-20.0,-9.0,13.3,UBVRI,0.085,21,51088.41,1.07,35.082,0.161,-0.169,0.077,0.569,0.125,3.01,0.35,15.578,0.161,HF
20136,N2320,2000B,166.35,22.79,5901,5976,5977,E,19.0,-14.0,15.7,UBVRI,0.068,21,51562.85,1.30,34.628,0.216,0.253,0.190,0.286,0.136,3.10,,15.123,0.216,HF
20513,U03770,2000fa,194.17,15.48,6378,6313,6533,Sd/Irr,4.0,7.0,-10.1,UBVRI,0.069,21,51892.25,0.57,35.121,0.128,-0.126,0.061,0.283,0.105,3.10,,15.616,0.128,HF
21020,U03845,1997do,171.00,25.26,3034,3084,3140,Sbc,-4.0,-3.0,-6.1,UBVRI,0.063,21,50766.21,0.45,33.601,0.118,-0.146,0.080,0.312,0.102,3.10,,14.097,0.118,HF
22031,N2441,1995E,141.99,30.26,3470,3638,3496,Sb,-20.8,7.6,-1.9,BVRI,0.027,15,49774.67,0.54,33.198,0.178,0.006,0.057,2.241,0.176,2.85,0.28,13.694,0.178,
22695,U04195,2000ce,149.10,32.00,4888,5025,4946,Sb,17.0,15.0,7.0,UBVRI,0.057,"21, 32",51667.45,1.01,34.376,0.179,-0.149,0.060,1.761,0.179,2.91,0.30,14.872,0.179,HF
23725,N2595,1999aa,202.72,30.31,4330,4227,4572,Sc,28.0,1.0,-10.1,UBVRI,0.040,"10, 21, 27, 28",51231.97,0.15,34.468,0.042,-0.271,0.028,0.020,0.018,3.10,,14.963,0.042,HF
24288,N2623,1999gd,198.83,33.98,5535,5451,5775,,17.0,7.0,3.5,UBVRI,0.041,21,51518.40,1.14,34.606,0.167,0.024,0.073,1.381,0.156,2.99,0.33,15.101,0.167,HF
25005,C180022,1999X,186.58,39.59,7503,7474,7720,,6.0,4.0,14.0,UBVRI,0.032,21,51203.48,1.04,35.546,0.132,-0.181,0.075,0.139,0.095,3.10,,16.041,0.132,HF
26512,N2841,1999by,166.91,44.11,657,704,827,Sb,91.0,-96.0,-10.9,UBVRI,0.016,"27, 30",51309.50,0.14,31.158,0.073,1.348,0.030,0.170,0.083,3.10,,11.653,0.073,
27351,N2935,1996Z,253.60,22.55,2254,1971,2584,Sb,-69.9,2.0,6.1,BVR,0.064,15,50215.24,1.46,32.760,0.238,0.112,0.210,0.609,0.316,3.05,0.36,13.256,0.238,HF
27635,N2962,1995D,230.02,39.65,1966,1774,2300,S0,-87.8,11.8,-6.5,BVRI,0.058,"10, 15",49768.60,0.44,32.813,0.074,-0.186,0.041,0.081,0.060,3.10,,13.308,0.074,
27885,N2986,1999gh,255.04,23.73,2302,2019,2637,E,16.0,52.0,7.4,UBVRI,0.058,21,51513.53,0.91,32.761,0.078,0.902,0.081,0.084,0.074,3.10,,13.257,0.078,HF
