"Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF"
pgc,Name,VCC,dist,eD,DM,edm,Vhel,1PGC,Nest,Gp,Ty,RA_DEJ,glon,glat,sgl,sgb,Ag,Area,Rad,uz,euz,gi,egi,gz,egz,Mbar,eMbar
%7s,%7s,%7s,%4.1f,%3.1f,%5.2f,%4.2f,%5d,%7d,%6d,%5s,%4.1f,%16s,%8.4f,%8.4f,%8.4f,%8.4f,%5.3f,%5.2f,%5.1f,%5.3f,%5.3f,%5.3f,%5.3f,%5.3f,%5.3f,%5.2f,%4.2f
---,,,Mpc,Mpc,mag,mag,km/s,,,,,hmsdms,deg,deg,deg,deg,mag,amin^2,asec,mag,mag,mag,mag,mag,mag,mag,mag
"The Catalogue of Principal Galaxies (PGC) Number","Common name","Virgo Cluster Catalog ID","Distance (see Cantiello et al. for zero point)","Uncertainty in distance (excluding zero point)","Distance modulus","Error in distance modulus","Heliocentric velocity","PGC ID of dominant group member","Group ID in 2MASS group catalog of Tully (2015)","Group assignment by Cantiello et al.","Morphological type code from RC3","Right ascension, Declination epoch 2000","Galactic longitude","Galactic latitude","Supergalactic longitude","Supergalactic latitude","Galactic obscuration at B band from RC3",Area,Radius,"u*-z color","Uncertainty in u*-z color","g-i color","Uncertainty in g-i color","g-z color","Uncertainty in g-z color","Surface brightnes fluctuation absolute magnitude Mbar","Uncertainty in Mbar"
40245,NGC4340,VCC0654,16.3,1.1,31.06,0.14,950,41220,100002,V,-1.2,J122335.3+164321,269.7314,77.7599,98.2225,-2.7584,0.113,3.37,54.7,0.000,0.000,1.020,0.003,1.281,0.010,30.25,0.04
40252,NGC4342,VCC0657,19.5,2.7,31.45,0.31,751,40375,140002,W',-3.2,J122339.0+070314,283.4822,68.8698,107.4980,-5.5719,0.089,0.35,27.1,2.435,0.072,0.857,0.017,1.070,0.069,30.41,0.12
40295,NGC4350,VCC0685,15.5,1.4,30.95,0.20,1246,41220,100002,V,-1.8,J122357.8+164136,270.1664,77.7802,98.2771,-2.6813,0.121,3.67,55.3,0.000,0.000,0.983,0.005,1.230,0.020,30.02,0.05
40306,NGC4351,VCC0692,15.6,1.6,30.96,0.22,2306,41220,100002,V,2.8,J122401.5+121217,278.2978,73.7509,102.5776,-3.9916,0.125,0.54,43.0,1.936,0.040,0.737,0.030,0.866,0.040,29.37,0.07
40375,NGC4365,VCC0731,22.7,0.6,31.78,0.06,1221,40375,140002,W',-4.8,J122428.1+071900,283.8058,69.1809,107.3034,-5.3024,0.093,3.96,52.2,2.811,0.000,1.067,0.000,1.311,0.000,31.15,0.06
40442,NGC4371,VCC0759,16.3,0.9,31.06,0.12,913,41220,100002,V,-1.3,J122455.4+114215,279.6728,73.3671,103.1217,-3.9274,0.157,0.83,54.3,2.717,0.008,1.069,0.006,1.340,0.007,30.30,0.07
40455,NGC4374,VCC0763,17.5,0.5,31.22,0.06,999,41220,100002,V,-4.4,J122503.7+125314,278.2038,74.4784,101.9979,-3.5498,0.176,5.91,61.5,2.866,0.002,1.114,0.001,1.371,0.001,30.61,0.04
40477,NGC4377,VCC0778,17.3,1.1,31.19,0.14,1359,41220,100002,V,-2.6,J122512.3+144544,275.3338,76.2081,100.2125,-2.9665,0.165,3.26,48.2,2.624,0.016,1.010,0.015,1.240,0.021,30.33,0.05
40484,NGC4379,VCC0784,16.0,0.9,31.02,0.12,1050,41220,100002,V,-2.7,J122514.7+153627,273.7739,76.9721,99.4066,-2.7085,0.102,3.22,46.0,2.650,0.011,1.036,0.004,1.259,0.011,30.22,0.04
40507,NGC4380,VCC0792,15.9,1.1,31.01,0.15,951,41220,100002,V,2.4,J122522.1+100100,281.9422,71.8181,104.7726,-4.3124,0.102,0.41,54.1,2.480,0.017,0.963,0.008,1.161,0.016,30.01,0.06
