pgc,objname,Modc,1PGC,Nest,al2000,de2000,V_hel,T,GrpID,AgB,VmI,e_VmI,N_VmI,Ibar,e_Ibar,N_Ibar,Mod01,e_Mod,Rav,ratio_in,ratio_out,Qmax,PD,NbarI,Sigma,Qual,icnt,NBG_ID,LH_ID,fil
%7s,%8s,%5.2f,%7d,%6d,%7.3f,%7.3f,%5d,%2d,%3d,%5.2f,%6.3f,%5.3f,%2d,%5.2f,%4.2f,%2d,%5.2f,%4.2f,%5.1f,%5.2f,%5.2f,%4.1f,%5.2f,%5.2f,%5.3f,%4s,%4d,%8s,%4d,%5.1f
---,,mag,,,h,deg,km/s,,,mag,mag,mag,,mag,mag,,mag,mag,arcsec,,,,,,,,,,,
"The Catalogue of Principal Galaxies (PGC) Number","Name used by Tonry et al. (Paper IV)","Distance modulus: adjusted Blakeslee et al. 2010, ApJ 694, 556","PGC ID of dominant group member","Nest ID from 2MASS group catalog of Tully(2015)","Right ascension in decimal degrees epoch 2000","Declination in decimal degrees epoch 2000","Heliocentric velocity","Hubble type","Group ID from Faber et al. 1989, ApJS, 69, 763","Galactic B absorption from Schlegel et al. 1998, ApJ, 500, 525","V-I color at radius contributing to SBF","Uncertainty in V-I color","Number contributing measures","I magnitude assoc w fluctuation power spectrum","Uncertainty in Ibar","Number of contributing measures","Distance modulus: original Tonry et al. 2001","Uncertainty in distance modulus","Mean annular radius (arcsec) contributing to SBF measurement","Ratio innermost/mean radii contributing to SBF","Ratio outermost/mean radii contributing to SBF","Quality Q=log[Ne(mbar)/PD^2; Ne(mbar)=# e- from obj w mag mbar; PD= psf_FWHM x Vcmb/1000","Product (psf_FWHM) x (Vcmb/1000)","Fluctuation star count at I band: Nbar=mbar-mT - difference fluct. and total mags = 2.5log(total lum/lum typical star",,Quality,"Internal group reference number","Nearby Galaxies Catalog (1988) group ID number","Lavaux-Hudson group ID from 2MASS++ catalog","Filament ID from V8k catalog"
24930,N2683,29.38,24930,111732,133.171,33.417,411,3,0,0.14,1.147,0.015,1,27.68,0.35,1,29.44,0.36,48.4,0.73,1.45,5.4,0.49,19.12,0.000,good,282,"15 -6  6",,15.0
24961,N2681,31.10,24961,112290,133.388,51.315,692,0,0,0.10,1.041,0.010,3,28.95,0.34,1,31.18,0.34,59.6,0.59,2.36,6.1,0.74,20.31,0.000,good,292,"15-10 10",,15.0
25003,N2695,32.56,25067,100217,133.613,-3.067,1787,-2,273,0.08,1.183,0.051,1,30.96,0.32,2,32.55,0.40,20.4,0.26,2.86,3.1,1.64,20.32,0.000,good,553,"31  0  0",1151,31.5
25075,N2699,32.18,25067,100217,133.953,-3.128,1822,-5,273,0.09,1.152,0.051,1,30.42,0.14,1,32.15,0.27,18.2,0.40,1.61,2.2,1.68,19.27,0.000,good,553,"31  0  0",1151,31.5
25915,N2768,31.75,25915,101169,137.907,60.039,1373,-5,215,0.19,1.144,0.027,1,29.98,0.20,1,31.75,0.24,24.0,0.70,1.40,3.4,0.96,21.03,0.000,good,167,"13 -6  5",,13.0
25950,N2784,29.93,25950,101956,138.078,-24.173,686,-2,0,0.93,1.188,0.023,1,28.40,0.23,2,29.96,0.25,54.3,0.28,2.23,4.4,1.37,20.30,0.000,good,1010,"54 -3  1",,15.0
25955,N2778,31.85,25955,102481,138.102,35.028,2049,-5,216,0.09,1.150,0.015,1,30.06,0.29,1,31.80,0.30,17.9,0.49,1.97,1.5,2.07,18.66,0.000,good,389,"21-18 18",,35.2
26341,N2787,29.37,26341,102270,139.829,69.203,696,-1,0,0.57,1.194,0.019,1,27.82,0.35,1,29.37,0.36,34.9,0.63,1.26,3.3,1.18,18.86,0.000,good,153,"12  0  0",,12.0
26601,N2865,32.97,26601,109378,140.878,-23.163,2603,-5,284,0.36,1.105,0.019,2,30.95,0.17,1,32.89,0.20,20.6,0.35,2.84,0.6,2.14,20.77,0.000,good,526,"31 17 12",,31.5
26939,N2880,31.71,26939,111976,142.396,62.490,1608,-3,215,0.14,1.148,0.015,1,29.95,0.20,1,31.70,0.21,22.2,0.40,1.59,2.9,1.31,19.44,2.143,good,166,"13 -5  5",,13.0
26981,N2904,31.91,26981,101126,142.570,-30.384,2339,-3,0,0.54,1.201,0.041,1,30.36,0.14,2,31.86,0.24,18.9,0.28,2.23,1.7,2.07,19.30,0.000,good,497,"31  5  2",1031,31.5
27762,N2974,31.74,27762,105804,145.639,-3.700,1919,-5,0,0.23,1.203,0.015,1,30.16,0.23,1,31.66,0.24,36.6,0.60,2.40,0.6,2.15,20.95,0.000,good,537,"31-18 18",,31.5
27765,N2950,30.94,27765,111458,145.652,58.852,1337,-2,0,0.07,1.110,0.019,1,28.95,0.25,1,30.87,0.27,33.3,0.66,1.32,1.0,2.23,19.33,0.000,good,168,"13  0  5",,13.0
28424,N3032,31.73,28424,102733,148.033,29.237,1533,-2,0,0.07,1.073,0.019,1,29.62,0.26,1,31.71,0.28,24.6,0.72,1.43,2.7,1.71,18.77,0.000,good,379,"21-13 12",,21.0
28576,N3056,30.45,28576,103107,148.637,-28.297,930,-1,0,0.39,1.073,0.023,1,28.34,0.22,1,30.43,0.25,27.3,0.55,2.21,2.5,1.98,17.92,0.000,good,1008,"54 -1  1",1037,54.0
28630,N3031,27.76,28630,101368,148.890,69.067,-34,2,0,0.35,1.187,0.011,3,26.38,0.25,3,27.96,0.26,72.4,0.00,2.43,9.9,0.04,20.76,0.000,good,217,"14-10 10",,14.0
28806,N3078,32.80,28806,100279,149.602,-26.926,2580,-5,219,0.31,1.209,0.017,2,31.25,0.29,2,32.73,0.30,30.7,0.48,1.97,1.0,2.67,21.63,0.000,good,496,"31 -5  2",1136,31.5
28845,N3087,32.77,28845,100357,149.787,-34.225,2592,-4,218,0.45,1.164,0.019,2,31.04,0.18,1,32.72,0.21,22.6,0.32,2.59,1.6,2.23,21.18,0.000,good,495,"31 -4  2",1118,31.1
28974,N3073,32.68,29050,103087,150.216,55.620,1128,-3,0,0.04,1.007,0.019,1,30.26,0.92,1,32.64,0.93,16.6,0.66,1.33,1.9,1.51,18.28,0.000,good,157,"13 -1  1",,13.0
29146,N3077,27.83,28630,101368,150.838,68.734,14,0,0,0.29,1.044,0.015,2,25.81,0.10,1,28.03,0.13,45.5,0.36,2.89,9.9,0.09,17.14,0.000,good,217,"14-10 10",,14.0
29265,N3115,29.90,29265,102737,151.309,-7.719,663,-3,0,0.20,1.183,0.010,6,28.34,0.06,4,29.93,0.09,54.1,0.31,3.25,4.4,0.95,20.83,2.433,good,270,"15 -5  1",,15.0
29311,N3136,31.95,29311,200337,151.451,-67.378,1713,-5,44,1.03,1.095,0.033,2,29.96,0.15,1,31.95,0.22,31.5,0.46,1.86,3.5,1.39,21.17,0.000,good,976,"53-21 21",,53.0
29597,N3136B,31.65,29311,200337,152.555,-67.005,1780,-4,44,0.81,1.164,0.033,2,29.96,0.11,2,31.64,0.19,17.3,0.42,3.38,3.1,1.52,19.60,0.000,good,976,"53-21 21",4707,53.0
29730,N3156,31.76,29814,101282,153.171,3.131,1318,-2,252,0.15,1.011,0.011,5,29.38,0.13,1,31.75,0.14,17.4,0.42,1.68,3.0,1.34,18.54,0.000,good,372,"21-10 10",,21.5
30099,N3193,32.65,30083,100273,154.604,21.895,1399,-5,45,0.11,1.174,0.009,4,31.03,0.17,1,32.66,0.18,22.5,0.19,2.98,3.8,0.85,21.49,2.294,good,368,"21 -6  6",1168,21.0
30440,N3226,31.88,30445,100273,155.864,19.899,1151,-5,45,0.10,1.178,0.015,1,30.25,0.23,1,31.86,0.24,23.3,0.47,1.88,2.7,1.33,20.52,0.000,good,368,"21 -6  6",,21.0
30671,N3250,33.20,30671,100106,156.635,-39.943,2774,-5,46,0.44,1.226,0.019,3,31.75,0.14,2,33.15,0.17,26.5,0.27,2.20,1.6,2.14,22.09,0.000,good,509,"31 -7  6",1027,31.1
30744,N3245,31.66,30744,100784,156.826,28.508,1314,-2,0,0.11,1.139,0.023,1,29.81,0.16,1,31.60,0.20,25.3,0.43,1.74,1.2,1.79,19.99,0.000,good,370,"21 -8  8",,21.0
30849,N3257,32.74,30308,100014,157.196,-35.658,3200,-3,46,0.33,1.192,0.041,1,31.13,0.18,1,32.68,0.26,14.9,0.49,1.97,1.2,2.61,19.77,0.000,good,488,"31 -2  2",1032,31.8
30859,N3258,32.58,30308,100014,157.226,-35.606,2769,-5,46,0.36,1.209,0.034,1,31.06,0.22,1,32.53,0.27,25.9,0.28,2.26,1.7,2.32,21.20,0.000,good,488,"31 -2  2",1032,31.8
30949,N3268,32.76,30308,100014,157.503,-35.325,2790,-5,46,0.45,1.189,0.023,2,31.14,0.22,1,32.71,0.25,9.0,0.47,1.87,1.7,1.85,21.58,0.000,good,488,"31 -2  2",1032,31.8
31533,N3318,32.77,31533,110208,159.315,-41.628,2837,3,0,0.34,1.073,0.101,1,30.61,0.19,1,32.70,0.49,18.4,0.29,2.29,1.1,2.06,20.13,0.000,good,506,"31 -6  6",,31.1
32192,N3368,30.13,32256,100122,161.688,11.821,897,2,57,0.11,1.145,0.015,1,28.32,0.20,1,30.08,0.22,131.6,0.67,1.33,1.7,1.63,20.22,0.000,good,266,"15 -1  1",,15.1
32249,N3377,30.21,32256,100122,161.924,13.983,665,-5,57,0.15,1.114,0.009,4,28.35,0.06,3,30.25,0.09,41.6,0.18,3.67,4.8,0.89,19.51,2.155,good,266,"15 -1  1",,15.1
32256,N3379,30.15,32256,100122,161.958,12.582,911,-5,57,0.10,1.193,0.015,1,28.57,0.07,2,30.12,0.11,56.9,0.19,3.08,2.4,1.59,20.31,2.344,good,266,"15 -1  1",,15.1
32292,N3384,30.30,32256,100122,162.072,12.630,704,-3,57,0.11,1.151,0.018,1,28.59,0.10,1,30.32,0.14,63.4,0.30,2.41,3.9,1.24,20.12,2.199,good,266,"15 -1  1",,15.1
32508,N3412,30.28,32256,100122,162.722,13.413,841,-2,57,0.12,1.111,0.015,1,28.35,0.11,1,30.27,0.14,39.6,0.56,2.22,3.0,1.40,18.75,2.025,good,266,"15 -1  1",,15.1
32533,N3414,32.07,32533,100492,162.818,27.976,1414,-2,0,0.10,1.149,0.019,1,30.27,0.32,1,32.01,0.33,32.4,0.68,1.35,1.2,1.66,20.62,0.000,good,369,"21  7  7",1173,22.2
32543,N3413,31.01,32543,113065,162.838,32.768,634,-2,0,0.10,0.733,0.015,1,27.44,0.23,1,31.05,0.24,18.3,0.48,1.92,4.7,0.78,16.22,0.000,poor,288,"15  8  7",,13.0
32787,N3457,31.58,32787,101358,163.703,17.622,1158,0,0,0.14,1.098,0.015,1,29.60,0.13,2,31.58,0.15,16.6,0.53,2.12,3.4,1.32,18.20,0.000,good,361,"21 -3  1",1172,21.0
33160,N3489,30.39,32256,100122,165.076,13.902,677,-1,0,0.07,1.041,0.023,1,28.18,0.10,2,30.41,0.15,49.2,0.36,1.43,3.9,0.96,18.89,0.000,good,266,"15 -1  1",,15.1
33615,N3522,32.03,33615,112937,166.669,20.086,1204,-5,0,0.10,0.000,1.000,0,30.02,0.21,1,32.03,0.28,18.0,0.49,1.96,3.2,1.30,18.07,0.000,poor,360,"21 -2  1",,22.2
33871,N3557,33.35,33871,100090,167.490,-37.538,3030,-5,154,0.43,1.183,0.016,1,31.72,0.20,1,33.30,0.22,19.8,0.27,2.13,1.7,2.67,23.01,0.000,good,514,"31-10 10",1099,31.1
34160,N3585,31.57,34160,101245,168.320,-26.756,1367,-5,285,0.28,1.160,0.016,2,29.81,0.16,1,31.51,0.18,56.4,0.54,2.14,1.2,2.31,21.46,0.000,good,421,"22 -6  6",,54.0
34326,N3599,31.51,34426,100023,168.864,18.113,832,-2,48,0.09,1.112,0.012,2,29.63,0.16,1,31.54,0.18,26.6,0.41,1.65,4.4,1.14,19.29,0.000,good,358,"21 -1  1",1171,15.0
34415,N3605,31.53,34415,100023,169.195,18.018,642,-5,48,0.09,1.118,0.024,2,29.70,0.27,1,31.58,0.29,7.8,0.71,1.41,5.1,1.11,18.12,2.000,good,358,"21 -1  1",1171,22.3
34426,N3607,31.78,34426,100023,169.225,18.053,960,-2,48,0.09,1.152,0.010,3,30.06,0.15,1,31.79,0.17,32.1,0.34,2.74,3.8,1.40,21.43,2.342,good,358,"21 -1  1",,22.3
34433,N3608,31.79,34426,100023,169.245,18.149,1253,-5,48,0.09,1.156,0.009,5,30.09,0.12,1,31.80,0.14,24.6,0.17,2.72,3.8,0.92,20.48,2.290,good,358,"21 -1  1",1171,22.3
34566,N3610,31.73,34566,100201,169.608,58.787,1704,-5,281,0.04,1.108,0.015,1,29.73,0.20,1,31.65,0.22,31.7,0.69,1.38,0.7,2.21,19.75,0.000,good,125,"12-12 12",1184,12.0
34583,N3613,32.41,34566,100201,169.651,58.001,2034,-5,281,0.05,1.175,0.015,1,30.69,0.39,1,32.32,0.40,26.8,0.41,1.64,0.3,2.22,21.00,0.000,good,125,"12-12 12",1184,12.0
34684,N3626,31.56,34426,100023,170.015,18.358,1493,-1,48,0.09,1.009,0.015,1,29.13,0.23,1,31.51,0.24,52.1,0.68,1.35,1.6,2.03,19.19,2.233,good,358,"21 -1  1",1171,22.3
34778,N3640,32.17,34778,100444,170.278,3.236,1251,-5,50,0.19,1.140,0.009,5,30.37,0.12,1,32.16,0.13,25.4,0.29,2.30,3.1,1.49,21.26,2.265,good,377,"21-11 11",,22.2
34780,N3641,32.18,34778,100444,170.286,3.195,1755,-5,50,0.18,1.131,0.012,3,30.30,0.24,1,32.13,0.25,16.1,0.45,1.82,1.8,1.90,18.73,0.000,good,377,"21-11 11",,22.2
36304,N3818,32.83,36304,111751,175.489,-6.156,1671,-5,153,0.16,1.124,0.015,1,30.94,0.60,1,32.80,0.61,32.0,0.69,1.37,2.5,1.69,20.31,0.000,good,424,"22 -8  8",1302,22.2
36918,N3904,32.28,37061,100129,177.305,-29.276,1684,-5,52,0.31,1.156,0.055,1,30.55,0.13,1,32.26,0.28,26.1,0.28,2.24,2.7,1.51,20.96,0.000,good,417,"22 -4  4",1138,22.0
37061,N3923,31.82,37061,100129,177.759,-28.806,1807,-5,52,0.36,1.194,0.055,1,30.26,0.12,1,31.80,0.28,41.8,0.17,2.80,2.7,1.50,21.91,0.000,good,417,"22 -4  4",,22.0
37136,N3928,31.16,36699,100008,177.946,48.681,972,3,155,0.09,1.096,0.015,1,29.16,0.63,1,31.14,0.64,20.1,0.55,2.18,2.5,1.47,17.94,0.000,good,102,"12 -1  1",1044,12.1
37235,N3941,30.49,37235,103089,178.230,36.987,928,-2,0,0.09,1.125,0.013,2,28.58,0.16,1,30.43,0.18,47.5,0.12,1.85,1.3,1.63,19.30,0.000,good,108,"12  6  1",,12.0
37339,I0745,31.40,37339,113005,178.551,0.136,1145,-2,0,0.09,0.978,0.010,4,28.80,0.30,1,31.31,0.30,16.8,0.65,1.31,0.2,2.33,16.78,0.000,good,427,"22 10 10",,22.2
37366,N3962,32.82,37366,109304,178.666,-13.973,1738,-5,244,0.20,1.145,0.023,1,30.98,0.48,1,32.74,0.49,36.1,0.42,1.67,0.8,2.85,21.85,0.000,poor,411,"22  1  1",,22.2
37618,N3990,30.03,37618,100008,179.401,55.459,696,-3,155,0.07,1.151,0.019,1,28.33,0.27,1,30.06,0.28,11.3,0.49,1.95,4.2,0.98,16.83,0.000,good,102,"12 -1  1",1044,12.1
37642,N3998,30.78,37642,100008,179.486,55.454,1040,-2,155,0.07,1.194,0.011,3,29.20,0.18,1,30.75,0.19,34.1,0.32,2.57,2.4,1.35,19.74,0.000,good,102,"12 -1  1",1044,12.0
37760,N4026,30.63,38795,100008,179.857,50.962,930,-2,155,0.09,1.174,0.015,1,29.04,0.26,1,30.67,0.28,26.2,0.67,1.34,4.7,0.86,19.60,2.286,good,102,"12 -1  1",,12.1
37863,N4033,31.68,37969,100219,180.145,-17.842,1579,-5,53,0.20,1.113,0.023,1,29.71,0.20,1,31.62,0.23,21.9,0.69,1.38,1.2,2.56,19.29,0.000,good,409,"22 -1  1",1141,22.0
38411,N4105,32.15,38411,100208,181.670,-29.762,1884,-5,49,0.26,1.171,0.017,2,30.47,0.14,1,32.12,0.17,33.5,0.22,1.75,2.4,1.89,21.50,0.000,good,420,"22 -5  4",1124,22.0
38440,N4111,30.86,38440,100008,181.761,43.067,807,-1,155,0.06,1.096,0.015,1,28.90,0.22,1,30.88,0.23,33.9,0.65,1.29,3.9,1.20,19.07,2.196,good,102,"12 -1  1",,12.1
38524,N4125,31.92,38524,100281,182.030,65.173,1356,-5,54,0.08,1.174,0.011,2,30.26,0.24,1,31.89,0.25,51.6,0.21,1.70,2.3,1.86,21.86,2.367,good,106,"12  5  1",,12.0
38643,N4138,30.71,38440,100008,182.378,43.688,888,-1,155,0.06,1.164,0.013,2,29.02,0.25,1,30.70,0.26,36.7,0.60,1.20,3.0,1.01,18.94,2.158,good,102,"12 -1  1",1043,12.1
38654,N4143,31.02,38440,100008,182.402,42.536,958,-2,155,0.05,1.181,0.015,1,29.41,0.17,1,31.01,0.19,24.2,0.45,1.81,3.0,1.38,19.39,2.431,good,102,"12 -1  1",1043,12.1
38742,N4150,30.60,40692,100065,182.640,30.402,226,-2,55,0.08,1.071,0.017,1,28.60,0.22,1,30.69,0.24,32.9,0.67,1.33,6.3,0.81,18.28,2.090,good,200,"14 -1  1",,12.2
38890,N4168,32.56,38890,130002,183.069,13.207,2273,-5,0,0.16,1.132,0.015,1,30.63,0.41,1,32.45,0.42,19.3,0.57,2.27,-0.4,2.31,20.75,0.000,poor,177,"13 12 11",1445,11.4
39158,N4203,30.94,39158,140065,183.772,33.198,1086,-3,0,0.05,1.195,0.019,1,29.36,0.15,1,30.90,0.18,39.0,0.28,2.25,1.9,1.26,20.71,0.000,good,200,"14 -1  1",,12.2
39384,N4233,32.77,39659,120002,184.277,7.623,2275,-2,150,0.10,1.191,0.015,1,31.09,0.93,1,32.65,0.94,32.4,0.68,1.35,-0.6,2.43,20.31,0.000,poor,56,"11-24 24",1443,11.4
39492,N4251,31.47,40692,100065,184.533,28.176,1071,-2,55,0.10,1.117,0.015,1,29.57,0.18,1,31.46,0.20,35.1,0.31,2.50,2.9,1.41,19.99,2.090,good,200,"14 -1  1",1042,12.2
39600,N4258,29.22,39600,120008,184.741,47.304,448,4,0,0.07,1.134,0.023,1,27.50,0.08,2,29.31,0.14,103.2,0.68,1.70,6.3,0.61,21.13,0.000,good,209,"14 -4  4",,12.0
39659,N4261,32.57,39659,120002,184.845,5.827,2238,-5,150,0.08,1.258,0.014,2,31.25,0.18,1,32.50,0.19,24.8,0.17,2.70,1.0,1.28,22.32,2.490,good,56,"11-24 24",,11.4
39764,N4278,30.95,40692,100065,185.030,29.280,649,-5,55,0.12,1.161,0.012,4,29.34,0.18,1,31.03,0.20,39.7,0.44,1.77,5.9,0.66,20.41,2.400,good,200,"14 -1  1",1042,12.2
39791,N4291,32.12,39791,100263,185.076,75.373,1757,-5,98,0.16,1.175,0.017,1,30.47,0.31,1,32.09,0.32,33.3,0.26,2.11,2.2,1.68,20.37,2.453,good,763,"42-13 13",1051,42.0
39800,N4283,31.01,40692,100065,185.087,29.311,984,-5,55,0.11,1.178,0.010,3,29.37,0.18,1,30.98,0.19,17.5,0.55,2.19,2.4,1.65,18.32,2.045,good,200,"14 -1  1",1042,12.2
39801,N4281,32.04,39659,120002,185.090,5.387,2711,-1,150,0.09,1.167,0.015,1,30.28,0.26,1,31.94,0.28,27.0,0.33,2.61,-0.1,2.22,20.34,2.413,poor,56,"11-24 24",1443,11.4
40228,N4346,30.76,39241,100008,185.867,46.994,770,-2,0,0.06,1.158,0.012,2,29.07,0.15,1,30.78,0.17,31.4,0.70,1.40,4.0,1.00,19.06,0.000,good,102,"12 -1  1",1002,12.1
40240,N4339,31.15,40375,140002,185.893,6.082,1289,-5,56,0.11,1.200,0.015,1,29.56,0.16,1,31.08,0.18,20.7,0.53,2.12,1.1,2.07,19.37,2.064,good,4,"11  4  1",1,11.1
40375,N4365,31.56,40375,140002,186.116,7.318,1243,-5,150,0.09,1.222,0.017,1,30.14,0.14,1,31.55,0.17,34.9,0.32,2.52,3.0,1.35,21.79,2.430,good,5,"11 -5  1",,11.5
40378,N4386,32.19,39791,100263,186.122,75.530,1677,-2,0,0.17,1.196,0.019,1,30.63,0.48,1,32.16,0.49,33.6,0.65,1.31,2.4,1.87,20.29,0.000,good,763,"42-13 13",1051,42.0
40455,N4374,31.30,41220,100002,186.265,12.887,1060,-5,56,0.17,1.191,0.008,5,29.77,0.09,2,31.32,0.11,55.1,0.16,2.77,4.1,1.30,21.97,2.467,good,1,"11 -1  1",,11.0
40484,N4379,30.79,41220,100002,186.312,15.608,1069,-3,56,0.10,1.185,0.017,1,29.18,0.39,1,30.76,0.41,27.6,0.40,1.59,2.4,1.42,18.83,1.839,good,1,"11 -1  1",1,11.0
40500,N4391,31.90,40500,100281,186.329,64.934,1320,-3,54,0.08,1.112,0.015,1,29.99,0.26,1,31.90,0.27,15.6,0.71,1.41,3.2,1.38,18.45,0.000,good,106,"12  5  1",1046,12.0
40515,N4382,31.26,41220,100002,186.353,18.191,729,-1,0,0.13,1.150,0.022,3,29.59,0.09,2,31.33,0.14,52.6,0.08,2.68,5.5,0.76,21.82,2.265,good,1,"11 -1  1",,11.0
40549,E322-008,32.96,40498,100092,186.407,-39.320,2974,-2,35,0.36,1.205,0.023,2,31.37,0.50,1,32.86,0.52,20.7,0.71,1.42,0.0,2.53,20.71,0.000,good,456,"23  0  5",1109,23.1
40562,N4387,31.66,41220,100002,186.424,12.812,537,-5,56,0.14,1.163,0.011,2,29.97,0.72,1,31.65,0.73,15.3,0.36,1.44,3.0,1.46,18.96,2.049,good,1,"11 -1  1",1,11.0
40653,N4406,31.10,41220,100002,186.549,12.947,-244,-5,56,0.13,1.167,0.008,5,29.51,0.12,1,31.17,0.14,27.2,0.18,2.84,5.7,0.85,22.10,2.391,good,1,"11 -1  1",,11.0
40772,N4419,30.67,41220,100002,186.737,15.048,-261,1,56,0.14,1.126,0.026,2,28.80,0.21,1,30.65,0.25,49.1,0.36,1.43,2.5,1.15,19.03,0.000,good,1,"11 -1  1",1,11.0
40886,N4434,32.03,40375,140002,186.904,8.155,1071,-5,56,0.10,1.125,0.015,1,30.29,0.15,1,32.14,0.17,12.3,0.55,2.20,6.9,0.61,19.21,0.000,good,5,"11 -5  1",1,11.0
40887,I3370,32.21,40498,100092,186.904,-39.338,2934,-5,35,0.40,1.185,0.022,3,30.56,0.14,1,32.14,0.17,19.2,0.28,2.19,0.9,2.69,20.93,2.305,good,456,"23  0  5",1109,23.1
41069,N4460,29.84,39600,120008,187.192,44.863,490,-1,0,0.08,1.011,0.015,1,27.54,0.17,1,29.91,0.19,32.5,0.68,1.35,5.6,0.88,16.80,0.000,good,209,"14 -4  4",1002,12.0
41095,N4458,31.08,41220,100002,187.241,13.243,635,-5,56,0.10,1.140,0.011,2,29.39,0.09,1,31.18,0.12,15.1,0.45,1.79,6.8,0.66,18.33,2.004,good,1,"11 -1  1",1,11.0
41104,N4459,31.04,41220,100002,187.250,13.979,1210,-1,56,0.20,1.187,0.015,1,29.47,0.21,1,31.04,0.22,36.6,0.24,1.92,3.5,1.11,20.63,2.236,good,1,"11 -1  1",1,11.0
41171,N4468,31.01,41220,100002,187.380,14.050,889,-3,56,0.20,1.045,0.015,1,28.79,0.11,1,31.00,0.14,18.6,0.51,2.05,3.1,1.35,17.40,0.000,good,1,"11 -1  1",1,11.0
41220,N4472,31.05,41220,100002,187.444,7.999,997,-5,56,0.10,1.218,0.011,3,29.62,0.07,2,31.06,0.10,64.8,0.17,2.71,3.8,1.08,22.51,2.481,good,1,"11 -1  1",,11.0
41228,N4473,31.00,41220,100002,187.453,13.430,2244,-5,56,0.12,1.158,0.012,2,29.28,0.11,1,30.98,0.13,34.8,0.28,2.20,2.5,1.62,20.31,2.253,good,1,"11 -1  1",,11.0
41255,N4476,31.22,41220,100002,187.495,12.348,1958,-3,56,0.12,1.048,0.017,1,28.98,0.14,1,31.18,0.17,19.9,0.55,2.21,2.1,1.40,17.76,0.000,good,1,"11 -1  1",1,11.0
41297,N4478,31.30,41220,100002,187.572,12.329,1349,-5,56,0.11,1.164,0.019,3,29.62,0.26,1,31.29,0.28,18.6,0.59,2.36,3.0,1.49,19.33,2.158,good,1,"11 -1  1",1,11.0
41361,N4486,31.00,41220,100002,187.707,12.390,1307,-4,56,0.10,1.244,0.012,3,29.72,0.14,2,31.03,0.16,53.0,0.08,3.31,4.4,0.74,22.21,2.530,good,1,"11 -1  1",,11.0
41365,N4489,31.26,41220,100002,187.718,16.759,939,-5,56,0.12,1.046,0.015,1,29.05,0.13,1,31.26,0.15,14.7,0.65,1.30,3.3,1.48,17.93,0.000,good,1,"11 -1  1",1,11.0
41441,N4494,31.16,42038,120065,187.851,25.774,1344,-5,235,0.09,1.139,0.010,3,29.38,0.08,1,31.16,0.11,26.6,0.16,2.52,3.2,0.91,20.56,2.190,good,200,"14 -1  1",,12.2
41772,N4526,31.08,41220,100002,188.512,7.700,448,-2,56,0.10,1.188,0.021,4,29.57,0.17,2,31.14,0.20,46.4,0.24,3.79,5.3,0.92,21.13,2.415,good,1,"11 -1  1",,11.0
41806,N4531,30.91,41220,100002,188.567,13.076,90,-1,56,0.18,1.100,0.015,1,28.94,0.20,1,30.91,0.22,42.0,0.42,1.68,3.2,1.19,19.39,0.000,good,1,"11 -1  1",1,11.0
41934,N4548,31.43,41220,100002,188.860,14.497,486,3,56,0.16,1.148,0.019,1,29.67,0.53,1,31.42,0.54,23.6,0.37,1.49,3.1,1.19,21.95,0.000,good,1,"11 -1  1",,11.0
41939,N4546,30.75,41939,110820,188.873,-3.794,1019,-3,0,0.15,1.155,0.013,2,29.03,0.19,1,30.74,0.20,34.1,0.26,2.06,2.9,1.20,19.73,0.000,good,33,"11 16 10",,19.0
41943,N4550,31.00,41220,100002,188.879,12.221,381,-2,56,0.17,1.078,0.011,2,28.94,0.18,1,31.00,0.20,22.4,0.39,1.57,3.5,1.11,18.38,1.903,good,1,"11 -1  1",1,11.0
41947,U07767,32.25,41947,102298,188.886,73.675,1282,-5,0,0.09,1.152,0.019,1,30.48,0.96,1,32.22,0.97,17.5,0.63,1.26,2.2,1.67,18.32,0.000,good,763,"42-13 13",1051,42.0
41963,N4551,31.18,41220,100002,188.909,12.266,1172,-5,56,0.17,1.170,0.009,3,29.54,0.16,2,31.19,0.17,22.0,0.40,1.73,3.8,1.05,18.86,2.057,good,1,"11 -1  1",1,11.0
41968,N4552,30.94,41220,100002,188.916,12.557,340,-5,56,0.18,1.194,0.015,1,29.39,0.11,1,30.93,0.14,58.6,0.33,2.60,3.1,1.35,20.49,2.420,good,1,"11 -1  1",,11.0
42038,N4565,31.21,42038,120065,189.086,25.989,1230,3,235,0.07,1.128,0.027,1,29.37,0.11,1,31.21,0.17,54.2,0.62,1.24,3.2,0.99,21.06,0.000,good,206,"14  2  1",,12.0
42051,N4564,30.88,41220,100002,189.113,11.439,1142,-5,56,0.15,1.161,0.009,3,29.19,0.16,2,30.88,0.17,25.7,0.34,2.74,3.2,1.12,19.34,2.199,good,1,"11 -1  1",1,11.0
42139,N4589,31.77,42139,101930,189.357,74.195,1980,-5,98,0.12,1.180,0.015,1,30.10,0.20,1,31.71,0.22,28.1,0.31,2.51,1.2,1.98,20.46,2.352,good,763,"42-13 13",,42.0
42149,N4578,31.33,41220,100002,189.378,9.555,2273,-2,56,0.09,1.127,0.015,1,29.50,0.10,1,31.34,0.13,25.9,0.37,2.95,3.6,1.12,19.65,0.000,good,1,"11 -1  1",,11.0
