"HST IR SBF","HST IR SBF","HST IR SBF","HST IR SBF","HST IR SBF","HST IR SBF","HST IR SBF","HST IR SBF","HST IR SBF","HST IR SBF","HST IR SBF","HST IR SBF","HST IR SBF","HST IR SBF"
pgc,Name,1PGC,Nest,DMzp,DM,edm,Vhel,Ty,RA_DEJ,glon,glat,sgl,sgb,Ag
%7s,%9s,%7d,%6d,%6.3f,%6.3f,%5.3f,%5d,%4.1f,%16s,%8.4f,%8.4f,%8.4f,%8.4f,%5.3f
---,,,,mag,mag,mag,km/s,,hmsdms,deg,deg,deg,deg,mag
"The Catalogue of Principal Galaxies (PGC) Number","Common name","PGC ID of dominant member of group","Nest ID in 2MASS group catalog of Tully (2015)","Distance modulus shifted to absolute scale (H0=75)","Distance modulus","Error in distance modulus","Heliocentric velocity","Morphological type code from RC3","Right ascension, Declination epoch 2000","Galactic longitude","Galactic latitude","Supergalactic longitude","Supergalactic latitude","Galactic obscuration at B band from RC3"
29822,NGC3158,29822,100069,34.757,34.806,0.099,6921,-4.8,J101350.5+384554,183.2131,55.2599,65.2664,-18.4146,0.057
31586,IC2597,31478,100006,33.624,33.673,0.082,2994,-3.9,J103747.4-270453,269.5499,26.9918,138.7998,-37.3257,0.306
32512,NGC3392,32495,102107,33.812,33.861,0.088,3232,-4.2,J105103.0+654654,140.4977,47.0307,47.0595,2.4980,0.058
33371,NGC3504,33371,102159,32.634,32.683,0.095,1525,2.1,J110311.1+275821,204.5777,66.0809,80.6092,-15.7171,0.110
36487,NGC3842,36487,100005,34.662,34.711,0.102,6235,-4.9,J114402.2+195659,234.2910,72.9879,92.0553,-10.5686,0.093
37930,NGC4036,37930,101161,31.727,31.776,0.078,1370,-2.4,J120126.8+615345,132.9797,54.2466,53.9941,7.6888,0.102
38201,NGC4073,38201,100071,34.597,34.646,0.141,5912,-4.1,J120427.1+015345,276.9082,62.3697,111.1154,-11.6305,0.117
40378,NGC4386,39791,100263,32.378,32.427,0.080,1648,-2.0,J122428.3+753144,125.1760,41.4817,41.1950,13.3085,0.167
44298,NGC4839,44715,100001,34.751,34.800,0.096,7338,-3.9,J125724.4+272952,48.8442,88.6239,89.9643,7.6957,0.044
44628,NGC4874,44715,100001,34.932,34.981,0.128,7168,-3.6,J125935.7+275733,58.0838,88.0101,89.6263,8.2750,0.039
44807,NGC4914,44807,103153,34.084,34.133,0.075,4748,-4.1,J130043.0+371855,112.6338,79.6269,80.4243,10.5543,0.059
45657,NGC4993,45466,100214,32.974,33.023,0.076,2934,-0.3,J130947.7-232302,308.3772,39.2937,139.9403,-2.8959,0.534
49044,NGC5322,49044,100202,32.441,32.490,0.072,1801,-4.8,J134915.2+601126,110.2793,55.4949,57.4682,20.3114,0.060
49356,NGC5353,49356,100039,32.662,32.711,0.076,2230,-2.1,J135326.7+401659,82.6107,71.6334,78.7611,21.1161,0.055
50558,NGC5490,50558,100189,34.218,34.267,0.080,4855,-4.9,J140957.3+173244,9.1416,69.5097,103.5213,22.1125,0.116
51104,NGC5557,51104,101046,33.409,33.458,0.072,3213,-4.7,J141825.7+362937,65.3024,69.3491,83.0680,25.8814,0.026
53865,NGC5839,53932,100073,32.320,32.369,0.078,1229,-2.0,J150527.5+013805,0.2000,49.0090,124.4540,31.7562,0.227
61009,NGC6482,61009,101170,33.521,33.570,0.091,3912,-4.9,J175148.8+230419,48.0904,22.9123,87.6777,73.3932,0.437
62395,NGC6702,62395,108125,33.943,33.992,0.087,4725,-4.9,J184657.6+454221,75.0282,19.7868,29.2604,59.9556,0.463
65379,NGC6964,65375,200193,33.636,33.685,0.096,3791,-4.6,J204724.3+001803,47.3994,-25.4017,270.0505,58.2783,0.426
66537,NGC7052,66537,206839,33.908,33.957,0.092,4700,-4.9,J211833.2+262647,74.7148,-15.9035,320.3283,54.9752,0.531
68434,NGC7242,68434,220008,34.455,34.504,0.104,5881,-4.0,J221539.5+371755,91.6017,-15.9211,332.5472,40.8934,0.656
71121,NGC7619,71121,200092,33.292,33.341,0.081,3763,-4.8,J232014.5+081223,87.7020,-48.3283,298.3285,24.9307,0.353
771919,NGC1201,771919,210406,31.298,31.347,0.074,1678,-2.6,J030408.0-260411,218.5425,-60.4041,275.3421,-35.5056,0.067
