# SGA_ID DESI_NAME RA Dec z_desi BA G_R G_R_err V_0p4R26  V_0p4R26_err R_MAG_SB26_CORR R_MAG_SB26_ERR_CORR LOGDIST_AVG LOGDIST_AVG_ERR MAIN 
24212 DESIXJ09591909+4837024 149.829562 48.617334 0.1647 0.8628 0.6933 0.0069 237 21 16.7663 0.0366 0.0011 0.0564 0
24403 DESIXJ13023920-0257343 195.663329 -2.959515 0.0675 0.8955 0.4525 0.0150 209 21 15.5552 0.0370 -0.0972 0.0593 1
24644 DESIXJ10131887+2313574 153.328627 23.232612 0.0375 0.6716 0.3293 0.0295 81 10 15.4632 0.0758 0.2424 0.0665 0
26158 DESIXJ09065687+1626079 136.736938 16.435526 0.0639 0.6204 0.6833 0.0335 55 12 15.3666 0.0871 0.6911 0.0970 0
27302 DESIXJ16325165+3228079 248.215196 32.468872 0.1135 0.6732 0.8371 0.0326 186 20 16.9050 0.0857 -0.0613 0.0614 0
27738 DESIXJ17143827+2807151 258.659474 28.120875 0.0227 0.8453 0.5494 0.0069 50 19 14.6424 0.0362 0.4583 0.1711 0
32608 DESIXJ16185811+3159079 244.742116 31.985520 0.0589 0.2317 0.4673 0.0353 113 9 15.7029 0.1723 0.1715 0.0580 1
33753 DESIXJ02490699-0054082 42.279140 -0.902287 0.0249 0.7753 0.5699 0.0090 14 12 15.2858 0.0528 1.1084 0.3050 0
34318 DESIXJ15173290+0109051 229.387090 1.151405 0.1257 0.7014 0.9326 0.0163 214 46 15.9865 0.0684 0.0954 0.0918 1
34355 DESIXJ15301454+1036340 232.560563 10.609441 0.0777 0.2580 0.5948 0.0338 139 4 16.3021 0.1662 0.0678 0.0521 0
36770 DESIXJ09102456+1559196 137.602320 15.988765 0.0295 0.9120 0.3700 0.0097 47 24 16.9439 0.0206 0.1702 0.2395 0
36967 DESIXJ10291509+0813012 157.312891 8.216995 0.0343 0.6464 0.3677 0.0209 18 11 16.5215 0.0824 0.8694 0.2657 0
37071 DESIXJ10523277+1059039 163.136523 10.984425 0.0270 0.3878 0.3237 0.0350 39 7 17.1432 0.1376 0.2181 0.0861 0
37850 DESIXJ10190910+0322078 154.787924 3.368834 0.0325 0.4765 0.3359 0.0311 61 5 15.7178 0.1191 0.3114 0.0579 0
38085 DESIXJ08353554+4952397 128.898088 49.877693 0.0424 0.8326 0.5306 0.0086 59 17 15.7970 0.0521 0.3935 0.1305 0
38776 DESIXJ09223200+3613202 140.633329 36.222287 0.0307 0.5007 0.3389 0.0481 52 11 15.4732 0.1306 0.4107 0.0933 0
40014 DESIXJ09342533+2618041 143.605556 26.301128 0.0657 0.4601 0.5329 0.0246 160 14 15.7030 0.1306 0.0189 0.0582 0
40977 DESIXJ02170724+0116567 34.280151 1.282415 0.0214 0.3564 0.9139 0.0202 49 13 13.6496 0.1447 0.6390 0.1163 0
41221 DESIXJ10564791+3105253 164.199638 31.090357 0.0055 0.9386 0.4384 0.0122 111 29 15.8031 0.0383 -0.7937 0.1109 0
41696 DESIXJ11485415+2516461 177.225623 25.279475 0.0731 0.5649 0.4852 0.0714 124 12 17.1566 0.1117 -0.0419 0.0590 0
43314 DESIXJ19180598+6436397 289.524898 64.611027 0.0255 0.4331 0.5086 0.0161 101 10 14.6492 0.1282 0.0903 0.0619 1
44613 DESIXJ09354217+3816384 143.925725 38.277337 0.0618 0.4738 0.3521 0.0222 98 11 16.2032 0.1210 0.1756 0.0623 0
45819 DESIXJ02071826+1133577 31.826095 11.566034 0.0055 0.7916 0.6540 0.0077 104 41 15.6683 0.0595 -0.8680 0.1848 0
47369 DESIXJ23410942-0206349 355.289232 -2.109701 0.0192 0.6120 0.4077 0.0183 36 12 15.8810 0.0901 0.3064 0.1538 0
49924 DESIXJ09320776+1014135 143.032322 10.237078 0.0105 0.6533 0.5211 0.0132 195 39 16.2204 0.0787 -0.9478 0.0874 0
50360 DESIXJ14234486+5359248 215.936931 53.990235 0.0386 0.4111 0.1993 0.0457 47 6 16.6082 0.1360 0.3328 0.0680 1
51072 DESIXJ13022638-0721506 195.609901 -7.364051 0.0387 0.4935 0.4952 0.0262 75 11 16.2226 0.1135 0.1348 0.0731 0
51762 DESIXJ01211813-0205580 20.325544 -2.099456 0.0183 0.5593 0.7474 0.0163 810 26 15.9659 0.0981 -1.5578 0.0496 0
