# SGA_ID DESI_NAME RA Dec z_desi BA G_R G_R_err V_0p4R26  V_0p4R26_err R_MAG_SB26_CORR R_MAG_SB26_ERR_CORR
47369 DESIXJ23410942-0206349 355.289232 -2.109701 0.0192 0.6120 0.4077 0.0183 36 1 16.0781 0.1095
51072 DESIXJ13022638-0721506 195.609901 -7.364051 0.0387 0.4935 0.4952 0.0262 77 2 16.4691 0.1396

53958 DESIXJ01071711-0417016 16.821309 -4.283775 0.0623 0.5270 0.3874 0.0316 110 3 17.0271 0.1367
54615 DESIXJ01003433-0301001 15.143051 -3.016693 0.0443 0.8590 0.3805 0.0146 90 0 16.0069 0.0402
56757 DESIXJ12592536+2325407 194.855671 23.427961 0.0744 0.6924 0.9727 0.0910 190 10 16.0390 0.0942
56885 DESIXJ03091572-0915435 47.315483 -9.262093 0.0307 0.8244 0.5231 0.0073 13 1 16.2372 0.0528
57984 DESIXJ10593321+7401003 164.888363 74.016744 0.0317 0.8395 0.6341 0.0177 134 3 15.1540 0.0528
59186 DESIXJ22471895+0609588 341.828948 6.166338 0.0826 0.8474 0.4047 0.0222 120 2 16.2019 0.0489
59323 DESIXJ00074423+0823371 1.934280 8.393630 0.0357 0.8974 0.7604 0.0093 75 1 14.9457 0.0345
59572 DESIXJ07342532+3125199 113.605514 31.422200 0.0158 0.4912 0.5649 0.0087 82 1 14.8208 0.1399
60145 DESIXJ14364577+5127351 219.190693 51.459755 0.0079 0.8038 0.4335 0.0062 47 1 15.0842 0.0604
61623 DESIXJ02541428-0604258 43.559501 -6.073835 0.1489 0.2663 0.7757 0.0603 239 11 17.1714 0.2048
64602 DESIXJ07012015+5630403 105.333946 56.511205 0.0554 0.6791 0.9343 0.0115 213 14 14.8044 0.0929
66855 DESIXJ12290646+1400176 187.276905 14.004885 -0.0014 0.7714 0.6585 0.0050 85 19 15.8568 0.0625
69285 DESIXJ23390804+1001544 354.783491 10.031782 0.0168 0.8596 0.5522 0.0068 49 2 16.0381 0.0386
69988 DESIXJ14031447+1600200 210.810292 16.005551 0.0083 0.7483 0.4240 0.0054 52 10 15.7138 0.0688
73255 DESIXJ02095523+2956595 32.480132 29.949850 0.0700 0.6717 0.6816 0.0206 71 2 15.8412 0.1057
74140 DESIXJ09375556+1109216 144.481505 11.155992 0.0655 0.4471 0.6745 0.0178 167 3 15.8797 0.1524
74627 DESIXJ01050429-0211233 16.267888 -2.189792 0.0666 0.6032 0.7778 0.0585 122 3 16.1200 0.1165
74657 DESIXJ09291579+6240529 142.315772 62.681358 0.0257 0.7664 0.3794 0.0286 206 1 14.2099 0.0714
84380 DESIXJ01323992+1109202 23.166322 11.155618 0.0669 0.3048 0.4495 0.0647 116 0 15.7408 0.1961
84966 DESIXJ22184845-0503218 334.701889 -5.056066 0.0255 0.8532 0.4305 0.0162 110 1 16.1517 0.0442
87757 DESIXJ02562274+0609189 44.094748 6.155238 0.0259 0.3112 0.8388 0.0133 148 5 13.8409 0.1906
88829 DESIXJ12423140+1211385 190.630854 12.194020 0.0705 0.8203 0.3895 0.0212 65 1 16.0842 0.0516
91158 DESIXJ15042245+1002346 226.093551 10.042941 0.0378 0.9871 0.4123 0.0082 148 7 16.6690 0.0231
91370 DESIXJ10145297+1234413 153.720714 12.578130 0.0413 0.8169 0.4051 0.0298 42 0 16.2246 0.0564
91532 DESIXJ15332284+3329334 233.345170 33.492619 0.0767 0.5187 0.9308 0.0341 276 15 15.8821 0.1389
94121 DESIXJ10185404+4618196 154.725149 46.305447 0.0304 0.7035 0.2880 0.0270 21 2 17.3559 0.0941
95688 DESIXJ07480687+3242519 117.028638 32.714419 0.0798 0.5036 0.6160 0.0382 147 2 16.5436 0.1438
96467 DESIXJ13392243+3114569 204.843456 31.249150 0.0023 0.6320 0.2582 0.0111 10 2 16.0039 0.1020
97206 DESIXJ16160307+3829336 244.012776 38.492674 0.0347 0.7701 0.3716 0.0142 48 12 17.3281 0.0693
99260 DESIXJ16282757+4109396 247.114856 41.160987 0.0318 0.7651 0.8184 0.0243 39 39 14.2993 0.0749
99512 DESIXJ15160742+2534424 229.030932 25.578436 0.0456 0.8561 0.4744 0.0243 120 5 16.3139 0.0460
100120 DESIXJ16303950+4114283 247.664580 41.241186 0.1345 0.7316 1.0768 0.0384 194 39 16.7572 0.0847
101939 DESIXJ15041866+0245532 226.077754 2.764773 0.0351 0.3316 1.4724 0.0875 19 20 16.2667 0.1870
102233 DESIXJ15490648+5302566 237.276994 53.049049 0.0297 0.8510 0.3854 0.0101 62 6 16.8759 0.0458
102319 DESIXJ08140015+3404322 123.500622 34.075605 0.0903 0.5891 0.5400 0.0320 75 22 16.4651 0.1160
107697 DESIXJ08331675+1533226 128.319788 15.556290 0.0637 0.2644 0.5872 0.0505 165 6 16.2727 0.2073
108427 DESIXJ15331009+2753079 233.292040 27.885527 0.0338 0.5242 0.4981 0.0374 69 5 16.5087 0.1333
108546 DESIXJ14064665+1023152 211.694362 10.387547 0.0225 0.6798 0.3143 0.0162 35 6 16.4556 0.0895
108552 DESIXJ15063892+4456239 226.662156 44.939983 0.0644 0.6199 0.7892 0.0246 212 11 14.9987 0.1079
110266 DESIXJ10522826+4252454 163.117756 42.879285 0.0512 0.5632 0.4775 0.0107 108 9 16.1944 0.1227
110477 DESIXJ15465526+2050058 236.730250 20.834945 0.0377 0.7526 0.3561 0.0245 54 7 16.9698 0.0740
111724 DESIXJ13294670+3819218 202.444577 38.322716 0.0268 0.5559 0.4013 0.0192 73 3 15.5868 0.1236
113563 DESIXJ07450658+2845268 116.277420 28.757432 0.0239 0.7933 0.4077 0.0073 47 0 15.7389 0.0586
113900 DESIXJ14275885+2551589 216.995226 25.866359 0.0153 0.3243 0.3665 0.0063 80 3 15.5352 0.1862
113918 DESIXJ09282768+6526505 142.115335 65.447349 0.0235 0.6629 0.6672 0.0189 70 3 16.4374 0.0952
118265 DESIXJ21335413+0009018 323.475544 0.150502 0.1222 0.6814 0.7958 0.0154 239 17 16.2908 0.0896
119114 DESIXJ08132234+4414084 123.343103 44.235653 0.0592 0.5828 2.1522 0.1292 159 1 14.4017 0.1650
120345 DESIXJ03213305-0026022 50.387701 -0.433946 0.0485 0.5817 0.3697 0.0217 62 5 18.3438 0.1162
121636 DESIXJ08381842+3334417 129.576750 33.578244 0.0626 0.8860 0.7372 0.0146 63 12 14.7628 0.0540
123912 DESIXJ13304232+1013273 202.676328 10.224243 0.0563 0.5085 0.3622 0.0545 90 1 17.3017 0.1403

128475 DESIXJ11523861+0526519 178.160856 5.447754 0.1330 0.5999 0.6865 0.0284 239 6 16.5211 0.1132
134017 DESIXJ17210304+6323282 260.262668 63.391171 0.0360 0.1755 0.6321 0.0317 139 1 15.2673 0.2288
134096 DESIXJ23181243+0411065 349.551772 4.185133 0.0546 0.6775 0.9641 0.0144 167 44 14.6210 0.0948
136739 DESIXJ09133798+6408546 138.408241 64.148496 0.0286 0.7131 0.6742 0.0125 138 1 14.7594 0.0838
137250 DESIXJ10192901+6653309 154.870881 66.891911 0.0375 0.5638 0.4284 0.0153 163 2 15.2439 0.1214
137484 DESIXJ01432819-0330308 25.867463 -3.508548 0.0187 0.6162 0.3916 0.0147 83 1 16.0531 0.1053
137996 DESIXJ03413031-0834160 55.376288 -8.571122 0.0136 0.8032 0.5040 0.0060 124 9 15.0127 0.0577
138076 DESIXJ11005860-0704102 165.244179 -7.069500 0.0261 0.4692 0.3043 0.0205 122 2 15.5650 0.1555
138355 DESIXJ02245895-1103266 36.245621 -11.057376 0.0209 0.7395 0.3411 0.0144 84 0 14.5350 0.0718
140614 DESIXJ23104022+0328212 347.667572 3.472560 0.0678 0.3502 0.6523 0.0273 212 5 15.4154 0.1815
143453 DESIXJ14272242-0657563 216.843416 -6.965636 0.0314 0.5080 0.4533 0.0386 76 3 16.0623 0.1396
144110 DESIXJ16302642+3547132 247.610096 35.786994 0.0545 0.8508 0.3792 0.0745 244 1 15.0489 0.0505
145238 DESIXJ07215117+3835262 110.463189 38.590619 0.0688 0.8961 0.5931 0.0106 220 1 15.6417 0.0439
146145 DESIXJ08275149+5510090 126.964531 55.169176 0.0301 0.6724 0.3138 0.0153 35 2 17.3049 0.1025
146389 DESIXJ13502030+5334486 207.584576 53.580167 0.0760 0.3632 0.5739 0.0416 134 4 16.4593 0.1783
148011 DESIXJ12553514+1044191 193.896396 10.738644 0.0062 0.5537 0.3590 0.0125 31 3 16.5094 0.1222
153908 DESIXJ16435242+4544500 250.968418 45.747221 0.0178 0.2627 0.3958 0.0368 62 0 15.2648 0.2048
155381 DESIXJ12132362+0544194 183.348407 5.738715 0.0832 0.5981 0.7079 0.0302 229 7 15.4920 0.1135
156624 DESIXJ00220878+0022018 5.536576 0.367171 0.0710 0.5178 0.9101 0.0227 29 25 14.5634 0.1329
157022 DESIXJ18331935+5703112 278.330624 57.053113 0.0555 0.7274 0.8048 0.0077 279 5 15.0714 0.0806
157442 DESIXJ02515436-0908549 42.976496 -9.148572 0.0181 0.5036 0.3231 0.0164 78 5 16.5716 0.1361
157551 DESIXJ07331012+3823242 113.292176 38.390046 0.0358 0.6554 0.5637 0.0274 198 2 15.6461 0.1006
158845 DESIXJ01281236-0618355 22.051493 -6.309854 0.0332 0.4601 0.3889 0.0318 55 2 16.1628 0.1516
159742 DESIXJ22304056-0708372 337.669015 -7.143660 0.0343 0.5867 0.4749 0.0119 69 4 16.6095 0.1155

165975 DESIXJ03400589-1642157 55.024527 -16.704350 0.0582 0.3595 0.8148 0.0265 258 5 15.4365 0.1784
167435 DESIXJ04185809-1515285 64.742036 -15.257907 0.0318 0.3011 0.5928 0.0337 45 1 16.0860 0.1928
171149 DESIXJ08355065+7411434 128.961028 74.195396 0.2110 0.4985 1.1952 0.0251 538 25 16.7103 0.1404
172975 DESIXJ16110602+4346347 242.775094 43.776303 0.1091 0.5231 0.9960 0.0451 223 5 16.0599 0.1347
173275 DESIXJ08512878+6835371 132.869926 68.593650 0.0366 0.6011 0.6466 0.0425 212 1 14.5163 0.1158
175003 DESIXJ04351098-0825149 68.795740 -8.420796 0.1080 0.3620 0.8430 0.0318 398 21 16.1688 0.1777
175987 DESIXJ14414632-0629158 220.442985 -6.487715 0.0424 0.4398 0.5942 0.0337 84 1 16.2950 0.1571
176497 DESIXJ11242213-0648526 171.092188 -6.814608 0.0550 0.5681 0.9213 0.0165 174 5 16.0047 0.1214
177137 DESIXJ09202166-0600369 140.090251 -6.010258 0.0675 0.5554 0.5299 0.0295 128 2 15.8571 0.1241
177640 DESIXJ15313906+1535299 232.912738 15.591645 0.0059 0.8821 0.3647 0.0028 42 5 15.1237 0.0373
179867 DESIXJ17133567+4228316 258.398621 42.475449 0.0270 0.4992 0.5703 0.0322 96 5 16.3598 0.1437
180288 DESIXJ00180039-0118591 4.501638 -1.316418 0.0679 0.5878 0.6345 0.0193 47 1 16.1290 0.1156
181289 DESIXJ11484126+5903144 177.171928 59.054003 0.0456 0.6482 0.5674 0.0151 268 2 14.4369 0.1070
183116 DESIXJ15491438+0852181 237.309920 8.871687 0.0414 0.8030 0.3950 0.0078 92 1 15.4356 0.0541
184507 DESIXJ14013287+3052424 210.386940 30.878449 0.0717 0.6501 0.7725 0.0201 162 10 15.9952 0.1025
186722 DESIXJ16291614+4015364 247.317269 40.260103 0.0282 0.3868 0.3497 0.0095 88 9 15.6064 0.1703
187771 DESIXJ17182629+5525448 259.609524 55.429120 0.0288 0.3571 0.5492 0.0250 71 3 15.1771 0.1782
188529 DESIXJ12021604+5555473 180.566823 55.929806 0.0268 0.4428 0.2759 0.0116 44 1 17.1212 0.1549
189877 DESIXJ16434378+3301165 250.932418 33.021248 0.0307 0.4325 0.2710 0.0145 74 1 16.3578 0.1572
192087 DESIXJ03581933-0443486 59.580535 -4.730166 0.0177 0.9382 0.5628 0.0070 33 2 15.7400 0.0247
192773 DESIXJ23180716+0059337 349.529842 0.992696 0.0609 0.6516 0.4524 0.0242 71 12 15.8491 0.1009
193743 DESIXJ10285053+0826184 157.210537 8.438431 0.0464 0.3311 0.5949 0.0325 83 3 17.0377 0.1850
