# SGA_ID DESI_NAME RA Dec z_desi V_0p4R26  V_0p4R26_err  V_PEC  V_ERR_PEC
306108 DESIXJ14174112-0008392 214.421349 -0.144209 0.0496 92 3 3257 828
306945 DESIXJ11294765+6753415 172.448542 67.894859 0.0523 117 2 -1773 542
307454 DESIXJ08494428+0457286 132.434483 4.957956 0.0315 71 1 -714 349
311843 DESIXJ14483247-0034307 222.135289 -0.575197 0.0431 84 2 4760 475
313023 DESIXJ13342969+0339401 203.623722 3.661144 0.0566 443 5 -17522 476
315716 DESIXJ13410350+0344472 205.264588 3.746446 0.0237 67 0 66 248
323574 DESIXJ10095881-0448011 152.495042 -4.800314 0.0561 104 4 6335 896
334441 DESIXJ01264971-0058310 21.707106 -0.975272 0.0162 159 1 -2304 144
335543 DESIXJ12042989-0237528 181.124552 -2.631329 0.0829 44 1 30345 1236
341669 DESIXJ11141615-0838211 168.567274 -8.639195 0.0238 55 6 591 1125
343974 DESIXJ07170916+6441211 109.288172 64.689185 0.0143 87 2 -152 173
359996 DESIXJ15193777+0540553 229.907355 5.682032 0.0526 296 5 -6440 475
360691 DESIXJ13412411+4808239 205.350457 48.139970 0.0879 247 13 439 1797
367762 DESIXJ14185181+0036141 214.715856 0.603903 0.0533 97 5 -647 1262
368879 DESIXJ16141279+2954509 243.553299 29.914143 0.0343 69 4 9246 837
376299 DESIXJ16231758+2632347 245.823250 26.542961 0.0651 62 11 30453 4477
381589 DESIXJ12072432+5142506 181.851337 51.714065 0.0826 283 26 -11166 2893
386607 DESIXJ02265802+0034378 36.741730 0.577163 0.0254 67 1 1866 398
387245 DESIXJ11414342+0243391 175.430937 2.727527 0.0256 68 2 -999 430
387441 DESIXJ11142743-0051002 168.614281 -0.850065 0.0690 90 1 8743 826
388768 DESIXJ11193274+0022442 169.886396 0.378952 0.0254 23 7 6613 3374
391038 DESIXJ08461226+0224376 131.551065 2.410439 0.0280 107 13 -1789 1368
394411 DESIXJ14315938+0134530 217.997429 1.581394 0.0297 81 2 -1432 343
418283 DESIXJ16321423+2521255 248.059281 25.357075 0.0428 194 5 -5924 509
418734 DESIXJ13445156+1034576 206.214833 10.582665 0.0729 239 11 -3973 1324
425174 DESIXJ16190985+4259574 244.791059 42.999288 0.0907 52 1 43415 971
430363 DESIXJ10141410-0208454 153.558733 -2.145945 0.0205 21 6 6181 2981
433336 DESIXJ15080573+3423239 227.023875 34.389964 0.0446 294 5 -6467 545
434243 DESIXJ10115144+5853234 152.964339 58.889827 0.0305 111 1 1692 247
447298 DESIXJ10325582-0609392 158.232587 -6.160899 0.1352 200 22 17912 5461
449322 DESIXJ15504991+1305280 237.707965 13.091120 0.0729 28 5 48584 5321
451674 DESIXJ11562943+5812438 179.122640 58.212168 0.0365 60 3 339 822
462867 DESIXJ14305435+5245408 217.726447 52.761324 0.0453 89 4 1569 839
467986 DESIXJ09065700-0007247 136.737515 -0.123524 0.0189 33 8 5927 1963
472177 DESIXJ11402178-0242129 175.090766 -2.703572 0.0220 60 17 4804 2876
476848 DESIXJ02344103+0048412 38.670956 0.811431 0.0211 39 3 2556 815
482276 DESIXJ14275501-0033451 216.979199 -0.562521 0.0791 109 2 24299 867
486322 DESIXJ12352585+3556228 188.857717 35.939659 0.0424 30 2 20226 1415
486829 DESIXJ13382858-0106463 204.619094 -1.112852 0.0706 161 0 5415 320
