# SGA_ID DESI_NAME RA Dec z_desi V_0p4R26  V_0p4R26_err  V_PEC  V_ERR_PEC
1253405 DESIXJ08360873+0039577 129.036360 0.666032 0.0136 61 8 -692 750
1257152 DESIXJ11160506-0346585 169.021067 -3.782922 0.0809 201 19 3764 3099
1263500 DESIXJ10571070+0325233 164.294576 3.423144 0.0566 268 14 -5863 1326
1269232 DESIXJ11343918-0153427 173.663269 -1.895186 0.0733 278 16 -1446 1775
1276149 DESIXJ14314271+0219193 217.927947 2.322026 0.0652 139 15 4344 2697
1277500 DESIXJ10221306+0126423 155.554409 1.445096 0.1028 214 4 -1304 1425
1284005 DESIXJ01291480+0038450 22.311679 0.645826 0.0784 216 16 -5863 2530
1307987 DESIXJ08312590-0405230 127.857921 -4.089722 0.0319 163 34 -4850 2674
1340832 DESIXJ11340390+0258243 173.516257 2.973424 0.0199 119 20 -2341 1358
1349168 DESIXJ12593529+2751491 194.897029 27.863640 0.0211 34 17 5405 5196
1355696 DESIXJ15133000+0206150 228.374983 2.104159 0.0386 191 9 -4546 738
1358403 DESIXJ16011061+2836289 240.294208 28.608022 0.0763 311 9 -8506 1052
1358413 DESIXJ11060960+0317495 166.539994 3.297072 0.0307 100 12 2144 1442
1373380 DESIXJ14174765+0734371 214.448539 7.576972 0.0247 79 7 -1140 912
1414627 DESIXJ13382955-0301423 204.623107 -3.028410 0.0884 303 10 -212 1620
1415507 DESIXJ04294222+0039044 67.425901 0.651227 0.0121 84 22 -330 1366
5001124 DESIXJ10525582-0008210 163.232579 -0.139160 0.1506 257 13 -14652 3475
