SGA_ID,Predicted_Type_spiral,Predicted_Type_elliptical,Predicted_Type_irregular,Predicted_Type_lenticular,Predicted_Type
1174559.0,Other,Other,Irregular,Other,Irregular
1174553.0,Other,Other,Irregular,Other,Irregular
1174548.0,Spiral,Other,Other,Other,Spiral
1174541.0,Other,Other,Irregular,Other,Irregular
1174540.0,Spiral,Other,Other,Other,Spiral
1174533.0,Spiral,Other,Other,Other,Spiral
1174508.0,Spiral,Other,Other,Other,Spiral
1174441.0,Spiral,Other,Other,Other,Spiral
1174439.0,Other,Other,Irregular,Other,Irregular
1174360.0,Spiral,Other,Other,Other,Spiral
1174337.0,Spiral,Other,Other,Other,Spiral
1174336.0,Other,Other,Irregular,Other,Irregular
1174303.0,Spiral,Other,Other,Other,Spiral
1174283.0,Other,Other,Irregular,Other,Irregular
1173981.0,Other,Other,Irregular,Other,Irregular
1174027.0,Other,Other,Irregular,Other,Irregular
1174141.0,Other,Elliptical,Other,Other,Elliptical
1174608.0,Spiral,Other,Other,Other,Spiral
1174218.0,Spiral,Other,Other,Other,Spiral
1174260.0,Spiral,Other,Other,Other,Spiral
1174277.0,Spiral,Other,Other,Other,Spiral
1175543.0,Other,Other,Irregular,Other,Irregular
1174619.0,Spiral,Other,Other,Other,Spiral
1175518.0,Spiral,Other,Other,Other,Spiral
1175504.0,Spiral,Other,Other,Other,Spiral
1175501.0,Other,Other,Irregular,Other,Irregular
1175480.0,Other,Other,Irregular,Other,Irregular
1175468.0,Spiral,Other,Other,Other,Spiral
1175457.0,Spiral,Other,Other,Other,Spiral
1175414.0,Spiral,Other,Other,Other,Spiral
1175258.0,Spiral,Other,Other,Other,Spiral
1175168.0,Spiral,Other,Other,Other,Spiral
1175139.0,Spiral,Other,Other,Other,Spiral
1175138.0,Spiral,Other,Other,Other,Spiral
1175128.0,Spiral,Other,Other,Other,Spiral
1175123.0,Spiral,Other,Other,Other,Spiral
1174717.0,Spiral,Other,Other,Other,Spiral
1174721.0,Spiral,Other,Other,Other,Spiral
1174756.0,Spiral,Other,Other,Other,Spiral
1174621.0,Other,Other,Irregular,Other,Irregular
1174866.0,Spiral,Other,Other,Other,Spiral
1174963.0,Spiral,Other,Other,Other,Spiral
1174986.0,Spiral,Other,Other,Other,Spiral
1175055.0,Spiral,Other,Other,Other,Spiral
1175063.0,Other,Other,Irregular,Other,Irregular
1175074.0,Spiral,Other,Other,Other,Spiral
1175080.0,Other,Other,Irregular,Other,Irregular
1174870.0,Other,Other,Irregular,Other,Irregular
1184451.0,Spiral,Other,Other,Other,Spiral
1184494.0,Other,Other,Irregular,Other,Irregular
1184553.0,Spiral,Other,Other,Other,Spiral
1196201.0,Other,Other,Irregular,Other,Irregular
1196134.0,Spiral,Other,Other,Other,Spiral
1196130.0,Spiral,Other,Other,Other,Spiral
1195976.0,Spiral,Other,Other,Other,Spiral
1195884.0,Other,Other,Irregular,Other,Irregular
1195882.0,Spiral,Other,Other,Other,Spiral
1195876.0,Spiral,Other,Other,Other,Spiral
1195849.0,Spiral,Other,Other,Other,Spiral
1195841.0,Spiral,Other,Other,Other,Spiral
