SGA_ID,Spiral,Spiral_Pred,Elliptical,Elliptical_Pred,Irregular,Irregular_Pred,Lenticular,Lenticular_Pred
12347.0,0,Other,0,Other,0,Other,0,Other
12491.0,0,Other,0,Other,1,Irregular,0,Other
12510.0,1,Spiral,0,Other,0,Other,0,Other
12583.0,0,Other,0,Other,0,Other,0,Other
12657.0,1,Spiral,0,Other,0,Other,0,Other
12712.0,1,Spiral,0,Other,0,Other,0,Other
12892.0,0,Other,0,Other,0,Other,0,Other
12907.0,0,Other,0,Other,0,Other,0,Other
13051.0,0,Other,0,Other,0,Other,0,Other
13152.0,0,Other,0,Other,0,Other,0,Other
13224.0,1,Spiral,0,Other,0,Other,0,Other
13329.0,1,Spiral,0,Other,0,Other,0,Other
13443.0,1,Spiral,0,Other,0,Other,0,Other
13497.0,0,Other,0,Other,1,Irregular,0,Other
13552.0,1,Spiral,0,Other,0,Other,0,Other
13560.0,1,Spiral,0,Other,0,Other,0,Other
13851.0,0,Other,0,Other,0,Other,0,Other
13972.0,1,Spiral,0,Other,0,Other,0,Other
13973.0,1,Spiral,0,Other,0,Other,0,Other
14051.0,1,Spiral,0,Other,0,Other,0,Other
14073.0,0,Other,0,Other,0,Other,1,Lenticular
14089.0,1,Spiral,0,Other,0,Other,0,Other
14395.0,1,Spiral,0,Other,0,Other,0,Other
14434.0,1,Spiral,0,Other,0,Other,0,Other
14703.0,1,Spiral,0,Other,0,Other,0,Other
14794.0,0,Other,0,Other,0,Other,0,Other
14796.0,1,Spiral,0,Other,0,Other,0,Other
14820.0,1,Spiral,0,Other,0,Other,0,Other
14875.0,1,Spiral,0,Other,0,Other,0,Other
15005.0,0,Other,0,Other,0,Other,0,Other
15262.0,1,Spiral,0,Other,0,Other,0,Other
15294.0,0,Other,0,Other,0,Other,0,Other
15321.0,1,Spiral,0,Other,0,Other,0,Other
15368.0,0,Other,0,Other,0,Other,0,Other
15413.0,1,Spiral,0,Other,0,Other,0,Other
15509.0,0,Other,0,Other,1,Irregular,0,Other
15542.0,0,Other,0,Other,0,Other,0,Other
15691.0,0,Other,0,Other,0,Other,0,Other
15703.0,1,Spiral,0,Other,0,Other,0,Other
15938.0,0,Other,0,Other,0,Other,0,Other
16037.0,1,Spiral,0,Other,0,Other,0,Other
16256.0,1,Spiral,0,Other,0,Other,0,Other
16321.0,1,Spiral,0,Other,0,Other,0,Other
16443.0,0,Other,0,Other,0,Other,0,Other
16445.0,1,Spiral,0,Other,0,Other,0,Other
16454.0,1,Spiral,0,Other,0,Other,0,Other
16878.0,0,Other,0,Other,0,Other,0,Other
17104.0,0,Other,0,Other,1,Irregular,0,Other
17352.0,1,Spiral,0,Other,0,Other,0,Other
17650.0,1,Spiral,0,Other,0,Other,0,Other
17816.0,0,Other,0,Other,0,Other,0,Other
17894.0,0,Other,0,Other,1,Irregular,0,Other
18014.0,0,Other,0,Other,1,Irregular,0,Other
18021.0,0,Other,0,Other,0,Other,0,Other
18041.0,0,Other,0,Other,0,Other,0,Other
18062.0,1,Spiral,0,Other,0,Other,0,Other
18073.0,1,Spiral,0,Other,0,Other,0,Other
18152.0,0,Other,0,Other,0,Other,0,Other
18163.0,0,Other,0,Other,0,Other,0,Other
18171.0,0,Other,0,Other,0,Other,0,Other
18190.0,1,Spiral,0,Other,0,Other,0,Other
18440.0,1,Spiral,0,Other,0,Other,0,Other
18496.0,1,Spiral,0,Other,0,Other,0,Other
18745.0,1,Spiral,0,Other,0,Other,0,Other
18819.0,0,Other,0,Other,1,Irregular,0,Other
18900.0,1,Spiral,0,Other,0,Other,0,Other
18958.0,1,Spiral,0,Other,0,Other,0,Other
19041.0,0,Other,1,Elliptical,0,Other,0,Other
19185.0,1,Spiral,0,Other,0,Other,0,Other
19235.0,0,Other,0,Other,0,Other,0,Other
19278.0,1,Spiral,0,Other,0,Other,0,Other
19303.0,1,Spiral,0,Other,0,Other,0,Other
19461.0,0,Other,0,Other,0,Other,0,Other
19559.0,1,Spiral,0,Other,0,Other,0,Other
19840.0,1,Spiral,0,Other,0,Other,0,Other
19842.0,1,Spiral,0,Other,0,Other,0,Other
19961.0,1,Spiral,0,Other,0,Other,0,Other
20119.0,1,Spiral,0,Other,0,Other,0,Other
20143.0,0,Other,0,Other,1,Irregular,0,Other
20154.0,1,Spiral,0,Other,0,Other,0,Other
20188.0,1,Spiral,0,Other,0,Other,0,Other
20228.0,1,Spiral,0,Other,0,Other,0,Other
20338.0,0,Other,0,Other,0,Other,0,Other
20448.0,1,Spiral,0,Other,0,Other,0,Other
20565.0,1,Spiral,0,Other,0,Other,0,Other
20573.0,1,Spiral,0,Other,0,Other,0,Other
20828.0,0,Other,0,Other,0,Other,0,Other
20993.0,1,Spiral,0,Other,0,Other,0,Other
21302.0,0,Other,0,Other,1,Irregular,0,Other
21851.0,1,Spiral,0,Other,0,Other,0,Other
21905.0,0,Other,0,Other,0,Other,0,Other
22240.0,0,Other,0,Other,0,Other,0,Other
22448.0,1,Spiral,0,Other,0,Other,0,Other
22582.0,0,Other,0,Other,0,Other,0,Other
22611.0,0,Other,0,Other,0,Other,0,Other
22619.0,0,Other,0,Other,0,Other,0,Other
22641.0,0,Other,0,Other,0,Other,0,Other
22871.0,1,Spiral,0,Other,0,Other,0,Other
22977.0,1,Spiral,0,Other,0,Other,0,Other
23011.0,1,Spiral,0,Other,0,Other,0,Other
23069.0,1,Spiral,0,Other,0,Other,0,Other
23113.0,0,Other,0,Other,1,Irregular,0,Other
23323.0,0,Other,0,Other,0,Other,0,Other
23383.0,1,Spiral,0,Other,1,Irregular,0,Other
23613.0,1,Spiral,0,Other,0,Other,0,Other
23652.0,1,Spiral,0,Other,0,Other,0,Other
23717.0,0,Other,0,Other,0,Other,0,Other
23720.0,0,Other,0,Other,0,Other,0,Other
23819.0,0,Other,0,Other,0,Other,0,Other
23934.0,0,Other,1,Elliptical,0,Other,0,Other
23952.0,1,Spiral,0,Other,0,Other,0,Other
24070.0,1,Spiral,0,Other,0,Other,0,Other
24144.0,1,Spiral,0,Other,0,Other,0,Other
24225.0,0,Other,0,Other,1,Irregular,0,Other
24343.0,0,Other,0,Other,0,Other,0,Other
24383.0,0,Other,0,Other,1,Irregular,0,Other
24403.0,1,Spiral,0,Other,0,Other,0,Other
24454.0,1,Spiral,0,Other,0,Other,0,Other
24466.0,1,Spiral,0,Other,0,Other,0,Other
24470.0,0,Other,0,Other,0,Other,0,Other
24790.0,1,Spiral,0,Other,0,Other,0,Other
25102.0,1,Spiral,0,Other,0,Other,0,Other
25365.0,0,Other,0,Other,1,Irregular,0,Other
25389.0,0,Other,0,Other,0,Other,0,Other
25543.0,1,Spiral,0,Other,0,Other,0,Other
25599.0,0,Other,0,Other,0,Other,0,Other
25723.0,0,Other,0,Other,0,Other,0,Other
25730.0,1,Spiral,0,Other,0,Other,0,Other
25798.0,0,Other,0,Other,0,Other,0,Other
25801.0,1,Spiral,0,Other,0,Other,0,Other
25803.0,0,Other,0,Other,1,Irregular,0,Other
25835.0,1,Spiral,0,Other,0,Other,0,Other
25840.0,0,Other,0,Other,0,Other,0,Other
26412.0,1,Spiral,0,Other,0,Other,0,Other
26548.0,1,Spiral,0,Other,0,Other,0,Other
26707.0,0,Other,0,Other,0,Other,0,Other
26715.0,1,Spiral,0,Other,0,Other,0,Other
26818.0,1,Spiral,0,Other,0,Other,0,Other
26826.0,1,Spiral,0,Other,0,Other,0,Other
26839.0,0,Other,0,Other,1,Irregular,0,Other
26866.0,1,Spiral,0,Other,0,Other,0,Other
27003.0,0,Other,0,Other,0,Other,0,Other
27009.0,1,Spiral,0,Other,0,Other,0,Other
27160.0,0,Other,0,Other,1,Irregular,0,Other
27248.0,0,Other,0,Other,0,Other,0,Other
27305.0,1,Spiral,0,Other,0,Other,0,Other
27379.0,0,Other,0,Other,0,Other,0,Other
27541.0,0,Other,0,Other,1,Irregular,0,Other
27769.0,0,Other,0,Other,0,Other,0,Other
27965.0,1,Spiral,0,Other,0,Other,0,Other
28147.0,0,Other,0,Other,1,Irregular,0,Other
28257.0,1,Spiral,0,Other,0,Other,0,Other
28269.0,1,Spiral,0,Other,0,Other,0,Other
28334.0,1,Spiral,0,Other,0,Other,0,Other
28626.0,1,Spiral,0,Other,0,Other,0,Other
29037.0,0,Other,0,Other,1,Irregular,0,Other
29061.0,0,Other,0,Other,0,Other,0,Other
29152.0,1,Spiral,0,Other,0,Other,0,Other
29364.0,0,Other,0,Other,1,Irregular,0,Other
29534.0,1,Spiral,0,Other,0,Other,0,Other
29655.0,1,Spiral,0,Other,0,Other,0,Other
29696.0,1,Spiral,0,Other,0,Other,0,Other
29708.0,0,Other,0,Other,1,Irregular,0,Other
29711.0,0,Other,0,Other,1,Irregular,0,Other
29766.0,1,Spiral,0,Other,0,Other,0,Other
29952.0,0,Other,0,Other,0,Other,0,Other
30017.0,1,Spiral,0,Other,0,Other,0,Other
30081.0,1,Spiral,0,Other,0,Other,0,Other
30103.0,0,Other,0,Other,1,Irregular,0,Other
30139.0,1,Spiral,0,Other,0,Other,0,Other
30260.0,0,Other,0,Other,0,Other,0,Other
30295.0,1,Spiral,0,Other,0,Other,0,Other
30323.0,1,Spiral,0,Other,0,Other,0,Other
30332.0,1,Spiral,0,Other,0,Other,0,Other
30368.0,1,Spiral,0,Other,0,Other,0,Other
30384.0,1,Spiral,0,Other,0,Other,0,Other
30477.0,0,Other,0,Other,0,Other,0,Other
30482.0,0,Other,0,Other,0,Other,0,Other
30494.0,0,Other,0,Other,0,Other,0,Other
30525.0,0,Other,0,Other,1,Irregular,0,Other
30674.0,1,Spiral,0,Other,0,Other,0,Other
30808.0,1,Spiral,0,Other,0,Other,0,Other
31023.0,0,Other,0,Other,0,Other,0,Other
31028.0,0,Other,0,Other,1,Irregular,0,Other
31042.0,1,Spiral,0,Other,0,Other,0,Other
31068.0,1,Spiral,0,Other,0,Other,0,Other
31095.0,0,Other,0,Other,0,Other,0,Other
31124.0,0,Other,0,Other,0,Other,0,Other
31127.0,0,Other,0,Other,0,Other,0,Other
31173.0,0,Other,0,Other,0,Other,0,Other
31391.0,1,Spiral,0,Other,0,Other,0,Other
31738.0,1,Spiral,0,Other,0,Other,0,Other
31904.0,0,Other,0,Other,0,Other,0,Other
31987.0,0,Other,0,Other,0,Other,0,Other
32484.0,0,Other,0,Other,0,Other,0,Other
