# MaNGA_plate MaNGA_IFU sga_id BA PA plateifu
7968 3702 97758 0.3215293288230896 159.22218322753906 7968-3702
8479 6101 433955 0.32715362310409546 54.33457565307617 8479-6101
8479 6102 487085 0.5813088417053223 1.3182913064956665 8479-6102
8480 6103 487085 0.5813088417053223 1.3182913064956665 8480-6103
8481 12705 810971 0.268082857131958 56.5462760925293 8481-12705
8484 3701 302062 0.6225041747093201 119.090087890625 8484-3701
8547 6102 925354 0.6025776267051697 146.05860900878906 8547-6102
8547 6103 171058 0.5511276125907898 3.9989326000213623 8547-6103
8555 12703 127268 0.2092917561531067 143.2239532470703 8555-12703
8555 1902 575284 0.6609105467796326 106.39098358154297 8555-1902
8555 9102 1285122 0.7685890793800354 107.45079040527344 8555-9102
8600 1901 186915 0.7746372222900391 129.28488159179688 8600-1901
8613 12701 364445 0.5546001195907593 15.079439163208008 8613-12701
8613 12702 1290113 0.37841910123825073 69.72722625732422 8613-12702
8931 12705 653059 0.5339820384979248 167.76751708984375 8931-12705
8931 1902 365429 0.58881676197052 34.866180419921875 8931-1902
8931 3702 191496 0.5117542743682861 169.60484313964844 8931-3702
8931 6103 1354775 0.7136249542236328 84.51986694335938 8931-6103
8932 12701 819754 0.684948742389679 62.18381118774414 8932-12701
8932 12702 100987 0.22466039657592773 114.50669860839844 8932-12702
8932 12705 629860 0.3804548978805542 53.43220520019531 8932-12705
8932 3701 1204237 0.7244837880134583 13.08159351348877 8932-3701
8932 3703 1387991 0.3150583505630493 77.0833969116211 8932-3703
8932 6102 1379275 0.40062516927719116 5.078217506408691 8932-6102
8932 6104 919754 0.7314900159835815 76.20529174804688 8932-6104
8934 1901 815242 0.46781086921691895 108.75341033935547 8934-1901
8934 3701 1272144 0.6809766292572021 161.55909729003906 8934-3701
8934 3704 1087419 0.3391622304916382 114.74252319335938 8934-3704
8935 9101 291879 0.3331384062767029 23.189922332763672 8935-9101
8949 12703 1089288 0.7396504282951355 95.35550689697266 8949-12703
8949 12705 171794 0.5453890562057495 173.40066528320312 8949-12705
8949 3704 555111 0.789839506149292 45.107486724853516 8949-3704
8949 9102 834049 0.287956178188324 70.2303466796875 8949-9102
8950 12705 1219319 0.16703689098358154 71.99395751953125 8950-12705
8950 1901 1364394 0.4278772473335266 132.94529724121094 8950-1901
8950 3702 1009928 0.47971558570861816 152.99244689941406 8950-3702
8950 9101 917608 0.25538331270217896 155.01907348632812 8950-9101
8950 9102 1294562 0.7503887414932251 139.5088348388672 8950-9102
8953 6104 487085 0.5813088417053223 1.3182913064956665 8953-6104
8953 9102 433955 0.32715362310409546 54.33457565307617 8953-9102
8979 12703 544943 0.6018548011779785 135.25755310058594 8979-12703
8979 9101 23897 0.7408677339553833 2.1042978763580322 8979-9101
8992 6102 847940 0.3589468002319336 132.73028564453125 8992-6102
9029 6104 20179 0.26789402961730957 50.874732971191406 9029-6104
9031 12702 1205063 0.9376584887504578 28.06189727783203 9031-12702
9031 12705 1287210 0.8110915422439575 21.210365295410156 9031-12705
9035 1902 1374340 0.3766810894012451 161.31134033203125 9035-1902
9035 3703 833737 0.5993092060089111 128.78262329101562 9035-3703
9036 12704 281308 0.6565240621566772 21.17679786682129 9036-12704
9036 12705 1270526 0.5393145680427551 74.26786041259766 9036-12705
9036 6101 1287210 0.8110915422439575 21.210365295410156 9036-6101
9037 9102 835029 0.22417443990707397 118.39954376220703 9037-9102
9051 6104 487085 0.5813088417053223 1.3182913064956665 9051-6104
9863 12701 477610 0.7243960499763489 56.07057571411133 9863-12701
9863 9102 1274409 0.4936578869819641 41.022308349609375 9863-9102
9864 12703 578196 0.4527084231376648 59.345069885253906 9864-12703
9864 6102 660359 0.4993917942047119 4.176965236663818 9864-6102
9876 3702 1144453 0.6177683472633362 143.6058807373047 9876-3702
9876 3703 139660 0.8742374777793884 157.68699645996094 9876-3703
9876 6101 993595 0.9293023943901062 141.1784210205078 9876-6101
9876 6102 20886 0.4584953188896179 62.591163635253906 9876-6102
9876 9102 200961 0.5941607356071472 37.564781188964844 9876-9102
