# RA DEC
2.45583 4.68333
2.47 15.73278
2.46583 8.1725
2.47542 25.92861
2.4825 15.08917
2.50375 29.91472
2.50708 28.20611
2.50458 16.94028
2.51292 28.15611
2.50458 9.03695
2.53083 0.33389
2.53958 8.79333
2.55667 5.47389
2.57458 30.84972
2.5825 27.76361
2.59458 31.40111
2.5925 29.12139
2.59542 12.14139
2.60417 28.98472
2.60583 14.28333
2.61042 25.83361
2.63542 28.99972
2.63917 14.57139
2.64958 24.37194
2.64708 28.69056
2.645 1.51528
2.65083 24.50083
2.64958 16.59278
2.65542 21.67417
2.65208 15.09639
2.66125 24.53194
2.66292 -0.04389
2.66917 32.98389
2.67792 35.85555
2.67417 13.71111
2.68625 33.3525
2.705 26.435
2.70208 8.72472
2.73208 25.56278
2.735 15.58944
2.745 21.445
2.75167 22.40361
2.75458 30.055
2.76042 35.84583
2.76208 21.39944
2.76708 20.44778
2.76417 2.68972
2.7825 15.52389
2.785 23.97306
2.78042 7.02056
2.78417 14.23556
2.79042 29.90556
2.79958 29.08583
2.81083 24.70361
2.81417 26.90167
2.81583 28.89889
2.82042 4.72917
2.8325 35.53361
2.82875 5.00667
2.8375 6.38861
2.85292 29.26889
2.86208 27.78667
2.86792 21.43389
2.86792 21.80639
2.89292 22.0275
2.895 15.90778
2.89667 25.56833
2.90833 30.29
2.91625 27.96861
2.91875 14.46889
2.92833 28.48889
2.93083 1.72028
2.93792 4.57917
2.95375 8.30028
2.96958 35.67889
2.97625 21.19139
2.97958 23.02639
3.00292 26.39778
3.02583 24.98583
3.04083 30.27167
3.04167 27.90917
3.04208 12.04694
3.05125 29.33
3.05 15.24972
3.05625 31.74694
3.05917 22.32
3.0625 17.46445
3.07167 28.64583
3.08208 31.06472
3.08042 16.34778
3.10208 32.08416
3.10458 22.45583
3.12 14.18222
3.12458 15.54194
3.13125 29.54222
3.13583 18.55667
3.13875 23.72695
3.14292 -0.04194
3.14542 0.04833
3.16 30.10361
3.15875 5.50389
3.16583 3.10361
3.17292 14.45417
3.18167 20.88833
3.18333 0.67056
3.18708 29.36556
3.19333 14.53083
3.19667 22.02639
3.20208 28.79639
3.22083 33.36472
3.23292 18.54472
3.22958 16.35639
3.23958 6.57222
3.24417 14.42528
3.25875 22.10695
3.26292 14.41389
3.27417 18.51194
3.27792 9.16278
3.29125 21.82639
3.29208 16.00583
3.29042 16.95833
3.30333 25.60972
3.30292 29.8975
3.30792 33.07389
3.32042 24.26417
3.31958 17.02889
3.33083 6.43278
3.33292 17.0175
3.34208 15.53083
3.34333 0.09944
3.34583 8.08361
3.36042 17.48861
3.37417 15.38694
3.37375 4.61694
3.41625 15.67556
3.42167 10.90056
3.42458 13.20333
3.42875 0.38361
3.42833 9.84333
3.43667 30.20139
3.43375 6.00222
3.43958 7.15694
3.45833 29.35889
3.46167 35.99278
3.46542 3.37
3.4775 30.93917
3.4725 1.77667
3.47083 12.805
3.47708 15.95083
3.4825 14.06611
3.48 3.71083
3.4875 28.76306
3.48958 26.96778
3.49208 23.96556
3.505 17.96944
3.50375 12.96833
3.55333 7.415
3.55917 28.90139
3.56625 1.9125
3.57458 15.85722
3.575 2.25778
3.62833 31.32778
3.64125 10.76667
3.64292 0.49417
3.64875 29.40889
3.65042 8.27861
3.65875 7.52611
3.67083 18.58583
3.69 14.45139
3.69125 5.20972
3.69458 10.81194
3.72125 7.49472
3.73125 26.32861
3.73208 14.21667
3.73417 26.26972
3.7425 16.3475
3.74417 16.84056
3.74417 2.58528
3.78292 11.89861
3.79708 29.23944
3.80375 16.58528
3.82 20.00472
3.82583 5.89
3.83792 29.66556
3.83833 14.67861
3.83958 14.92417
3.8425 1.07806
3.84375 12.95833
3.84917 18.77889
3.88292 28.64833
3.90042 14.20667
3.90542 27.23472
3.91 7.17917
3.91292 8.41472
3.92583 35.39083
3.92458 27.25639
3.92125 17.52639
3.935 19.01389
3.96125 16.09111
3.96125 8.40583
3.96625 19.44222
3.97542 16.00583
3.99042 30.08
3.98333 2.2
3.99625 23.55
3.99542 14.06917
4.00042 30.05278
4.0125 25.06722
4.02875 21.30805
4.0475 24.85111
4.05083 30.50972
4.05958 14.65056
4.07167 23.18056
4.07417 36.02722
4.07417 12.4125
4.09542 22.61695
4.09833 3.40417
4.10708 30.47639
4.10958 27.56861
4.10833 22.57389
4.11167 15.21028
4.1175 31.64056
4.12042 29.92139
4.12708 30.95611
4.12333 33.06028
4.14667 17.26667
4.15083 1.53639
4.16208 30.45333
4.16167 1.6125
4.165 2.4575
4.17333 14.04194
4.18458 7.07889
4.19208 1.23639
4.19375 7.32611
4.20042 12.35194
4.20875 21.69167
4.21958 27.85722
4.24083 24.08167
4.24875 24.43305
4.25042 16.77028
4.25583 4.74
4.26958 23.00444
4.26333 34.50167
4.27875 31.57084
4.28208 34.03778
4.29833 35.88028
4.29792 30.67
4.30083 21.76694
4.29792 5.83278
4.30875 27.25222
4.305 32.72417
4.31167 18.76667
4.32042 29.84083
4.32125 30.22778
4.31333 6.71583
4.32125 26.8625
4.3175 17.52306
4.32 6.71806
4.33125 20.80417
4.34708 15.95694
4.35125 21.84972
4.35375 18.08583
4.36792 7.57917
4.37625 26.26389
4.39792 30.20472
4.40208 22.62944
4.42667 24.67194
4.42917 15.33167
4.44042 11.45222
4.44375 28.74639
4.475 33.71333
4.48542 0.33222
4.49333 24.56472
4.4925 11.30278
4.49167 3.07639
4.51208 7.06278
4.52625 22.47861
4.535 26.97917
4.54125 13.19306
4.54458 18.31111
4.54625 18.95556
4.54292 6.79833
4.57292 17.24417
4.58083 19.39361
4.58917 22.90333
4.59375 30.0775
4.60083 23.14861
4.60208 18.515
4.60042 17.83833
4.6075 7.39917
4.63125 29.29222
4.63042 19.76361
4.63708 20.9325
4.64917 24.45
4.66458 32.14972
4.66583 14.39417
4.67125 15.56583
4.69875 30.09556
4.7 29.09694
4.71 19.99417
4.73458 30.51611
4.73625 24.16306
4.74208 19.39667
4.74708 28.2325
4.74083 15.11472
4.75208 23.47583
4.77417 26.62444
4.78375 15.745
4.79917 4.13833
4.8 15.1075
4.81167 3.87972
4.81208 7.76944
4.82292 16.19417
4.83042 -0.06917
4.83667 15.98306
4.84375 19.07861
4.84708 5.06444
4.84792 8.99778
4.85958 13.15389
4.88375 7.12611
4.88917 15.69472
4.90042 18.66667
4.92042 20.15444
4.92417 0.37944
4.93125 18.54139
4.93583 15.85
4.94208 30.06222
4.94542 23.76528
4.93708 9.80833
4.95208 30.73306
4.94667 9.16972
4.95333 18.35139
4.95833 27.48306
4.97167 22.47667
4.96958 6.45861
4.99333 19.39556
4.99458 20.00028
4.99083 6.46139
4.99375 15.09056
5.00542 6.47083
